,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.002728557586669922,0.0010523485884353265,0.001068115234375,0.0003843596633324237,1,1,"{'max_depth': 1, 'n_estimators': 1}",0.3788310443985945,0.42095017553413805,0.4292206762557401,0.4569442282043945,0.4296436818025955,0.3425273774883314,0.3474711889455586,0.36793677341388575,0.406912195904382,0.39426951514358344,0.39747068570912036,0.03601297944211239,40,0.4002217558869464,0.39477456204451733,0.39785429024964825,0.393676744452955,0.3976152624761665,0.40777193298670256,0.4057011970158647,0.4038748307668365,0.40004643764526115,0.4010304245120403,0.4002567438036939,0.00431224584365555
1,0.0036568403244018554,0.0010753343853872183,0.0009792804718017577,0.0002457255553864506,1,2,"{'max_depth': 1, 'n_estimators': 2}",0.3820021544357358,0.42546538822277247,0.4291371761251592,0.45634207723990816,0.4297848145721168,0.3433022417841297,0.34845754550850605,0.3688200070059894,0.4062802108517968,0.3936388074934011,0.39832304232395155,0.03574658673837175,39,0.4027162993127986,0.3972539728635487,0.3979359779536398,0.39382807282615384,0.3976965041606263,0.40770958258932744,0.40564165687064857,0.4036322232627384,0.3998682082978865,0.40084945825047247,0.4007131956387841,0.004033477185734184
2,0.003990674018859863,0.0006010745585510027,0.000992131233215332,0.0003342108585737788,1,3,"{'max_depth': 1, 'n_estimators': 3}",0.3823560982280825,0.4271330087458215,0.42886237295038154,0.4562517466388646,0.42918711133387777,0.3423974396363757,0.3472929577904591,0.36887213525416884,0.4075148985467113,0.39512764417463975,0.39849954132993826,0.03608243545745315,37,0.4029478691953743,0.39775229720613714,0.39787141633062684,0.3938135269255393,0.3976707460795992,0.4077613511109025,0.40573563298110893,0.404075016402927,0.40015883441939804,0.4011864659102993,0.4008973156561913,0.004063174046386301
3,0.004229879379272461,0.0004048620030604201,0.0007256507873535156,0.00016511846307340732,1,4,"{'max_depth': 1, 'n_estimators': 4}",0.3823786478826734,0.42733935581954907,0.42872515298966474,0.4564807728611263,0.429182475135384,0.34158606618431064,0.3468535346996199,0.3686724451734755,0.4078719863102922,0.3957764458429782,0.3984866882899074,0.036331579904254986,38,0.4029558476375119,0.3978088623564785,0.39777814240147247,0.39373190438296013,0.39765680126726766,0.4077069524414402,0.40571652933776736,0.4041056137662451,0.4001698684979923,0.4012731870117682,0.40089037091009033,0.004073186940008519
4,0.005328726768493652,0.0004223969057437968,0.0008010149002075195,0.00010006686801025262,1,5,"{'max_depth': 1, 'n_estimators': 5}",0.3826188067077002,0.4276831596341022,0.428658868978413,0.45582502827928484,0.4294557831311818,0.3428869652565467,0.34842277896785967,0.3694432565614695,0.4073754883690559,0.39557605146087904,0.3987946187346493,0.035761898253519914,31,0.4030250910730677,0.39786909238532775,0.3979132441075811,0.3938405880506556,0.39768044205682884,0.40775419799681,0.4056847388283218,0.40398844061145966,0.4001284027006099,0.4012561711890009,0.4009140408999663,0.0040367863988971745
5,0.04428167343139648,0.003171494516810494,0.002135014533996582,0.0016717177047244885,1,50,"{'max_depth': 1, 'n_estimators': 50}",0.38270502541014706,0.42825505018740717,0.42882660935297756,0.4562980649594762,0.4294093761636988,0.3420331888496174,0.34646461357698255,0.36803792457053686,0.40790718312876184,0.39666367697038396,0.3986600713169989,0.036422911067436815,36,0.4030248668395977,0.3978921692672146,0.39788450616735305,0.39380248444297905,0.39768863598761095,0.4077629729907699,0.40571811171415784,0.40409770705992665,0.4001717575382474,0.4013286168039609,0.4009371828811818,0.004056883616084128
6,0.0843123197555542,0.039694984410309025,0.00274658203125,0.0014678117708116307,1,75,"{'max_depth': 1, 'n_estimators': 75}",0.382688765930576,0.4281984673691597,0.42890022138900086,0.45611875882276975,0.42955918529732917,0.34228075898299204,0.3467284483145363,0.36820717371988065,0.40777344720871467,0.3965542350279194,0.3987009462062878,0.036316240012084805,32,0.40302692604424517,0.3978938056283631,0.39793935042023865,0.3938444638253552,0.39771828612184545,0.4077771896871869,0.4057325722928644,0.40410753209731054,0.40018217923866306,0.40133370406439994,0.40095560094204724,0.004047722386403983
7,0.07072455883026123,0.0031993421573488856,0.0021558761596679687,0.00033136345620648274,1,85,"{'max_depth': 1, 'n_estimators': 85}",0.38270491624915903,0.4282487084810468,0.4288710498406467,0.4561797974106999,0.4294965936313464,0.34215425703143953,0.3467109886312999,0.36825968323377933,0.4077608633190398,0.39649464899746345,0.3986881506825921,0.03633933277332861,34,0.4030248780222213,0.3978923733353076,0.39793074622575564,0.3938342354649603,0.3977097826157151,0.4077710365669145,0.4057312194282936,0.4041084816696193,0.4001825882862189,0.4013349549444446,0.4009520296559451,0.004049726928760021
8,0.08173952102661133,0.002697411737285861,0.002317500114440918,0.00024060699441178602,1,95,"{'max_depth': 1, 'n_estimators': 95}",0.3826886370473871,0.42814127534778645,0.4288773303444664,0.456184946000453,0.4295280619891657,0.3422213022220345,0.3468105623014872,0.36831765585661147,0.4077058869379008,0.39636915482575696,0.398684481287305,0.036305223371543086,35,0.403026969315869,0.3978944696769614,0.39793200235153814,0.39383535208652687,0.39771504139388436,0.4077746402363279,0.40573576346970996,0.40411136013442783,0.4001823570583549,0.40133510081470125,0.40095430565383017,0.0040503380870714764
9,0.08631911277770996,0.006837412915127906,0.003101205825805664,0.001481383001914068,1,100,"{'max_depth': 1, 'n_estimators': 100}",0.38266829093046206,0.428086122905901,0.42888077275259107,0.4561510180654855,0.4295621158658752,0.3422876982358153,0.34693334549360255,0.3683829346448261,0.4076791324945359,0.39635791080866456,0.39869893421977587,0.03626554505753055,33,0.40302838995368573,0.39789375803987537,0.3979383715814132,0.39383963287037893,0.39771964877776844,0.4077774306877149,0.4057398006977113,0.40411214301575227,0.4001817434713607,0.4013347933477964,0.40095657124434575,0.004049885385541384
