$DATA1 SOURCE='PrimeSim HSPICE' VERSION='T-2022.06-SP2 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
$index=1 is a nominal sample in Monte Carlo.
.TITLE '*****************************************'
index,t_fall_delay,t_rise_delay,temper,alter#
1, 2.090238e-11, 1.793971e-11,   0.,1
2, 2.285507e-11, 1.675506e-11,   0.,1
3, 2.023566e-11, 1.737033e-11,   0.,1
4, 1.900323e-11, 2.332906e-11,   0.,1
5, 1.874291e-11, 1.839308e-11,   0.,1
6, 1.493199e-11, 1.496308e-11,   0.,1
7, 2.476314e-11, 1.951169e-11,   0.,1
8, 1.973136e-11, 1.690440e-11,   0.,1
9, 1.812613e-11, 1.867309e-11,   0.,1
10, 2.181433e-11, 1.729950e-11,   0.,1
11, 2.008342e-11, 1.923888e-11,   0.,1
12, 2.129930e-11, 1.859220e-11,   0.,1
13, 2.289515e-11, 2.007551e-11,   0.,1
14, 1.928958e-11, 1.594758e-11,   0.,1
15, 2.516258e-11, 1.939524e-11,   0.,1
16, 1.893676e-11, 1.881754e-11,   0.,1
17, 1.935863e-11, 1.477953e-11,   0.,1
18, 2.027033e-11, 1.993549e-11,   0.,1
19, 1.895953e-11, 1.580889e-11,   0.,1
20, 2.463027e-11, 1.310948e-11,   0.,1
21, 1.913597e-11, 1.898854e-11,   0.,1
22, 2.140661e-11, 1.690724e-11,   0.,1
23, 2.594537e-11, 1.729220e-11,   0.,1
24, 1.736587e-11, 2.250387e-11,   0.,1
25, 1.686546e-11, 1.741325e-11,   0.,1
26, 1.990109e-11, 1.705358e-11,   0.,1
27, 2.235835e-11, 1.568878e-11,   0.,1
28, 1.990373e-11, 1.645688e-11,   0.,1
29, 1.775527e-11, 1.955532e-11,   0.,1
30, 1.895154e-11, 1.707210e-11,   0.,1
31, 1.978032e-11, 2.080713e-11,   0.,1
32, 2.039220e-11, 1.697304e-11,   0.,1
33, 2.466528e-11, 1.643949e-11,   0.,1
34, 2.382382e-11, 1.697763e-11,   0.,1
35, 2.215558e-11, 1.566501e-11,   0.,1
36, 1.754558e-11, 1.699972e-11,   0.,1
37, 1.678340e-11, 1.739877e-11,   0.,1
38, 2.272282e-11, 1.781201e-11,   0.,1
39, 2.535141e-11, 2.030758e-11,   0.,1
40, 2.097317e-11, 1.718481e-11,   0.,1
41, 1.983468e-11, 2.053247e-11,   0.,1
42, 1.969512e-11, 1.989539e-11,   0.,1
43, 2.005665e-11, 1.699720e-11,   0.,1
44, 1.983711e-11, 1.737917e-11,   0.,1
45, 1.956532e-11, 1.836946e-11,   0.,1
46, 1.788734e-11, 1.727547e-11,   0.,1
47, 1.804640e-11, 1.706154e-11,   0.,1
48, 2.210630e-11, 1.837439e-11,   0.,1
49, 2.149355e-11, 2.031128e-11,   0.,1
50, 2.250163e-11, 2.062598e-11,   0.,1
