 ****** PrimeSim HSPICE -- T-2022.06-SP2 linux64 (Nov 22 2022 7905465) ******
  Copyright (c) 1986 - 2024 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
3
#Number of plot points
50
#Number of Measures
2
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
t_fall_delay,t_rise_delay,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
1.493199e-11,1.310948e-11,-2.326348,-4.270045,-1.342726
1.67834e-11,1.477953e-11,-1.880794,-2.852844,-1.164163
1.686546e-11,1.496308e-11,-1.644854,-2.390879,-1.029883
1.736587e-11,1.566501e-11,-1.475791,-2.115665,-0.9189298
1.754558e-11,1.568878e-11,-1.340755,-1.917187,-0.8226454
1.775527e-11,1.580889e-11,-1.226528,-1.760113,-0.7365089
1.788734e-11,1.594758e-11,-1.126391,-1.628833,-0.6578258
1.80464e-11,1.643949e-11,-1.036433,-1.515115,-0.5848439
1.812613e-11,1.645688e-11,-0.9541653,-1.414092,-0.5163506
1.874291e-11,1.675506e-11,-0.8778963,-1.322649,-0.4514659
1.893676e-11,1.69044e-11,-0.8064212,-1.238669,-0.3895268
1.895154e-11,1.690724e-11,-0.7388468,-1.160648,-0.330018
1.895953e-11,1.697304e-11,-0.6744898,-1.087474,-0.2725283
1.900323e-11,1.697763e-11,-0.612813,-1.018302,-0.2167215
1.913597e-11,1.69972e-11,-0.5533847,-0.9524741,-0.1623175
1.928958e-11,1.699972e-11,-0.4958503,-0.8894631,-0.1090777
1.935863e-11,1.705358e-11,-0.4399132,-0.8288408,-0.05679543
1.956532e-11,1.706154e-11,-0.3853205,-0.7702524,-0.005288237
1.969512e-11,1.70721e-11,-0.3318533,-0.7133991,0.04560766
1.973136e-11,1.718481e-11,-0.279319,-0.658025,0.09604205
1.978032e-11,1.727547e-11,-0.227545,-0.6039081,0.1461542
1.983468e-11,1.72922e-11,-0.1763742,-0.5508526,0.196076
1.983711e-11,1.72995e-11,-0.1256613,-0.4986832,0.2459346
1.990109e-11,1.737033e-11,-0.07526986,-0.447241,0.2958547
1.990373e-11,1.737917e-11,-0.02506891,-0.3963793,0.3459607
2.005665e-11,1.739877e-11,0.02506891,-0.3459607,0.3963793
2.008342e-11,1.741325e-11,0.07526986,-0.2958547,0.447241
2.023566e-11,1.781201e-11,0.1256613,-0.2459346,0.4986832
2.027033e-11,1.793971e-11,0.1763742,-0.196076,0.5508526
2.03922e-11,1.836946e-11,0.227545,-0.1461542,0.6039081
2.090238e-11,1.837439e-11,0.279319,-0.09604205,0.658025
2.097317e-11,1.839308e-11,0.3318533,-0.04560766,0.7133991
2.12993e-11,1.85922e-11,0.3853205,0.005288237,0.7702524
2.140661e-11,1.867309e-11,0.4399132,0.05679543,0.8288408
2.149355e-11,1.881754e-11,0.4958503,0.1090777,0.8894631
2.181433e-11,1.898854e-11,0.5533847,0.1623175,0.9524741
2.21063e-11,1.923888e-11,0.612813,0.2167215,1.018302
2.215558e-11,1.939524e-11,0.6744898,0.2725283,1.087474
2.235835e-11,1.951169e-11,0.7388468,0.330018,1.160648
2.250163e-11,1.955532e-11,0.8064212,0.3895268,1.238669
2.272282e-11,1.989539e-11,0.8778963,0.4514659,1.322649
2.285507e-11,1.993549e-11,0.9541653,0.5163506,1.414092
2.289515e-11,2.007551e-11,1.036433,0.5848439,1.515115
2.382382e-11,2.030758e-11,1.126391,0.6578258,1.628833
2.463027e-11,2.031128e-11,1.226528,0.7365089,1.760113
2.466528e-11,2.053247e-11,1.340755,0.8226454,1.917187
2.476314e-11,2.062598e-11,1.475791,0.9189298,2.115665
2.516258e-11,2.080713e-11,1.644854,1.029883,2.390879
2.535141e-11,2.250387e-11,1.880794,1.164163,2.852844
2.594537e-11,2.332906e-11,2.326348,1.342726,4.270045
