$DATA1 SOURCE='PrimeSim HSPICE' VERSION='T-2022.06-SP2 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
$index=1 is a nominal sample in Monte Carlo.
.TITLE '*****************************************'
index,t_fall_delay,t_rise_delay,temper,alter#
1, 2.156631e-11, 1.888162e-11,  50.0000000,1
2, 2.576373e-11, 1.716900e-11,  50.0000000,1
3, 2.096008e-11, 1.828393e-11,  50.0000000,1
4, 1.953548e-11, 2.489936e-11,  50.0000000,1
5, 1.882072e-11, 1.937201e-11,  50.0000000,1
6, 1.540947e-11, 1.572534e-11,  50.0000000,1
7, 2.557838e-11, 2.065058e-11,  50.0000000,1
8, 2.124589e-11, 1.780532e-11,  50.0000000,1
9, 1.807576e-11, 1.968302e-11,  50.0000000,1
10, 2.341833e-11, 1.774899e-11,  50.0000000,1
11, 2.070679e-11, 2.033171e-11,  50.0000000,1
12, 2.349015e-11, 1.959254e-11,  50.0000000,1
13, 2.359912e-11, 2.130980e-11,  50.0000000,1
14, 1.999139e-11, 1.671005e-11,  50.0000000,1
15, 2.528072e-11, 2.051412e-11,  50.0000000,1
16, 1.942829e-11, 1.984628e-11,  50.0000000,1
17, 2.012427e-11, 1.554597e-11,  50.0000000,1
18, 2.089189e-11, 2.114721e-11,  50.0000000,1
19, 1.973589e-11, 1.656959e-11,  50.0000000,1
20, 2.516737e-11, 1.452740e-11,  50.0000000,1
21, 1.990359e-11, 2.004176e-11,  50.0000000,1
22, 2.350032e-11, 1.733191e-11,  50.0000000,1
23, 2.722757e-11, 1.774152e-11,  50.0000000,1
24, 1.742672e-11, 2.399942e-11,  50.0000000,1
25, 1.748336e-11, 1.832864e-11,  50.0000000,1
26, 2.161416e-11, 1.748845e-11,  50.0000000,1
27, 2.327208e-11, 1.644877e-11,  50.0000000,1
28, 2.076788e-11, 1.684641e-11,  50.0000000,1
29, 1.828218e-11, 2.070177e-11,  50.0000000,1
30, 1.943112e-11, 1.797679e-11,  50.0000000,1
31, 2.027847e-11, 2.214413e-11,  50.0000000,1
32, 2.228190e-11, 1.740235e-11,  50.0000000,1
33, 2.658643e-11, 1.682951e-11,  50.0000000,1
34, 2.487933e-11, 1.787949e-11,  50.0000000,1
35, 2.305768e-11, 1.642489e-11,  50.0000000,1
36, 1.793665e-11, 1.790281e-11,  50.0000000,1
37, 1.738391e-11, 1.831361e-11,  50.0000000,1
38, 2.390286e-11, 1.874583e-11,  50.0000000,1
39, 2.607398e-11, 2.157697e-11,  50.0000000,1
40, 2.261953e-11, 1.762781e-11,  50.0000000,1
41, 2.049804e-11, 2.183425e-11,  50.0000000,1
42, 2.029255e-11, 2.110042e-11,  50.0000000,1
43, 2.040460e-11, 1.742822e-11,  50.0000000,1
44, 2.055892e-11, 1.829313e-11,  50.0000000,1
45, 1.972547e-11, 1.934610e-11,  50.0000000,1
46, 1.773625e-11, 1.772532e-11,  50.0000000,1
47, 1.799253e-11, 1.749755e-11,  50.0000000,1
48, 2.385216e-11, 1.935137e-11,  50.0000000,1
49, 2.210677e-11, 2.158180e-11,  50.0000000,1
50, 2.313336e-11, 2.193991e-11,  50.0000000,1
