,nfetPhig,pfetPhig,capacitance,voltage,finsNumber,tphL,tplH,energy,temperature,finLength,finHeight
41,-0.8014,-0.8294,1e-15,0.6,1,4.081069e-11,1.367271e-11,-5.658378e-15,125.0,2.1e-08,3.2e-08
42,-0.2677,0.215,1e-15,0.6,1,3.235084e-11,1.486705e-11,-5.651142e-15,125.0,2.1e-08,3.2e-08
43,1.6757,0.8946,1e-15,0.6,1,2.883657e-11,2.059267e-11,-5.543335e-15,125.0,2.1e-08,3.2e-08
44,0.2014,1.0447,1e-15,0.6,1,3.122736e-11,1.594853e-11,-5.606467e-15,125.0,2.1e-08,3.2e-08
45,-1.7987,2.7742,1e-15,0.6,1,2.258425e-11,1.177479e-11,-5.682475e-15,125.0,2.1e-08,3.2e-08
46,0.656,-1.2719,1e-15,0.6,1,4.396066e-11,1.702013e-11,-5.63762e-15,125.0,2.1e-08,3.2e-08
47,-0.4937,0.4482,1e-15,0.6,1,3.116673e-11,1.436314e-11,-5.628746e-15,125.0,2.1e-08,3.2e-08
48,0.3209,1.4379,1e-15,0.6,1,2.674191e-11,1.623708e-11,-5.635732e-15,125.0,2.1e-08,3.2e-08
49,-0.5189,-0.378,1e-15,0.6,1,3.585857e-11,1.430283e-11,-5.650059e-15,125.0,2.1e-08,3.2e-08
50,0.5518,0.3415,1e-15,0.6,1,3.161066e-11,1.680813e-11,-5.648708e-15,125.0,2.1e-08,3.2e-08
51,0.29,-0.1841,1e-15,0.6,1,3.706109e-11,1.615431e-11,-5.70275e-15,125.0,2.1e-08,3.2e-08
52,0.8485,-0.7446,1e-15,0.6,1,3.828465e-11,1.757166e-11,-5.653419e-15,125.0,2.1e-08,3.2e-08
53,-1.2438,0.6697,1e-15,0.6,1,2.953137e-11,1.264895e-11,-5.630218e-15,125.0,2.1e-08,3.2e-08
54,0.6131,-1.1911,1e-15,0.6,1,4.299256e-11,1.690525e-11,-5.727158e-15,125.0,2.1e-08,3.2e-08
55,0.3824,0.9694,1e-15,0.6,1,2.886192e-11,1.638474e-11,-5.651572e-15,125.0,2.1e-08,3.2e-08
56,-1.8849,0.6073,1e-15,0.6,1,3.188756e-11,1.163511e-11,-5.620991e-15,125.0,2.1e-08,3.2e-08
57,0.8013,0.2451,1e-15,0.6,1,3.206636e-11,1.743695e-11,-5.646056e-15,125.0,2.1e-08,3.2e-08
58,-1.3209,0.8362,1e-15,0.6,1,2.876619e-11,1.251872e-11,-5.599411e-15,125.0,2.1e-08,3.2e-08
59,-2.4502,-1.2897,1e-15,0.6,1,4.454657e-11,1.08407e-11,-5.670561e-15,125.0,2.1e-08,3.2e-08
60,0.0,0.0,1e-15,0.6,1,3.191034e-11,1.436503e-11,-5.620361e-15,75.0,2.1e-08,3.2e-08
61,-0.8014,-0.8294,1e-15,0.6,1,3.716987e-11,1.252967e-11,-5.664299e-15,75.0,2.1e-08,3.2e-08
62,-0.2677,0.215,1e-15,0.6,1,3.079739e-11,1.375719e-11,-5.649768e-15,75.0,2.1e-08,3.2e-08
63,1.6757,0.8946,1e-15,0.6,1,2.71197e-11,1.896361e-11,-5.518647e-15,75.0,2.1e-08,3.2e-08
64,0.2014,1.0447,1e-15,0.6,1,2.659276e-11,1.483173e-11,-5.529726e-15,75.0,2.1e-08,3.2e-08
65,-1.7987,2.7742,1e-15,0.6,1,2.156921e-11,1.157016e-11,-5.670954e-15,75.0,2.1e-08,3.2e-08
66,0.656,-1.2719,1e-15,0.6,1,4.274625e-11,1.59005e-11,-5.681974e-15,75.0,2.1e-08,3.2e-08
67,-0.4937,0.4482,1e-15,0.6,1,2.927592e-11,1.324501e-11,-5.599105e-15,75.0,2.1e-08,3.2e-08
68,0.3209,1.4379,1e-15,0.6,1,2.517059e-11,1.511136e-11,-5.620485e-15,75.0,2.1e-08,3.2e-08
69,-0.5189,-0.378,1e-15,0.6,1,3.413736e-11,1.31838e-11,-5.63115e-15,75.0,2.1e-08,3.2e-08
70,0.5518,0.3415,1e-15,0.6,1,2.980339e-11,1.565365e-11,-5.599832e-15,75.0,2.1e-08,3.2e-08
71,0.29,-0.1841,1e-15,0.6,1,3.295115e-11,1.503223e-11,-5.621795e-15,75.0,2.1e-08,3.2e-08
72,0.8485,-0.7446,1e-15,0.6,1,3.658692e-11,1.638683e-11,-5.635691e-15,75.0,2.1e-08,3.2e-08
73,-1.2438,0.6697,1e-15,0.6,1,2.820047e-11,1.181985e-11,-5.601484e-15,75.0,2.1e-08,3.2e-08
74,0.6131,-1.1911,1e-15,0.6,1,4.178949e-11,1.57959e-11,-5.661935e-15,75.0,2.1e-08,3.2e-08
75,0.3824,0.9694,1e-15,0.6,1,2.688788e-11,1.525328e-11,-5.530186e-15,75.0,2.1e-08,3.2e-08
76,-1.8849,0.6073,1e-15,0.6,1,2.91921e-11,1.142235e-11,-5.551339e-15,75.0,2.1e-08,3.2e-08
77,0.8013,0.2451,1e-15,0.6,1,3.057422e-11,1.626985e-11,-5.659187e-15,75.0,2.1e-08,3.2e-08
78,-1.3209,0.8362,1e-15,0.6,1,2.747648e-11,1.170362e-11,-5.585965e-15,75.0,2.1e-08,3.2e-08
79,-2.4502,-1.2897,1e-15,0.6,1,4.206146e-11,1.061276e-11,-5.660877e-15,75.0,2.1e-08,3.2e-08
80,0.0,0.0,1e-15,0.6,1,3.060745e-11,1.333745e-11,-5.637206e-15,25.0,2.1e-08,3.2e-08
81,-0.8014,-0.8294,1e-15,0.6,1,3.588119e-11,1.176862e-11,-5.652851e-15,25.0,2.1e-08,3.2e-08
82,-0.2677,0.215,1e-15,0.6,1,2.919348e-11,1.271214e-11,-5.597816e-15,25.0,2.1e-08,3.2e-08
83,1.6757,0.8946,1e-15,0.6,1,2.579495e-11,1.763584e-11,-5.500085e-15,25.0,2.1e-08,3.2e-08
84,0.2014,1.0447,1e-15,0.6,1,2.547173e-11,1.381118e-11,-5.513596e-15,25.0,2.1e-08,3.2e-08
85,-1.7987,2.7742,1e-15,0.6,1,2.046063e-11,1.093316e-11,-5.554122e-15,25.0,2.1e-08,3.2e-08
86,0.656,-1.2719,1e-15,0.6,1,3.957041e-11,1.48764e-11,-5.651887e-15,25.0,2.1e-08,3.2e-08
87,-0.4937,0.4482,1e-15,0.6,1,2.784608e-11,1.226936e-11,-5.539824e-15,25.0,2.1e-08,3.2e-08
88,0.3209,1.4379,1e-15,0.6,1,2.417415e-11,1.409269e-11,-5.612812e-15,25.0,2.1e-08,3.2e-08
89,-0.5189,-0.378,1e-15,0.6,1,3.264924e-11,1.222486e-11,-5.722978e-15,25.0,2.1e-08,3.2e-08
90,0.5518,0.3415,1e-15,0.6,1,2.845377e-11,1.46334e-11,-5.624028e-15,25.0,2.1e-08,3.2e-08
91,0.29,-0.1841,1e-15,0.6,1,3.160312e-11,1.40144e-11,-5.611434e-15,25.0,2.1e-08,3.2e-08
92,0.8485,-0.7446,1e-15,0.6,1,3.517727e-11,1.534615e-11,-5.627662e-15,25.0,2.1e-08,3.2e-08
93,-1.2438,0.6697,1e-15,0.6,1,2.695239e-11,1.173865e-11,-5.586558e-15,25.0,2.1e-08,3.2e-08
94,0.6131,-1.1911,1e-15,0.6,1,3.881435e-11,1.477402e-11,-5.594033e-15,25.0,2.1e-08,3.2e-08
95,0.3824,0.9694,1e-15,0.6,1,2.573986e-11,1.42352e-11,-5.514183e-15,25.0,2.1e-08,3.2e-08
96,-1.8849,0.6073,1e-15,0.6,1,2.914241e-11,1.079487e-11,-5.679717e-15,25.0,2.1e-08,3.2e-08
97,0.8013,0.2451,1e-15,0.6,1,2.893979e-11,1.523365e-11,-5.604199e-15,25.0,2.1e-08,3.2e-08
98,-1.3209,0.8362,1e-15,0.6,1,2.628617e-11,1.161839e-11,-5.526088e-15,25.0,2.1e-08,3.2e-08
99,-2.4502,-1.2897,1e-15,0.6,1,3.93543e-11,1.004043e-11,-5.589997e-15,25.0,2.1e-08,3.2e-08
100,0.0,0.0,1e-15,0.6,1,3.020392e-11,1.290254e-11,-5.638422e-15,0.0,2.1e-08,3.2e-08
101,-0.8014,-0.8294,1e-15,0.6,1,3.89507e-11,1.234081e-11,-5.63978e-15,0.0,2.1e-08,3.2e-08
102,-0.2677,0.215,1e-15,0.6,1,2.853587e-11,1.232861e-11,-5.618065e-15,0.0,2.1e-08,3.2e-08
103,1.6757,0.8946,1e-15,0.6,1,2.550699e-11,1.714577e-11,-5.499884e-15,0.0,2.1e-08,3.2e-08
104,0.2014,1.0447,1e-15,0.6,1,2.5116e-11,1.338392e-11,-5.508106e-15,0.0,2.1e-08,3.2e-08
105,-1.7987,2.7742,1e-15,0.6,1,1.976786e-11,1.068678e-11,-5.553751e-15,0.0,2.1e-08,3.2e-08
106,0.656,-1.2719,1e-15,0.6,1,3.922426e-11,1.446075e-11,-5.653046e-15,0.0,2.1e-08,3.2e-08
107,-0.4937,0.4482,1e-15,0.6,1,2.748832e-11,1.195049e-11,-5.628191e-15,0.0,2.1e-08,3.2e-08
108,0.3209,1.4379,1e-15,0.6,1,2.384299e-11,1.366926e-11,-5.611067e-15,0.0,2.1e-08,3.2e-08
109,-0.5189,-0.378,1e-15,0.6,1,3.227408e-11,1.190794e-11,-5.651585e-15,0.0,2.1e-08,3.2e-08
110,0.5518,0.3415,1e-15,0.6,1,2.807401e-11,1.421607e-11,-5.588109e-15,0.0,2.1e-08,3.2e-08
111,0.29,-0.1841,1e-15,0.6,1,3.120874e-11,1.359065e-11,-5.607963e-15,0.0,2.1e-08,3.2e-08
112,0.8485,-0.7446,1e-15,0.6,1,3.478829e-11,1.49313e-11,-5.64e-15,0.0,2.1e-08,3.2e-08
113,-1.2438,0.6697,1e-15,0.6,1,2.661222e-11,1.146701e-11,-5.520314e-15,0.0,2.1e-08,3.2e-08
114,0.6131,-1.1911,1e-15,0.6,1,3.846206e-11,1.435785e-11,-5.590943e-15,0.0,2.1e-08,3.2e-08
115,0.3824,0.9694,1e-15,0.6,1,2.538277e-11,1.381373e-11,-5.509014e-15,0.0,2.1e-08,3.2e-08
116,-1.8849,0.6073,1e-15,0.6,1,2.632125e-11,1.055272e-11,-5.495427e-15,0.0,2.1e-08,3.2e-08
117,0.8013,0.2451,1e-15,0.6,1,2.852311e-11,1.481867e-11,-5.616155e-15,0.0,2.1e-08,3.2e-08
118,-1.3209,0.8362,1e-15,0.6,1,2.593482e-11,1.135167e-11,-5.519991e-15,0.0,2.1e-08,3.2e-08
119,-2.4502,-1.2897,1e-15,0.6,1,3.913582e-11,9.827991e-12,-5.588999e-15,0.0,2.1e-08,3.2e-08
120,0.0,0.0,1e-15,0.6,1,2.929381e-11,1.248855e-11,-5.613022e-15,-25.0,2.1e-08,3.2e-08
121,-0.8014,-0.8294,1e-15,0.6,1,3.86073e-11,1.20101e-11,-5.635619e-15,-25.0,2.1e-08,3.2e-08
122,-0.2677,0.215,1e-15,0.6,1,2.826677e-11,1.202252e-11,-5.606298e-15,-25.0,2.1e-08,3.2e-08
123,1.6757,0.8946,1e-15,0.6,1,2.527329e-11,1.675114e-11,-5.503358e-15,-25.0,2.1e-08,3.2e-08
124,0.2014,1.0447,1e-15,0.6,1,2.479746e-11,1.297362e-11,-5.501907e-15,-25.0,2.1e-08,3.2e-08
125,-1.7987,2.7742,1e-15,0.6,1,2.039552e-11,1.046236e-11,-5.564458e-15,-25.0,2.1e-08,3.2e-08
126,0.656,-1.2719,1e-15,0.6,1,3.90005e-11,1.406718e-11,-5.600655e-15,-25.0,2.1e-08,3.2e-08
127,-0.4937,0.4482,1e-15,0.6,1,2.804789e-11,1.265486e-11,-5.602139e-15,-25.0,2.1e-08,3.2e-08
128,0.3209,1.4379,1e-15,0.6,1,2.354257e-11,1.3264e-11,-5.608536e-15,-25.0,2.1e-08,3.2e-08
129,-0.5189,-0.378,1e-15,0.6,1,3.443018e-11,1.259816e-11,-5.640874e-15,-25.0,2.1e-08,3.2e-08
130,0.5518,0.3415,1e-15,0.6,1,2.774554e-11,1.381965e-11,-5.688838e-15,-25.0,2.1e-08,3.2e-08
131,0.29,-0.1841,1e-15,0.6,1,3.08756e-11,1.318487e-11,-5.604421e-15,-25.0,2.1e-08,3.2e-08
132,0.8485,-0.7446,1e-15,0.6,1,3.450286e-11,1.454153e-11,-5.653613e-15,-25.0,2.1e-08,3.2e-08
133,-1.2438,0.6697,1e-15,0.6,1,2.687432e-11,1.12216e-11,-5.647048e-15,-25.0,2.1e-08,3.2e-08
134,0.6131,-1.1911,1e-15,0.6,1,3.822305e-11,1.396323e-11,-5.591626e-15,-25.0,2.1e-08,3.2e-08
135,0.3824,0.9694,1e-15,0.6,1,2.506491e-11,1.341116e-11,-5.503153e-15,-25.0,2.1e-08,3.2e-08
136,-1.8849,0.6073,1e-15,0.6,1,2.606205e-11,1.033245e-11,-5.495261e-15,-25.0,2.1e-08,3.2e-08
