,nmos_rvt:@:nfet_phig:@:IGNC,pmos_rvt:@:pfet_phig:@:IGNC,LoadCap,vdd,number_fin,t_fall_delay,t_rise_delay,temper
0,0.0,0.0,1f,0.6,1,3.122601e-11,1.38421e-11,50.0
1,-0.8014,-0.8294,1f,0.6,1,3.645914e-11,1.21324e-11,50.0
2,-0.2677,0.215,1f,0.6,1,3.012202e-11,1.32273e-11,50.0
3,1.6757,0.8946,1f,0.6,1,2.623752e-11,1.826387e-11,50.0
4,0.2014,1.0447,1f,0.6,1,2.599074e-11,1.43108e-11,50.0
5,-1.7987,2.7742,1f,0.6,1,2.097005e-11,1.12375e-11,50.0
6,0.656,-1.2719,1f,0.6,1,4.16897e-11,1.537299e-11,50.0
7,-0.4937,0.4482,1f,0.6,1,2.860057e-11,1.270639e-11,50.0
8,0.3209,1.4379,1f,0.6,1,2.464321e-11,1.459034e-11,50.0
9,-0.5189,-0.378,1f,0.6,1,3.343101e-11,1.264432e-11,50.0
10,0.5518,0.3415,1f,0.6,1,2.910231e-11,1.51294e-11,50.0
11,0.29,-0.1841,1f,0.6,1,3.222886e-11,1.451187e-11,50.0
12,0.8485,-0.7446,1f,0.6,1,3.584563e-11,1.584779e-11,50.0
13,-1.2438,0.6697,1f,0.6,1,2.840775e-11,1.221856e-11,50.0
14,0.6131,-1.1911,1f,0.6,1,3.954787e-11,1.527008e-11,50.0
15,0.3824,0.9694,1f,0.6,1,2.628392e-11,1.473196e-11,50.0
16,-1.8849,0.6073,1f,0.6,1,2.851386e-11,1.109462e-11,50.0
17,0.8013,0.2451,1f,0.6,1,2.957763e-11,1.573394e-11,50.0
18,-1.3209,0.8362,1f,0.6,1,2.770286e-11,1.206114e-11,50.0
19,-2.4502,-1.2897,1f,0.6,1,4.001377e-11,1.031404e-11,50.0
20,0.0,0.0,1f,0.6,1,3.268639e-11,1.490797e-11,100.0
21,-0.8014,-0.8294,1f,0.6,1,3.828699e-11,1.309829e-11,100.0
22,-0.2677,0.215,1f,0.6,1,3.153348e-11,1.430306e-11,100.0
23,1.6757,0.8946,1f,0.6,1,2.778716e-11,1.973842e-11,100.0
24,0.2014,1.0447,1f,0.6,1,2.723874e-11,1.537629e-11,100.0
25,-1.7987,2.7742,1f,0.6,1,2.187905e-11,1.138734e-11,100.0
26,0.656,-1.2719,1f,0.6,1,4.678958e-11,1.646449e-11,100.0
27,-0.4937,0.4482,1f,0.6,1,3.00352e-11,1.379668e-11,100.0
28,0.3209,1.4379,1f,0.6,1,2.574198e-11,1.56586e-11,100.0
29,-0.5189,-0.378,1f,0.6,1,3.495193e-11,1.373609e-11,100.0
30,0.5518,0.3415,1f,0.6,1,3.085928e-11,1.621061e-11,100.0
31,0.29,-0.1841,1f,0.6,1,3.373308e-11,1.557814e-11,100.0
32,0.8485,-0.7446,1f,0.6,1,3.961726e-11,1.69717e-11,100.0
33,-1.2438,0.6697,1f,0.6,1,2.88247e-11,1.221596e-11,100.0
34,0.6131,-1.1911,1f,0.6,1,4.293945e-11,1.635655e-11,100.0
35,0.3824,0.9694,1f,0.6,1,2.753156e-11,1.580233e-11,100.0
36,-1.8849,0.6073,1f,0.6,1,3.226111e-11,1.125474e-11,100.0
37,0.8013,0.2451,1f,0.6,1,3.454946e-11,1.684905e-11,100.0
38,-1.3209,0.8362,1f,0.6,1,2.818442e-11,1.209369e-11,100.0
39,-2.4502,-1.2897,1f,0.6,1,4.192444e-11,1.049974e-11,100.0
40,0.0,0.0,1f,0.6,1,3.350544e-11,1.547386e-11,125.0
41,-0.8014,-0.8294,1f,0.6,1,4.081069e-11,1.367271e-11,125.0
42,-0.2677,0.215,1f,0.6,1,3.235084e-11,1.486705e-11,125.0
43,1.6757,0.8946,1f,0.6,1,2.883657e-11,2.059267e-11,125.0
44,0.2014,1.0447,1f,0.6,1,3.122736e-11,1.594853e-11,125.0
45,-1.7987,2.7742,1f,0.6,1,2.258425e-11,1.177479e-11,125.0
46,0.656,-1.2719,1f,0.6,1,4.396066e-11,1.702013e-11,125.0
47,-0.4937,0.4482,1f,0.6,1,3.116673e-11,1.436314e-11,125.0
48,0.3209,1.4379,1f,0.6,1,2.674191e-11,1.623708e-11,125.0
49,-0.5189,-0.378,1f,0.6,1,3.585857e-11,1.430283e-11,125.0
50,0.5518,0.3415,1f,0.6,1,3.161066e-11,1.680813e-11,125.0
51,0.29,-0.1841,1f,0.6,1,3.706109e-11,1.615431e-11,125.0
52,0.8485,-0.7446,1f,0.6,1,3.828465e-11,1.757166e-11,125.0
