,Regressor Linear,SVR,Decision Trees,Random Forest,Metric
TPHL,1.3663386480218465e-11,4.997356504294311e-09,7.355822659526809e-12,7.2472280360555186e-12,MAE
TPLH,1.3352169029094939e-11,4.931066968674926e-09,1.2630613578685058e-11,1.263955054017063e-11,MAE
IINT,7.496521013664464e-11,1.1806029827300615e-07,1.3581021086252992e-10,1.3537543360638157e-10,MAE
TPHL,2.641294214076094e-20,2.4973584246196866e-17,3.2218812415477824e-20,3.2218813834543175e-20,MSE
TPLH,2.0191755014740437e-20,2.4315528697408582e-17,4.618524326853533e-20,4.6185328276891913e-20,MSE
IINT,2.4794287231229765e-18,1.3941291724552418e-14,5.726835967585175e-18,5.726806597665004e-18,MSE
TPHL,0.1802010956010296,-774.1244406942752,-1.8848652683089995e-07,-2.3253115499777266e-07,R2
TPLH,0.562786443695293,-525.5059311319021,-5.246911391076914e-05,-5.4309806107655234e-05,R2
IINT,0.5669637525833221,-2433.8692084753,-0.0002011890264541627,-0.000196059522266534,R2
