,1,2,load,Vin,number_fin,index,temp,montecarlo_iteration,tplha,tphla,tplhb,tphlb,total_power,iint,temper,alter#
10949,4.321151336000001,4.765845872,18f,0.7,1,70,90,10,2.66991e-10,2.84617e-10,2.67819e-10,2.85068e-10,-3.55232e-07,-2.53737e-14,90,1
10950,4.370066928,4.852864388,18f,0.7,1,71,100,1,2.12766e-10,3.28191e-10,2.13395e-10,3.27919e-10,-3.56868e-07,-2.54905e-14,100,1
10951,4.370806412,4.873612049,18f,0.7,1,72,100,2,2.03396e-10,3.28991e-10,2.04001e-10,3.28706e-10,-3.58668e-07,-2.56191e-14,100,1
10952,4.333498878,4.850896718,18f,0.7,1,73,100,3,2.13955e-10,2.96006e-10,2.14567e-10,2.96719e-10,-3.56981e-07,-2.54987e-14,100,1
10953,4.407236791,4.856645244,18f,0.7,1,74,100,4,2.10872e-10,3.68943e-10,2.11491e-10,3.69945e-10,-3.57041e-07,-2.55029e-14,100,1
10954,4.387795215,4.770993196,18f,0.7,1,75,100,5,2.64414e-10,3.46112e-10,2.6519e-10,3.46357e-10,-3.54967e-07,-2.53548e-14,100,1
10955,4.327368287,4.944578681,18f,0.7,1,76,100,6,1.78353e-10,2.91957e-10,1.78886e-10,2.92614e-10,-3.85494e-07,-2.75353e-14,100,1
10956,4.407029602,4.828899174,18f,0.7,1,77,100,7,2.25056e-10,3.68614e-10,2.25715e-10,3.69606e-10,-3.55732e-07,-2.54094e-14,100,1
10957,4.346317455,4.844399261,18f,0.7,1,78,100,8,2.17123e-10,3.06464e-10,2.17764e-10,3.06479e-10,-3.56558e-07,-2.54684e-14,100,1
10958,4.486196606,4.846298129,18f,0.7,1,79,100,9,2.15841e-10,5.04864e-10,2.16417e-10,5.05642e-10,-3.5631e-07,-2.54507e-14,100,1
10959,4.321151336000001,4.765845872,18f,0.7,1,80,100,10,2.68735e-10,2.86656e-10,2.6957e-10,2.87061e-10,-3.55426e-07,-2.53876e-14,100,1
10960,4.370066928,4.852864388,18f,0.7,2,1,-15,1,9.29457e-11,1.51093e-10,9.35009e-11,1.51322e-10,-3.56612e-07,-2.54723e-14,-15,1
10961,4.370806412,4.873612049,18f,0.7,2,2,-15,2,8.85933e-11,1.51477e-10,8.91224e-11,1.51706e-10,-3.56712e-07,-2.54794e-14,-15,1
10962,4.333498878,4.850896718,18f,0.7,2,3,-15,3,9.33552e-11,1.35379e-10,9.39391e-11,1.35774e-10,-3.56871e-07,-2.54908e-14,-15,1
10963,4.407236791,4.856645244,18f,0.7,2,4,-15,4,9.19708e-11,1.71495e-10,9.25175e-11,1.71674e-10,-3.56553e-07,-2.54681e-14,-15,1
10964,4.387795215,4.770993196,18f,0.7,2,5,-15,5,1.18383e-10,1.60185e-10,1.19104e-10,1.60108e-10,-3.56608e-07,-2.5472e-14,-15,1
10965,4.327368287,4.944578681,18f,0.7,2,6,-15,6,7.76715e-11,1.33198e-10,7.81499e-11,1.33617e-10,-3.57722e-07,-2.55516e-14,-15,1
10966,4.407029602,4.828899174,18f,0.7,2,7,-15,7,9.8689e-11,1.7133e-10,9.92763e-11,1.71508e-10,-3.56493e-07,-2.54638e-14,-15,1
10967,4.346317455,4.844399261,18f,0.7,2,8,-15,8,9.48574e-11,1.40356e-10,9.54449e-11,1.40624e-10,-3.56814e-07,-2.54867e-14,-15,1
10968,4.486196606,4.846298129,18f,0.7,2,9,-15,9,9.42991e-11,2.42474e-10,9.47337e-11,2.426e-10,-3.56243e-07,-2.54459e-14,-15,1
10969,4.321151336000001,4.765845872,18f,0.7,2,10,-15,10,1.20716e-10,1.30822e-10,1.21539e-10,1.31291e-10,-3.56742e-07,-2.54816e-14,-15,1
10970,4.370066928,4.852864388,18f,0.7,2,11,5,1,9.58387e-11,1.53975e-10,9.64356e-11,1.5424e-10,-3.56654e-07,-2.54753e-14,5,1
10971,4.370806412,4.873612049,18f,0.7,2,12,5,2,9.1444e-11,1.54362e-10,9.20182e-11,1.54619e-10,-3.56873e-07,-2.54909e-14,5,1
10972,4.333498878,4.850896718,18f,0.7,2,13,5,3,9.63538e-11,1.3806e-10,9.69766e-11,1.38573e-10,-3.5684e-07,-2.54886e-14,5,1
10973,4.407236791,4.856645244,18f,0.7,2,14,5,4,9.50779e-11,1.74497e-10,9.55746e-11,1.74685e-10,-3.5671e-07,-2.54793e-14,5,1
10974,4.387795215,4.770993196,18f,0.7,2,15,5,5,1.21644e-10,1.63147e-10,1.22379e-10,1.63023e-10,-3.56496e-07,-2.5464e-14,5,1
10975,4.327368287,4.944578681,18f,0.7,2,16,5,6,8.03129e-11,1.35866e-10,8.08043e-11,1.36258e-10,-3.59186e-07,-2.56561e-14,5,1
10976,4.407029602,4.828899174,18f,0.7,2,17,5,7,1.01815e-10,1.74331e-10,1.02444e-10,1.74518e-10,-3.56547e-07,-2.54677e-14,5,1
10977,4.346317455,4.844399261,18f,0.7,2,18,5,8,9.79164e-11,1.43232e-10,9.85676e-11,1.43361e-10,-3.56852e-07,-2.54894e-14,5,1
10978,4.486196606,4.846298129,18f,0.7,2,19,5,9,9.73756e-11,2.45466e-10,9.78135e-11,2.45666e-10,-3.56348e-07,-2.54534e-14,5,1
10979,4.321151336000001,4.765845872,18f,0.7,2,20,5,10,1.23963e-10,1.33455e-10,1.24866e-10,1.33931e-10,-3.56816e-07,-2.54868e-14,5,1
10980,4.370066928,4.852864388,18f,0.7,2,21,15,1,9.73859e-11,1.55269e-10,9.79174e-11,1.55498e-10,-3.56865e-07,-2.54904e-14,15,1
10981,4.370806412,4.873612049,18f,0.7,2,22,15,2,9.29081e-11,1.55657e-10,9.34652e-11,1.55879e-10,-3.57011e-07,-2.55008e-14,15,1
10982,4.333498878,4.850896718,18f,0.7,2,23,15,3,9.77744e-11,1.39345e-10,9.84007e-11,1.39898e-10,-3.57008e-07,-2.55006e-14,15,1
10983,4.407236791,4.856645244,18f,0.7,2,24,15,4,9.64035e-11,1.75897e-10,9.6998e-11,1.7609e-10,-3.56603e-07,-2.54717e-14,15,1
10984,4.387795215,4.770993196,18f,0.7,2,25,15,5,1.23184e-10,1.64426e-10,1.23969e-10,1.64395e-10,-3.56628e-07,-2.54734e-14,15,1
10985,4.327368287,4.944578681,18f,0.7,2,26,15,6,8.15418e-11,1.37145e-10,8.20397e-11,1.37582e-10,-3.60498e-07,-2.57498e-14,15,1
10986,4.407029602,4.828899174,18f,0.7,2,27,15,7,1.0325e-10,1.75731e-10,1.03877e-10,1.75922e-10,-3.56706e-07,-2.5479e-14,15,1
10987,4.346317455,4.844399261,18f,0.7,2,28,15,8,9.93317e-11,1.44533e-10,9.9975e-11,1.44667e-10,-3.56893e-07,-2.54923e-14,15,1
10988,4.486196606,4.846298129,18f,0.7,2,29,15,9,9.88319e-11,2.46769e-10,9.92713e-11,2.47122e-10,-3.56603e-07,-2.54716e-14,15,1
10989,4.321151336000001,4.765845872,18f,0.7,2,30,15,10,1.25462e-10,1.34716e-10,1.26242e-10,1.35194e-10,-3.56836e-07,-2.54883e-14,15,1
10990,4.370066928,4.852864388,18f,0.7,2,31,25,1,9.86813e-11,1.56602e-10,9.92986e-11,1.56615e-10,-3.56843e-07,-2.54888e-14,25,1
10991,4.370806412,4.873612049,18f,0.7,2,32,25,2,9.42493e-11,1.56992e-10,9.48128e-11,1.57002e-10,-3.5721e-07,-2.5515e-14,25,1
10992,4.333498878,4.850896718,18f,0.7,2,33,25,3,9.91466e-11,1.40594e-10,9.9778e-11,1.41073e-10,-3.57085e-07,-2.55061e-14,25,1
10993,4.407236791,4.856645244,18f,0.7,2,34,25,4,9.7738e-11,1.77236e-10,9.83369e-11,1.77435e-10,-3.56862e-07,-2.54901e-14,25,1
10994,4.387795215,4.770993196,18f,0.7,2,35,25,5,1.24573e-10,1.65748e-10,1.25341e-10,1.65737e-10,-3.56685e-07,-2.54775e-14,25,1
