,load,Vin,number_fin,time
118,16f,0.8,8,2023-07-13 14:01:31.148267
119,16f,0.8,10,2023-07-13 14:01:33.302193
120,16f,0.9,1,2023-07-13 14:02:01.161906
121,16f,0.9,2,2023-07-13 14:02:02.994251
122,16f,0.9,3,2023-07-13 14:02:04.088432
123,16f,0.9,4,2023-07-13 14:02:09.636295
124,16f,0.9,5,2023-07-13 14:02:11.777389
125,16f,0.9,6,2023-07-13 14:02:12.999098
126,16f,0.9,8,2023-07-13 14:02:41.702941
127,16f,0.9,10,2023-07-13 14:02:45.720804
128,18f,0.6,1,2023-07-13 14:02:46.737182
129,18f,0.6,2,2023-07-13 14:02:50.818815
130,18f,0.6,3,2023-07-13 14:02:53.120948
131,18f,0.6,4,2023-07-13 14:02:55.258480
132,18f,0.6,5,2023-07-13 14:03:23.306608
133,18f,0.6,6,2023-07-13 14:03:25.727178
134,18f,0.6,8,2023-07-13 14:03:27.248758
135,18f,0.6,10,2023-07-13 14:03:30.716083
136,18f,0.7,1,2023-07-13 14:03:33.348017
137,18f,0.7,2,2023-07-13 14:03:34.967814
138,18f,0.7,3,2023-07-13 14:04:03.370833
139,18f,0.7,4,2023-07-13 14:04:06.542601
140,18f,0.7,5,2023-07-13 14:04:06.656560
141,18f,0.7,6,2023-07-13 14:04:12.662935
142,18f,0.7,8,2023-07-13 14:04:17.065349
143,18f,0.7,10,2023-07-13 14:04:19.143341
144,18f,0.8,1,2023-07-13 14:04:51.125281
145,18f,0.8,2,2023-07-13 14:04:54.982875
146,18f,0.8,3,2023-07-13 14:04:55.343801
147,18f,0.8,4,2023-07-13 14:04:59.629526
148,18f,0.8,5,2023-07-13 14:05:02.665850
149,18f,0.8,6,2023-07-13 14:05:04.096585
150,18f,0.8,8,2023-07-13 14:05:34.353087
152,18f,0.9,1,2023-07-13 14:05:37.566934
151,18f,0.8,10,2023-07-13 14:05:38.933104
153,18f,0.9,2,2023-07-13 14:05:41.104575
155,18f,0.9,4,2023-07-13 14:05:45.351590
154,18f,0.9,3,2023-07-13 14:05:45.368154
156,18f,0.9,5,2023-07-13 14:06:14.446072
157,18f,0.9,6,2023-07-13 14:06:17.682344
158,18f,0.9,8,2023-07-13 14:06:20.844654
159,18f,0.9,10,2023-07-13 14:06:21.936829
161,20f,0.6,2,2023-07-13 14:06:27.278806
160,20f,0.6,1,2023-07-13 14:06:27.286735
162,20f,0.6,3,2023-07-13 14:06:52.908521
163,20f,0.6,4,2023-07-13 14:06:56.998165
164,20f,0.6,5,2023-07-13 14:06:59.876633
165,20f,0.6,6,2023-07-13 14:07:00.297406
167,20f,0.6,10,2023-07-13 14:07:07.345826
166,20f,0.6,8,2023-07-13 14:07:08.355118
168,20f,0.7,1,2023-07-13 14:07:32.933048
169,20f,0.7,2,2023-07-13 14:07:38.447492
171,20f,0.7,4,2023-07-13 14:07:39.355405
170,20f,0.7,3,2023-07-13 14:07:40.120873
172,20f,0.7,5,2023-07-13 14:07:48.088781
173,20f,0.7,6,2023-07-13 14:07:48.680646
174,20f,0.7,8,2023-07-13 14:08:13.567836
176,20f,0.8,1,2023-07-13 14:08:20.358022
175,20f,0.7,10,2023-07-13 14:08:21.145426
177,20f,0.8,2,2023-07-13 14:08:21.676927
178,20f,0.8,3,2023-07-13 14:08:28.968344
179,20f,0.8,4,2023-07-13 14:08:29.227576
180,20f,0.8,5,2023-07-13 14:08:54.581265
183,20f,0.8,10,2023-07-13 14:09:01.677876
182,20f,0.8,8,2023-07-13 14:09:02.114599
181,20f,0.8,6,2023-07-13 14:09:02.158196
184,20f,0.9,1,2023-07-13 14:09:08.890754
185,20f,0.9,2,2023-07-13 14:09:10.553467
186,20f,0.9,3,2023-07-13 14:09:38.245514
187,20f,0.9,4,2023-07-13 14:09:43.817750
188,20f,0.9,5,2023-07-13 14:09:44.967196
189,20f,0.9,6,2023-07-13 14:09:48.441958
190,20f,0.9,8,2023-07-13 14:09:49.001612
191,20f,0.9,10,2023-07-13 14:09:49.749165
