,LoadCap,vdd,number_fin,time
117,16f,0.8,6,2023-07-13 13:21:42.451094
118,16f,0.8,8,2023-07-13 13:21:45.269791
119,16f,0.8,10,2023-07-13 13:21:49.589488
120,16f,0.9,1,2023-07-13 13:22:09.222374
121,16f,0.9,2,2023-07-13 13:22:09.823198
122,16f,0.9,3,2023-07-13 13:22:13.956167
123,16f,0.9,4,2023-07-13 13:22:16.490579
124,16f,0.9,5,2023-07-13 13:22:19.588970
125,16f,0.9,6,2023-07-13 13:22:23.899221
126,16f,0.9,8,2023-07-13 13:22:43.923251
127,16f,0.9,10,2023-07-13 13:22:44.956278
128,18f,0.6,1,2023-07-13 13:22:48.009691
129,18f,0.6,2,2023-07-13 13:22:51.551624
130,18f,0.6,3,2023-07-13 13:22:55.078200
131,18f,0.6,4,2023-07-13 13:22:59.722162
132,18f,0.6,5,2023-07-13 13:23:17.966279
133,18f,0.6,6,2023-07-13 13:23:20.228434
134,18f,0.6,8,2023-07-13 13:23:22.722800
135,18f,0.6,10,2023-07-13 13:23:27.108261
136,18f,0.7,1,2023-07-13 13:23:29.652241
137,18f,0.7,2,2023-07-13 13:23:34.964225
138,18f,0.7,3,2023-07-13 13:23:52.633564
139,18f,0.7,4,2023-07-13 13:23:56.024155
140,18f,0.7,5,2023-07-13 13:23:58.158436
141,18f,0.7,6,2023-07-13 13:24:03.215140
142,18f,0.7,8,2023-07-13 13:24:04.861944
143,18f,0.7,10,2023-07-13 13:24:10.105051
144,18f,0.8,1,2023-07-13 13:24:26.843866
145,18f,0.8,2,2023-07-13 13:24:30.061167
146,18f,0.8,3,2023-07-13 13:24:32.380635
147,18f,0.8,4,2023-07-13 13:24:37.881299
148,18f,0.8,5,2023-07-13 13:24:38.899155
149,18f,0.8,6,2023-07-13 13:24:43.953683
150,18f,0.8,8,2023-07-13 13:25:02.717654
151,18f,0.8,10,2023-07-13 13:25:07.508770
152,18f,0.9,1,2023-07-13 13:25:09.807988
153,18f,0.9,2,2023-07-13 13:25:15.262696
154,18f,0.9,3,2023-07-13 13:25:16.256439
155,18f,0.9,4,2023-07-13 13:25:20.989847
156,18f,0.9,5,2023-07-13 13:25:37.709537
157,18f,0.9,6,2023-07-13 13:25:42.887473
158,18f,0.9,8,2023-07-13 13:25:43.936635
159,18f,0.9,10,2023-07-13 13:25:50.339996
160,20f,0.6,1,2023-07-13 13:25:50.541616
161,20f,0.6,2,2023-07-13 13:25:58.792920
162,20f,0.6,3,2023-07-13 13:26:16.786091
163,20f,0.6,4,2023-07-13 13:26:22.088536
164,20f,0.6,5,2023-07-13 13:26:22.700090
166,20f,0.6,8,2023-07-13 13:26:30.686197
165,20f,0.6,6,2023-07-13 13:26:30.693517
167,20f,0.6,10,2023-07-13 13:26:36.971051
168,20f,0.7,1,2023-07-13 13:26:53.709884
170,20f,0.7,3,2023-07-13 13:27:00.017917
169,20f,0.7,2,2023-07-13 13:27:00.639290
172,20f,0.7,5,2023-07-13 13:27:07.100484
171,20f,0.7,4,2023-07-13 13:27:08.002320
173,20f,0.7,6,2023-07-13 13:27:13.627097
174,20f,0.7,8,2023-07-13 13:27:31.735948
176,20f,0.8,1,2023-07-13 13:27:38.958243
175,20f,0.7,10,2023-07-13 13:27:38.975530
177,20f,0.8,2,2023-07-13 13:27:44.538139
178,20f,0.8,3,2023-07-13 13:27:46.685829
179,20f,0.8,4,2023-07-13 13:27:51.152538
180,20f,0.8,5,2023-07-13 13:28:07.823111
181,20f,0.8,6,2023-07-13 13:28:14.845005
182,20f,0.8,8,2023-07-13 13:28:14.914965
183,20f,0.8,10,2023-07-13 13:28:20.958422
184,20f,0.9,1,2023-07-13 13:28:22.625240
185,20f,0.9,2,2023-07-13 13:28:27.111423
186,20f,0.9,3,2023-07-13 13:28:42.166714
187,20f,0.9,4,2023-07-13 13:28:48.976806
188,20f,0.9,5,2023-07-13 13:28:49.172107
189,20f,0.9,6,2023-07-13 13:28:52.548712
190,20f,0.9,8,2023-07-13 13:28:53.160149
191,20f,0.9,10,2023-07-13 13:28:54.351461
