,1,2,LoadCap,vdd,number_fin,index,temp,montecarlo_iteration,tphl,tplh,total_power,iint,temper,alter#
40,4.370066928,4.852864388,1f,0.6,1,41,50,1,1.27372e-11,1.68373e-11,-9.54655e-09,-6.36436e-16,50,1
41,4.370806412,4.873612049,1f,0.6,1,42,50,2,1.2766e-11,1.57214e-11,-9.60603e-09,-6.40402e-16,50,1
42,4.333498878,4.850896718,1f,0.6,1,43,50,3,1.17054e-11,1.69548e-11,-9.65552e-09,-6.43702e-16,50,1
43,4.407236791,4.856645244,1f,0.6,1,44,50,4,1.39995e-11,1.6615e-11,-9.64718e-09,-6.43145e-16,50,1
44,4.387795215,4.770993196,1f,0.6,1,45,50,5,1.32782e-11,2.34082e-11,-9.59982e-09,-6.39988e-16,50,1
45,4.327368287,4.944578681,1f,0.6,1,46,50,6,1.15806e-11,1.28461e-11,-9.73965e-09,-6.4931e-16,50,1
46,4.407029602,4.828899174,1f,0.6,1,47,50,7,1.39828e-11,1.83414e-11,-9.59735e-09,-6.39823e-16,50,1
47,4.346317455,4.844399261,1f,0.6,1,48,50,8,1.20453e-11,1.73436e-11,-9.6539e-09,-6.43593e-16,50,1
48,4.486196606,4.846298129,1f,0.6,1,49,50,9,1.79106e-11,1.71881e-11,-9.57845e-09,-6.38563e-16,50,1
49,4.321151336000001,4.765845872,1f,0.6,1,50,50,10,1.1343e-11,2.39936e-11,-9.72554e-09,-6.48369e-16,50,1
50,4.370066928,4.852864388,1f,0.6,1,51,75,1,1.28509e-11,1.70646e-11,-9.63973e-09,-6.42649e-16,75,1
51,4.370806412,4.873612049,1f,0.6,1,52,75,2,1.28805e-11,1.59616e-11,-9.62562e-09,-6.41708e-16,75,1
52,4.333498878,4.850896718,1f,0.6,1,53,75,3,1.18139e-11,1.71823e-11,-9.80554e-09,-6.53703e-16,75,1
53,4.407236791,4.856645244,1f,0.6,1,54,75,4,1.41163e-11,1.68444e-11,-9.60109e-09,-6.40072e-16,75,1
54,4.387795215,4.770993196,1f,0.6,1,55,75,5,1.33931e-11,2.34333e-11,-9.62859e-09,-6.41906e-16,75,1
55,4.327368287,4.944578681,1f,0.6,1,56,75,6,1.16669e-11,1.30924e-11,-9.9783e-09,-6.6522e-16,75,1
56,4.407029602,4.828899174,1f,0.6,1,57,75,7,1.40992e-11,1.85428e-11,-9.59853e-09,-6.39902e-16,75,1
57,4.346317455,4.844399261,1f,0.6,1,58,75,8,1.21549e-11,1.75639e-11,-9.70373e-09,-6.46915e-16,75,1
58,4.486196606,4.846298129,1f,0.6,1,59,75,9,1.79944e-11,1.74108e-11,-9.56628e-09,-6.37752e-16,75,1
59,4.321151336000001,4.765845872,1f,0.6,1,60,75,10,1.14536e-11,2.39937e-11,-9.91223e-09,-6.60815e-16,75,1
60,4.370066928,4.852864388,1f,0.6,1,61,90,1,1.29125e-11,1.71776e-11,-9.68083e-09,-6.45388e-16,90,1
61,4.370806412,4.873612049,1f,0.6,1,62,90,2,1.29427e-11,1.60839e-11,-9.67612e-09,-6.45075e-16,90,1
62,4.333498878,4.850896718,1f,0.6,1,63,90,3,1.1848e-11,1.72954e-11,-9.97264e-09,-6.64843e-16,90,1
63,4.407236791,4.856645244,1f,0.6,1,64,90,4,1.41792e-11,1.69588e-11,-9.62918e-09,-6.41945e-16,90,1
64,4.387795215,4.770993196,1f,0.6,1,65,90,5,1.34553e-11,2.34222e-11,-9.6595e-09,-6.43967e-16,90,1
