,LoadCap,vdd,number_fin
0,1f,0.6,1
1,1f,0.6,2
2,1f,0.6,3
3,1f,0.6,4
4,1f,0.6,5
5,1f,0.7,1
6,1f,0.7,2
7,1f,0.7,3
8,1f,0.7,4
9,1f,0.7,5
10,1f,0.8,1
11,1f,0.8,2
12,1f,0.8,3
13,1f,0.8,4
14,1f,0.8,5
15,1f,0.9,1
16,1f,0.9,2
17,1f,0.9,3
18,1f,0.9,4
19,1f,0.9,5
20,4f,0.6,1
21,4f,0.6,2
22,4f,0.6,3
23,4f,0.6,4
24,4f,0.6,5
25,4f,0.7,1
26,4f,0.7,2
27,4f,0.7,3
28,4f,0.7,4
29,4f,0.7,5
30,4f,0.8,1
31,4f,0.8,2
32,4f,0.8,3
33,4f,0.8,4
34,4f,0.8,5
35,4f,0.9,1
36,4f,0.9,2
37,4f,0.9,3
38,4f,0.9,4
39,4f,0.9,5
