 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Tail samples and indices
#Number of Measures
3
#Number of samples in each tail
9
#Measure names
iint,tphl,tplh
#Measure values in left tail
-2.1788910e-15,9.5081690e-12,4.4789220e-12
-2.1581440e-15,9.6352650e-12,4.6406010e-12
-2.0847330e-15,9.6822700e-12,4.6723420e-12
-2.0709820e-15,9.6946660e-12,4.7214390e-12
-2.0587300e-15,9.7039120e-12,4.7317880e-12
-2.0225900e-15,9.7120020e-12,4.7525410e-12
-2.0014550e-15,9.7901400e-12,4.7756380e-12
-1.9814560e-15,9.7986970e-12,4.7809230e-12
-1.9679680e-15,9.8254910e-12,4.7817590e-12
#Measure values in right tail
-1.3681100e-15,1.1943860e-11,5.8239160e-12
-1.3677210e-15,1.1962920e-11,5.8312330e-12
-1.3667650e-15,1.1971400e-11,5.8349090e-12
-1.3624790e-15,1.2068470e-11,5.8556190e-12
-1.3570430e-15,1.2137210e-11,5.8778130e-12
-1.3515810e-15,1.2137950e-11,5.8819220e-12
-1.3461850e-15,1.2156940e-11,5.9369610e-12
-1.3444900e-15,1.2170960e-11,6.0105400e-12
-1.3421370e-15,1.2176130e-11,6.0521220e-12
#Index values in left tail
127,806,127
806,837,543
543,782,238
782,118,526
440,314,440
526,232,777
314,20,788
238,136,340
20,485,183
#Index values in right tail
932,977,937
892,630,791
839,810,747
484,887,959
524,703,420
959,439,187
630,800,6
439,715,675
187,128,706
