$DATA1 SOURCE='PrimeSim HSPICE' VERSION='S-2021.09-2 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
$index=1 is a nominal sample in Monte Carlo.
.TITLE '*inversor'
index,tphl,tplh,iint,temper,alter#
1, 1.014327e-11, 1.399133e-11,-2.009453e-15,  50.0000000,1
2, 9.851255e-12, 1.408432e-11,-2.327149e-15,  50.0000000,1
3, 1.004237e-11, 1.415623e-11,-2.048351e-15,  50.0000000,1
4, 1.111266e-11, 1.513498e-11,-1.697548e-15,  50.0000000,1
5, 1.021626e-11, 1.523649e-11,-1.909926e-15,  50.0000000,1
6, 9.488988e-12, 1.640431e-11,-2.376881e-15,  50.0000000,1
7, 1.048354e-11, 1.381300e-11,-2.073419e-15,  50.0000000,1
8, 9.958238e-12, 1.486263e-11,-2.106744e-15,  50.0000000,1
9, 1.026089e-11, 1.548983e-11,-1.862413e-15,  50.0000000,1
10, 9.951923e-12, 1.435430e-11,-2.192305e-15,  50.0000000,1
11, 1.040613e-11, 1.479085e-11,-1.899420e-15,  50.0000000,1
12, 1.025428e-11, 1.446788e-11,-1.997113e-15,  50.0000000,1
13, 1.060244e-11, 1.412596e-11,-1.972204e-15,  50.0000000,1
14, 9.684666e-12, 1.500607e-11,-2.299318e-15,  50.0000000,1
15, 1.045559e-11, 1.386099e-11,-2.068906e-15,  50.0000000,1
16, 1.029325e-11, 1.518754e-11,-1.881404e-15,  50.0000000,1
17, 9.466970e-12, 1.497120e-11,-2.532456e-15,  50.0000000,1
18, 1.056613e-11, 1.472987e-11,-1.867164e-15,  50.0000000,1
19, 9.657462e-12, 1.511176e-11,-2.311575e-15,  50.0000000,1
20, 9.289162e-12, 1.382502e-11,-2.994188e-15,  50.0000000,1
21, 1.034004e-11, 1.503133e-11,-1.886863e-15,  50.0000000,1
22, 9.877447e-12, 1.445327e-11,-2.227400e-15,  50.0000000,1
23, 9.956049e-12, 1.364126e-11,-2.360553e-15,  50.0000000,1
24, 1.099263e-11, 1.576081e-11,-1.661454e-15,  50.0000000,1
25, 1.004370e-11, 1.568144e-11,-1.962724e-15,  50.0000000,1
26, 9.902419e-12, 1.484792e-11,-2.147543e-15,  50.0000000,1
27, 9.642393e-12, 1.416875e-11,-2.485877e-15,  50.0000000,1
28, 9.788448e-12, 1.482465e-11,-2.237961e-15,  50.0000000,1
29, 1.047226e-11, 1.560093e-11,-1.790853e-15,  50.0000000,1
30, 9.986999e-12, 1.504763e-11,-2.063599e-15,  50.0000000,1
31, 1.073286e-11, 1.489167e-11,-1.805278e-15,  50.0000000,1
32, 9.888125e-12, 1.470827e-11,-2.178103e-15,  50.0000000,1
33, 9.793307e-12, 1.378299e-11,-2.444504e-15,  50.0000000,1
34, 9.977099e-12, 1.404541e-11,-2.245805e-15,  50.0000000,1
35, 9.637566e-12, 1.420936e-11,-2.474154e-15,  50.0000000,1
36, 9.971175e-12, 1.548935e-11,-2.026093e-15,  50.0000000,1
37, 1.004093e-11, 1.571324e-11,-1.961714e-15,  50.0000000,1
38, 1.012366e-11, 1.354677e-11,-2.085467e-15,  50.0000000,1
39, 1.065384e-11, 1.371553e-11,-2.056033e-15,  50.0000000,1
40, 9.929139e-12, 1.455298e-11,-2.173343e-15,  50.0000000,1
41, 1.068329e-11, 1.484946e-11,-1.822288e-15,  50.0000000,1
42, 1.055564e-11, 1.490016e-11,-1.846023e-15,  50.0000000,1
43, 9.892054e-12, 1.480278e-11,-2.161375e-15,  50.0000000,1
44, 1.004328e-11, 1.427000e-11,-2.034218e-15,  50.0000000,1
45, 1.021400e-11, 1.497154e-11,-1.942456e-15,  50.0000000,1
46, 9.939575e-12, 1.555517e-11,-2.041119e-15,  50.0000000,1
47, 9.899706e-12, 1.549402e-11,-2.074734e-15,  50.0000000,1
48, 1.021909e-11, 1.433386e-11,-2.038486e-15,  50.0000000,1
49, 1.064604e-11, 1.441693e-11,-1.898050e-15,  50.0000000,1
50, 1.070811e-11, 1.419238e-11,-1.933688e-15,  50.0000000,1
51, 9.890378e-12, 1.497419e-11,-2.139289e-15,  50.0000000,1
52, 1.026811e-11, 1.323419e-11,-2.303184e-15,  50.0000000,1
53, 9.791896e-12, 1.456183e-11,-2.275378e-15,  50.0000000,1
54, 1.020802e-11, 1.425092e-11,-2.059884e-15,  50.0000000,1
55, 9.375616e-12, 1.427316e-11,-2.763060e-15,  50.0000000,1
56, 1.045228e-11, 1.489972e-11,-1.872312e-15,  50.0000000,1
57, 1.007861e-11, 1.580644e-11,-1.877604e-15,  50.0000000,1
58, 1.023200e-11, 1.531605e-11,-1.893521e-15,  50.0000000,1
59, 9.874122e-12, 1.503048e-11,-2.144020e-15,  50.0000000,1
60, 1.037164e-11, 1.435378e-11,-1.980619e-15,  50.0000000,1
61, 1.023976e-11, 1.458574e-11,-1.984769e-15,  50.0000000,1
62, 9.839440e-12, 1.464566e-11,-2.224232e-15,  50.0000000,1
63, 1.054720e-11, 1.509186e-11,-1.824060e-15,  50.0000000,1
64, 1.007771e-11, 1.504004e-11,-1.930127e-15,  50.0000000,1
65, 9.986267e-12, 1.502479e-11,-2.066913e-15,  50.0000000,1
66, 1.063106e-11, 1.531822e-11,-1.778578e-15,  50.0000000,1
67, 1.092767e-11, 1.604528e-11,-1.653347e-15,  50.0000000,1
68, 1.034228e-11, 1.482387e-11,-1.913448e-15,  50.0000000,1
69, 1.008248e-11, 1.315357e-11,-2.179668e-15,  50.0000000,1
70, 9.794491e-12, 1.433647e-11,-2.312969e-15,  50.0000000,1
71, 9.388978e-12, 1.501480e-11,-2.624369e-15,  50.0000000,1
72, 1.008358e-11, 1.411047e-11,-2.028817e-15,  50.0000000,1
73, 1.126621e-11, 1.529494e-11,-1.652886e-15,  50.0000000,1
74, 1.026122e-11, 1.394034e-11,-2.107282e-15,  50.0000000,1
75, 1.036695e-11, 1.366617e-11,-2.144372e-15,  50.0000000,1
76, 9.917093e-12, 1.405133e-11,-2.285771e-15,  50.0000000,1
77, 9.788093e-12, 1.414473e-11,-2.364385e-15,  50.0000000,1
78, 1.114459e-11, 1.360771e-11,-1.981907e-15,  50.0000000,1
79, 1.115862e-11, 1.467505e-11,-1.749578e-15,  50.0000000,1
80, 9.546715e-12, 1.542285e-11,-2.389088e-15,  50.0000000,1
81, 1.036601e-11, 1.491780e-11,-1.894251e-15,  50.0000000,1
82, 9.937125e-12, 1.506097e-11,-2.095330e-15,  50.0000000,1
83, 1.040764e-11, 1.446441e-11,-1.949944e-15,  50.0000000,1
84, 1.084998e-11, 1.566332e-11,-1.698444e-15,  50.0000000,1
85, 9.801998e-12, 1.440774e-11,-2.293768e-15,  50.0000000,1
86, 1.008876e-11, 1.272375e-11,-2.267424e-15,  50.0000000,1
87, 9.643915e-12, 1.538090e-11,-2.294285e-15,  50.0000000,1
88, 9.565782e-12, 1.430463e-11,-2.528661e-15,  50.0000000,1
89, 9.562775e-12, 1.549176e-11,-2.365281e-15,  50.0000000,1
90, 1.000369e-11, 1.431943e-11,-2.164526e-15,  50.0000000,1
