 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Histogram plots from data
#Number of histogram bins
16
#Number of Measures
3
#Column names, bin centers and bin counts
iint,iint_count,tphl,tphl_count,tplh,tplh_count
-3.082412e-15,2,5.962914e-12,2,4.058324e-12,1
-2.988891e-15,2,6.055445e-12,4,4.140768e-12,3
-2.895371e-15,4,6.147976e-12,13,4.223212e-12,1
-2.80185e-15,5,6.240508e-12,32,4.305656e-12,4
-2.70833e-15,11,6.333039e-12,70,4.388101e-12,15
-2.614809e-15,17,6.42557e-12,134,4.470545e-12,58
-2.521289e-15,41,6.518102e-12,164,4.552989e-12,95
-2.427768e-15,68,6.610633e-12,140,4.635433e-12,120
-2.334248e-15,103,6.703164e-12,131,4.717877e-12,162
-2.240727e-15,150,6.795695e-12,122,4.800321e-12,199
-2.147207e-15,196,6.888227e-12,71,4.882765e-12,141
-2.053686e-15,207,6.980758e-12,55,4.965209e-12,103
-1.960166e-15,142,7.073289e-12,26,5.047654e-12,58
-1.866645e-15,38,7.165821e-12,19,5.130098e-12,23
-1.773125e-15,12,7.258352e-12,11,5.212542e-12,14
-1.679604e-15,2,7.350883e-12,6,5.294986e-12,3

