 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Histogram plots from data
#Number of histogram bins
16
#Number of Measures
3
#Column names, bin centers and bin counts
iint,iint_count,tphl,tphl_count,tplh,tplh_count
-3.09283e-15,1,8.261008e-12,2,2.30406e-11,2
-2.981005e-15,0,8.411923e-12,5,2.361103e-11,3
-2.869179e-15,2,8.562838e-12,14,2.418146e-11,15
-2.757354e-15,3,8.713753e-12,39,2.47519e-11,63
-2.645528e-15,1,8.864668e-12,75,2.532233e-11,104
-2.533703e-15,7,9.015583e-12,142,2.589277e-11,145
-2.421877e-15,9,9.166498e-12,172,2.64632e-11,172
-2.310052e-15,25,9.317413e-12,150,2.703363e-11,195
-2.198226e-15,37,9.468328e-12,158,2.760407e-11,96
-2.086401e-15,82,9.619243e-12,109,2.81745e-11,35
-1.974575e-15,139,9.770158e-12,62,2.874493e-11,64
-1.86275e-15,185,9.921073e-12,36,2.931537e-11,55
-1.750924e-15,220,1.007199e-11,19,2.98858e-11,32
-1.639099e-15,178,1.02229e-11,9,3.045624e-11,13
-1.527273e-15,98,1.037382e-11,2,3.102667e-11,4
-1.415448e-15,13,1.052473e-11,6,3.15971e-11,2

