 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Histogram plots from data
#Number of histogram bins
16
#Number of Measures
3
#Column names, bin centers and bin counts
iint,iint_count,tphl,tphl_count,tplh,tplh_count
-5.641106e-15,1,1.214998e-11,1,9.303174e-12,4
-5.424093e-15,1,1.238161e-11,5,9.554768e-12,11
-5.207081e-15,2,1.261324e-11,8,9.806362e-12,39
-4.990068e-15,8,1.284487e-11,16,1.005796e-11,76
-4.773055e-15,7,1.30765e-11,47,1.030955e-11,133
-4.556043e-15,18,1.330813e-11,76,1.056114e-11,150
-4.33903e-15,36,1.353976e-11,142,1.081274e-11,177
-4.122018e-15,64,1.377139e-11,160,1.106433e-11,132
-3.905005e-15,104,1.400303e-11,141,1.131593e-11,117
-3.687993e-15,137,1.423466e-11,147,1.156752e-11,61
-3.47098e-15,196,1.446629e-11,115,1.181911e-11,48
-3.253968e-15,185,1.469792e-11,61,1.207071e-11,29
-3.036955e-15,140,1.492955e-11,41,1.23223e-11,17
-2.819942e-15,69,1.516118e-11,20,1.25739e-11,2
-2.60293e-15,23,1.539281e-11,14,1.282549e-11,3
-2.385917e-15,9,1.562444e-11,6,1.307708e-11,1

