 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Histogram plots from data
#Number of histogram bins
16
#Number of Measures
3
#Column names, bin centers and bin counts
iint,iint_count,tphl,tphl_count,tplh,tplh_count
-3.595221e-15,1,1.09291e-11,1,5.706194e-12,6
-3.475031e-15,3,1.114047e-11,0,5.822096e-12,9
-3.35484e-15,2,1.135185e-11,5,5.937999e-12,13
-3.23465e-15,6,1.156322e-11,6,6.053901e-12,44
-3.11446e-15,11,1.177459e-11,17,6.169803e-12,83
-2.994269e-15,19,1.198597e-11,45,6.285706e-12,104
-2.874079e-15,42,1.219734e-11,84,6.401608e-12,143
-2.753889e-15,72,1.240872e-11,149,6.51751e-12,177
-2.633698e-15,95,1.262009e-11,178,6.633413e-12,177
-2.513508e-15,141,1.283147e-11,150,6.749315e-12,99
-2.393318e-15,179,1.304284e-11,157,6.865217e-12,71
-2.273127e-15,207,1.325422e-11,92,6.98112e-12,40
-2.152937e-15,140,1.346559e-11,62,7.097022e-12,17
-2.032747e-15,55,1.367696e-11,28,7.212924e-12,9
-1.912556e-15,19,1.388834e-11,20,7.328827e-12,5
-1.792366e-15,8,1.409971e-11,6,7.444729e-12,3

