 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Tail samples and indices
#Number of Measures
3
#Number of samples in each tail
9
#Measure names
iint,tphl,tplh
#Measure values in left tail
-3.2091390e-15,1.0084020e-11,6.5117510e-12
-3.1758000e-15,1.0228070e-11,6.5368250e-12
-3.1067300e-15,1.0280230e-11,6.5441480e-12
-3.0732590e-15,1.0295880e-11,6.5479770e-12
-3.0123970e-15,1.0307210e-11,6.5568340e-12
-2.9933770e-15,1.0317610e-11,6.5608270e-12
-2.9359230e-15,1.0415050e-11,6.6140950e-12
-2.9080240e-15,1.0426840e-11,6.6164210e-12
-2.9007130e-15,1.0460460e-11,6.6189100e-12
#Measure values in right tail
-1.7345500e-15,1.3046390e-11,8.2520400e-12
-1.7338560e-15,1.3069220e-11,8.2759130e-12
-1.7321550e-15,1.3074590e-11,8.2764470e-12
-1.7197780e-15,1.3180930e-11,8.2766880e-12
-1.7169380e-15,1.3256120e-11,8.3399610e-12
-1.7071560e-15,1.3257730e-11,8.3442400e-12
-1.7016040e-15,1.3277690e-11,8.3842120e-12
-1.6763210e-15,1.3291240e-11,8.3958900e-12
-1.6657990e-15,1.3296790e-11,8.5320220e-12
#Index values in left tail
806,806,127
127,837,344
543,782,543
440,118,623
782,314,523
526,232,694
20,20,440
238,136,226
226,485,526
#Index values in right tail
892,977,446
932,630,937
839,810,57
484,887,747
959,703,420
524,439,959
187,800,394
630,715,187
439,128,675
