 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
3
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
iint,tphl,tplh,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
-3.209139e-15,1.008402e-11,6.511751e-12,-3.290527,-4.895247,-2.599759
-3.1758e-15,1.022807e-11,6.536825e-12,-2.967738,-3.69972,-2.489258
-3.10673e-15,1.028023e-11,6.544148e-12,-2.807034,-3.342036,-2.409629
-3.073259e-15,1.029588e-11,6.547977e-12,-2.696844,-3.13969,-2.346205
-3.012397e-15,1.030721e-11,6.556834e-12,-2.612054,-2.999605,-2.292977
-2.993377e-15,1.031761e-11,6.560827e-12,-2.542699,-2.892598,-2.246832
-2.935923e-15,1.041505e-11,6.614095e-12,-2.483769,-2.805987,-2.20593
-2.908024e-15,1.042684e-11,6.616421e-12,-2.432379,-2.733174,-2.169082
-2.900713e-15,1.046046e-11,6.61891e-12,-2.386708,-2.670302,-2.135475
-2.886357e-15,1.046587e-11,6.622052e-12,-2.345531,-2.614929,-2.104524
-2.859373e-15,1.057997e-11,6.666012e-12,-2.307984,-2.56541,-2.075792
-2.854356e-15,1.0585e-11,6.666439e-12,-2.273435,-2.520588,-2.048948
-2.854314e-15,1.059778e-11,6.668672e-12,-2.241403,-2.479619,-2.023729
-2.832782e-15,1.060055e-11,6.681418e-12,-2.211518,-2.441866,-1.999926
-2.809529e-15,1.062404e-11,6.695809e-12,-2.183487,-2.406839,-1.977369
-2.803539e-15,1.062749e-11,6.707738e-12,-2.157073,-2.374152,-1.955918
-2.801797e-15,1.06362e-11,6.722926e-12,-2.132083,-2.343497,-1.935455
-2.790936e-15,1.064769e-11,6.73305e-12,-2.108358,-2.31462,-1.915882
-2.781606e-15,1.064947e-11,6.746001e-12,-2.085764,-2.287316,-1.897114
-2.76002e-15,1.072795e-11,6.753539e-12,-2.064187,-2.261411,-1.879078
-2.750936e-15,1.073616e-11,6.757036e-12,-2.04353,-2.236759,-1.861712
-2.743475e-15,1.076642e-11,6.758088e-12,-2.02371,-2.213237,-1.844961
-2.739377e-15,1.076878e-11,6.764361e-12,-2.004654,-2.190737,-1.828776
-2.735706e-15,1.077237e-11,6.765129e-12,-1.9863,-2.169169,-1.813115
-2.71887e-15,1.077737e-11,6.766891e-12,-1.968592,-2.148452,-1.79794
-2.71644e-15,1.078619e-11,6.791658e-12,-1.95148,-2.128516,-1.783218
-2.713352e-15,1.080997e-11,6.79538e-12,-1.934921,-2.109299,-1.768917
-2.702543e-15,1.08143e-11,6.805968e-12,-1.918876,-2.090748,-1.755011
-2.702064e-15,1.081987e-11,6.808151e-12,-1.903311,-2.072812,-1.741475
-2.676098e-15,1.082502e-11,6.812134e-12,-1.888193,-2.055449,-1.728286
-2.671551e-15,1.084439e-11,6.817152e-12,-1.873495,-2.038621,-1.715426
-2.669519e-15,1.084442e-11,6.818203e-12,-1.859191,-2.022291,-1.702874
-2.666781e-15,1.084562e-11,6.820186e-12,-1.845258,-2.006429,-1.690614
-2.666022e-15,1.085608e-11,6.820356e-12,-1.831674,-1.991005,-1.678631
-2.66136e-15,1.086407e-11,6.824367e-12,-1.81842,-1.975993,-1.666909
-2.655438e-15,1.08686e-11,6.830483e-12,-1.805477,-1.96137,-1.655437
-2.654441e-15,1.088065e-11,6.836847e-12,-1.792831,-1.947114,-1.644201
-2.654037e-15,1.08846e-11,6.853302e-12,-1.780464,-1.933205,-1.633191
-2.653193e-15,1.088664e-11,6.862131e-12,-1.768364,-1.919624,-1.622396
-2.650178e-15,1.089527e-11,6.862259e-12,-1.756518,-1.906354,-1.611806
-2.648517e-15,1.090499e-11,6.8629e-12,-1.744913,-1.893381,-1.601412
-2.646666e-15,1.0906e-11,6.863751e-12,-1.733539,-1.880688,-1.591206
-2.636191e-15,1.091482e-11,6.878791e-12,-1.722384,-1.868263,-1.58118
-2.636138e-15,1.091523e-11,6.880772e-12,-1.71144,-1.856094,-1.571325
-2.635368e-15,1.093166e-11,6.880805e-12,-1.700696,-1.844168,-1.561636
-2.63378e-15,1.093937e-11,6.881496e-12,-1.690146,-1.832475,-1.552106
-2.630294e-15,1.094445e-11,6.882093e-12,-1.679781,-1.821005,-1.542729
-2.628184e-15,1.09515e-11,6.883354e-12,-1.669593,-1.809748,-1.533498
-2.62677e-15,1.09567e-11,6.886038e-12,-1.659575,-1.798695,-1.524409
-2.624369e-15,1.096777e-11,6.887755e-12,-1.649721,-1.787838,-1.515456
-2.617459e-15,1.097028e-11,6.888507e-12,-1.640025,-1.77717,-1.506635
-2.614594e-15,1.097387e-11,6.890531e-12,-1.63048,-1.766683,-1.49794
-2.613285e-15,1.097551e-11,6.891311e-12,-1.621082,-1.756369,-1.489368
-2.612613e-15,1.098667e-11,6.893051e-12,-1.611825,-1.746223,-1.480914
-2.610542e-15,1.09901e-11,6.89392e-12,-1.602704,-1.736238,-1.472574
-2.602497e-15,1.099053e-11,6.900768e-12,-1.593714,-1.726408,-1.464346
-2.598026e-15,1.099095e-11,6.903178e-12,-1.584852,-1.716728,-1.456224
-2.59747e-15,1.099271e-11,6.907381e-12,-1.576112,-1.707193,-1.448206
-2.595079e-15,1.099282e-11,6.912842e-12,-1.567491,-1.697798,-1.440288
-2.593198e-15,1.099939e-11,6.920673e-12,-1.558985,-1.688537,-1.432468
-2.589956e-15,1.100043e-11,6.921091e-12,-1.55059,-1.679408,-1.424743
-2.588592e-15,1.10069e-11,6.922095e-12,-1.542303,-1.670404,-1.417109
-2.58644e-15,1.100732e-11,6.923101e-12,-1.534121,-1.661523,-1.409565
-2.585694e-15,1.100787e-11,6.925685e-12,-1.52604,-1.65276,-1.402107
-2.578631e-15,1.101299e-11,6.929277e-12,-1.518057,-1.644112,-1.394733
-2.574918e-15,1.10182e-11,6.930994e-12,-1.51017,-1.635575,-1.387441
-2.574054e-15,1.101915e-11,6.931636e-12,-1.502376,-1.627146,-1.380228
-2.57338e-15,1.102023e-11,6.939518e-12,-1.494672,-1.618821,-1.373093
-2.571167e-15,1.103109e-11,6.939974e-12,-1.487056,-1.610599,-1.366034
-2.568773e-15,1.103312e-11,6.940025e-12,-1.479525,-1.602475,-1.359047
-2.568709e-15,1.103406e-11,6.944035e-12,-1.472077,-1.594447,-1.352133
-2.564179e-15,1.103685e-11,6.944365e-12,-1.46471,-1.586512,-1.345287
-2.558454e-15,1.104833e-11,6.947689e-12,-1.457422,-1.578669,-1.33851
-2.556026e-15,1.10534e-11,6.948357e-12,-1.45021,-1.570913,-1.331799
-2.554972e-15,1.105748e-11,6.949612e-12,-1.443073,-1.563243,-1.325153
-2.550851e-15,1.106075e-11,6.952264e-12,-1.436008,-1.555657,-1.31857
-2.550805e-15,1.106107e-11,6.952276e-12,-1.429015,-1.548153,-1.312048
-2.550472e-15,1.106584e-11,6.957114e-12,-1.42209,-1.540728,-1.305586
-2.548082e-15,1.106866e-11,6.958265e-12,-1.415234,-1.53338,-1.299184
-2.547847e-15,1.107127e-11,6.959285e-12,-1.408443,-1.526108,-1.292838
-2.547808e-15,1.107226e-11,6.960255e-12,-1.401716,-1.518909,-1.286549
-2.546217e-15,1.107447e-11,6.961305e-12,-1.395053,-1.511782,-1.280314
-2.535695e-15,1.107619e-11,6.962337e-12,-1.38845,-1.504726,-1.274133
-2.531565e-15,1.108194e-11,6.963873e-12,-1.381908,-1.497737,-1.268004
-2.531176e-15,1.108257e-11,6.964576e-12,-1.375424,-1.490816,-1.261927
-2.530265e-15,1.108492e-11,6.96743e-12,-1.368998,-1.48396,-1.255899
-2.528671e-15,1.108867e-11,6.96853e-12,-1.362627,-1.477167,-1.249921
-2.528668e-15,1.108966e-11,6.969556e-12,-1.356312,-1.470437,-1.243991
-2.528519e-15,1.10934e-11,6.970431e-12,-1.35005,-1.463768,-1.238108
-2.527147e-15,1.109565e-11,6.971063e-12,-1.34384,-1.457158,-1.232271
-2.526703e-15,1.109755e-11,6.980988e-12,-1.337682,-1.450607,-1.22648
-2.525828e-15,1.111184e-11,6.982442e-12,-1.331575,-1.444112,-1.220732
-2.525379e-15,1.111519e-11,6.983056e-12,-1.325516,-1.437674,-1.215028
-2.523484e-15,1.11212e-11,6.983168e-12,-1.319506,-1.43129,-1.209367
-2.522988e-15,1.112241e-11,6.986539e-12,-1.313543,-1.424959,-1.203747
-2.520726e-15,1.112524e-11,6.994393e-12,-1.307627,-1.418681,-1.198168
-2.519963e-15,1.113226e-11,6.99443e-12,-1.301755,-1.412454,-1.192629
-2.518839e-15,1.114326e-11,6.995156e-12,-1.295929,-1.406277,-1.18713
-2.518811e-15,1.114399e-11,6.997086e-12,-1.290146,-1.40015,-1.181669
-2.515811e-15,1.114455e-11,6.99745e-12,-1.284406,-1.39407,-1.176246
-2.51295e-15,1.11453e-11,6.998365e-12,-1.278708,-1.388039,-1.17086
-2.512356e-15,1.114873e-11,7.001918e-12,-1.273051,-1.382053,-1.165511
-2.511464e-15,1.115553e-11,7.002594e-12,-1.267434,-1.376113,-1.160198
-2.509355e-15,1.115945e-11,7.011733e-12,-1.261858,-1.370217,-1.15492
-2.509274e-15,1.117012e-11,7.013494e-12,-1.25632,-1.364366,-1.149676
-2.506286e-15,1.117122e-11,7.013936e-12,-1.25082,-1.358557,-1.144467
-2.502906e-15,1.117134e-11,7.015665e-12,-1.245359,-1.35279,-1.139291
-2.502071e-15,1.117233e-11,7.015971e-12,-1.239933,-1.347065,-1.134148
-2.494243e-15,1.117269e-11,7.01614e-12,-1.234545,-1.34138,-1.129037
-2.493239e-15,1.118561e-11,7.01826e-12,-1.229192,-1.335735,-1.123958
-2.492308e-15,1.118619e-11,7.023979e-12,-1.223873,-1.33013,-1.11891
-2.490574e-15,1.118839e-11,7.024118e-12,-1.21859,-1.324562,-1.113892
-2.490176e-15,1.118873e-11,7.024194e-12,-1.21334,-1.319033,-1.108905
-2.489746e-15,1.119202e-11,7.024343e-12,-1.208123,-1.313541,-1.103948
-2.489586e-15,1.119225e-11,7.025909e-12,-1.202939,-1.308085,-1.099019
-2.488342e-15,1.119413e-11,7.030329e-12,-1.197787,-1.302665,-1.09412
-2.484578e-15,1.119515e-11,7.033524e-12,-1.192667,-1.29728,-1.089248
-2.483039e-15,1.119595e-11,7.039419e-12,-1.187577,-1.29193,-1.084405
-2.481762e-15,1.120146e-11,7.04099e-12,-1.182519,-1.286614,-1.079589
-2.481597e-15,1.120389e-11,7.048195e-12,-1.17749,-1.281331,-1.0748
-2.480581e-15,1.120564e-11,7.050368e-12,-1.172491,-1.276082,-1.070037
-2.478898e-15,1.121292e-11,7.051184e-12,-1.167521,-1.270865,-1.0653
-2.476835e-15,1.121906e-11,7.051304e-12,-1.16258,-1.265679,-1.060589
-2.475153e-15,1.122372e-11,7.052009e-12,-1.157667,-1.260525,-1.055904
-2.474157e-15,1.122405e-11,7.053689e-12,-1.152782,-1.255402,-1.051243
-2.47274e-15,1.122457e-11,7.055044e-12,-1.147924,-1.25031,-1.046607
-2.471806e-15,1.122524e-11,7.055971e-12,-1.143093,-1.245247,-1.041995
-2.471255e-15,1.123154e-11,7.056612e-12,-1.138289,-1.240213,-1.037407
-2.469126e-15,1.1234e-11,7.057076e-12,-1.13351,-1.235209,-1.032843
-2.468809e-15,1.123406e-11,7.057089e-12,-1.128758,-1.230233,-1.028302
-2.468291e-15,1.123445e-11,7.057092e-12,-1.124031,-1.225285,-1.023783
-2.466798e-15,1.123595e-11,7.057254e-12,-1.119329,-1.220365,-1.019287
-2.466068e-15,1.123633e-11,7.058674e-12,-1.114651,-1.215473,-1.014813
-2.465785e-15,1.123693e-11,7.061399e-12,-1.109998,-1.210607,-1.010361
-2.463509e-15,1.124022e-11,7.063352e-12,-1.105368,-1.205767,-1.005931
-2.462873e-15,1.124399e-11,7.06443e-12,-1.100763,-1.200954,-1.001522
-2.462622e-15,1.124604e-11,7.065109e-12,-1.09618,-1.196166,-0.9971336
-2.46144e-15,1.125277e-11,7.065285e-12,-1.09162,-1.191404,-0.9927661
-2.460595e-15,1.125368e-11,7.0684e-12,-1.087083,-1.186666,-0.9884189
-2.459906e-15,1.125693e-11,7.069722e-12,-1.082568,-1.181953,-0.9840919
-2.459198e-15,1.125879e-11,7.069955e-12,-1.078076,-1.177265,-0.9797848
-2.457314e-15,1.125944e-11,7.071124e-12,-1.073604,-1.1726,-0.9754972
-2.452803e-15,1.126485e-11,7.071254e-12,-1.069155,-1.167959,-0.971229
-2.451191e-15,1.126667e-11,7.07148e-12,-1.064726,-1.163341,-0.9669798
-2.451144e-15,1.126824e-11,7.073723e-12,-1.060318,-1.158746,-0.9627494
-2.450955e-15,1.12691e-11,7.074093e-12,-1.05593,-1.154173,-0.9585375
-2.449619e-15,1.127286e-11,7.07828e-12,-1.051563,-1.149623,-0.954344
-2.448406e-15,1.127289e-11,7.078649e-12,-1.047216,-1.145095,-0.9501686
-2.44798e-15,1.127685e-11,7.078865e-12,-1.042888,-1.140588,-0.946011
-2.447822e-15,1.127706e-11,7.081003e-12,-1.03858,-1.136103,-0.9418711
-2.447204e-15,1.127779e-11,7.081106e-12,-1.034291,-1.131639,-0.9377485
-2.446624e-15,1.127899e-11,7.085406e-12,-1.030021,-1.127196,-0.9336431
-2.446513e-15,1.12792e-11,7.085445e-12,-1.02577,-1.122774,-0.9295547
-2.444781e-15,1.128272e-11,7.089553e-12,-1.021537,-1.118371,-0.925483
-2.444415e-15,1.12863e-11,7.090662e-12,-1.017323,-1.113989,-0.9214279
-2.444374e-15,1.128704e-11,7.095851e-12,-1.013126,-1.109627,-0.9173891
-2.443157e-15,1.128726e-11,7.096948e-12,-1.008947,-1.105284,-0.9133665
-2.440548e-15,1.12897e-11,7.099974e-12,-1.004786,-1.10096,-0.9093598
-2.439393e-15,1.12907e-11,7.100551e-12,-1.000642,-1.096655,-0.9053689
-2.438446e-15,1.129139e-11,7.10062e-12,-0.996515,-1.092369,-0.9013935
-2.436066e-15,1.129266e-11,7.102738e-12,-0.992405,-1.088102,-0.8974334
-2.43543e-15,1.129276e-11,7.103185e-12,-0.9883117,-1.083853,-0.8934886
-2.435367e-15,1.129816e-11,7.103733e-12,-0.984235,-1.079622,-0.8895587
-2.4336e-15,1.129954e-11,7.104549e-12,-0.9801745,-1.075409,-0.8856437
-2.433208e-15,1.129974e-11,7.104621e-12,-0.9761301,-1.071213,-0.8817434
-2.432597e-15,1.130338e-11,7.107127e-12,-0.9721016,-1.067035,-0.8778575
-2.431883e-15,1.130522e-11,7.110918e-12,-0.9680888,-1.062874,-0.8739859
-2.428284e-15,1.130878e-11,7.111448e-12,-0.9640916,-1.058731,-0.8701285
-2.427939e-15,1.131657e-11,7.113484e-12,-0.9601097,-1.054604,-0.866285
-2.427523e-15,1.131823e-11,7.114055e-12,-0.956143,-1.050493,-0.8624554
-2.426702e-15,1.131895e-11,7.116102e-12,-0.9521912,-1.046399,-0.8586395
-2.426594e-15,1.131934e-11,7.117432e-12,-0.9482543,-1.042321,-0.854837
-2.42657e-15,1.132038e-11,7.119885e-12,-0.944332,-1.038259,-0.8510479
-2.425947e-15,1.132067e-11,7.120314e-12,-0.9404242,-1.034214,-0.847272
-2.425525e-15,1.132199e-11,7.120914e-12,-0.9365307,-1.030183,-0.8435091
-2.424171e-15,1.132401e-11,7.122103e-12,-0.9326514,-1.026168,-0.8397592
-2.423697e-15,1.13254e-11,7.12222e-12,-0.928786,-1.022169,-0.8360221
-2.423531e-15,1.132682e-11,7.124984e-12,-0.9249345,-1.018184,-0.8322975
-2.423499e-15,1.132794e-11,7.125231e-12,-0.9210966,-1.014215,-0.8285854
-2.423394e-15,1.13282e-11,7.125605e-12,-0.9172722,-1.01026,-0.8248857
-2.422579e-15,1.133136e-11,7.126879e-12,-0.9134613,-1.00632,-0.8211982
-2.4221e-15,1.133274e-11,7.12764e-12,-0.9096635,-1.002394,-0.8175228
-2.42204e-15,1.133375e-11,7.131313e-12,-0.9058788,-0.9984826,-0.8138593
-2.421937e-15,1.13342e-11,7.132506e-12,-0.9021071,-0.9945852,-0.8102077
-2.421783e-15,1.133637e-11,7.135159e-12,-0.8983481,-0.9907018,-0.8065677
-2.420004e-15,1.134042e-11,7.13628e-12,-0.8946018,-0.9868322,-0.8029393
-2.419911e-15,1.134436e-11,7.136794e-12,-0.890868,-0.9829762,-0.7993224
-2.418717e-15,1.134582e-11,7.137274e-12,-0.8871466,-0.9791338,-0.7957168
-2.418156e-15,1.134608e-11,7.1375e-12,-0.8834374,-0.9753047,-0.7921223
-2.416327e-15,1.134629e-11,7.140429e-12,-0.8797403,-0.9714888,-0.788539
-2.414717e-15,1.134836e-11,7.142497e-12,-0.8760552,-0.967686,-0.7849666
-2.412932e-15,1.135083e-11,7.143751e-12,-0.872382,-0.9638961,-0.7814051
-2.41263e-15,1.135298e-11,7.143984e-12,-0.8687205,-0.9601189,-0.7778544
-2.412135e-15,1.135361e-11,7.14414e-12,-0.8650707,-0.9563545,-0.7743142
