 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Tail samples and indices
#Number of Measures
3
#Number of samples in each tail
9
#Measure names
iint,tphl,tplh
#Measure values in left tail
-2.6566380e-15,9.7611440e-12,5.2262190e-12
-2.6155620e-15,9.8955720e-12,5.5565890e-12
-2.5943340e-15,9.9444900e-12,5.5585190e-12
-2.5743120e-15,9.9583920e-12,5.6251720e-12
-2.5193100e-15,9.9676280e-12,5.6262790e-12
-2.4681150e-15,9.9763870e-12,5.6321000e-12
-2.4503540e-15,1.0058130e-11,5.6362990e-12
-2.4120180e-15,1.0068190e-11,5.6365460e-12
-2.3999420e-15,1.0096610e-11,5.6379760e-12
#Measure values in right tail
-1.5549720e-15,1.2433910e-11,7.0510930e-12
-1.5536570e-15,1.2455580e-11,7.0514430e-12
-1.5527280e-15,1.2461340e-11,7.0603390e-12
-1.5516810e-15,1.2562670e-11,7.0882650e-12
-1.5443460e-15,1.2634310e-11,7.1062890e-12
-1.5415360e-15,1.2635920e-11,7.1265080e-12
-1.5215150e-15,1.2654860e-11,7.2484150e-12
-1.5142470e-15,1.2668120e-11,7.2549400e-12
-1.5023850e-15,1.2673420e-11,7.3907250e-12
#Index values in left tail
806,806,127
543,837,919
127,782,512
440,118,913
526,314,333
238,232,552
782,20,267
450,136,973
20,485,464
#Index values in right tail
140,977,937
524,630,524
608,810,747
84,887,24
630,703,420
439,439,839
394,800,932
67,715,675
959,128,187
