 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Histogram plots from data
#Number of histogram bins
16
#Number of Measures
3
#Column names, bin centers and bin counts
iint,iint_count,tphl,tphl_count,tplh,tplh_count
-4.490673e-15,1,9.012033e-12,2,3.072958e-11,2
-4.306917e-15,0,9.215157e-12,8,3.154114e-11,0
-4.123161e-15,2,9.418282e-12,24,3.235269e-11,3
-3.939405e-15,3,9.621407e-12,65,3.316425e-11,8
-3.755649e-15,2,9.824532e-12,144,3.397581e-11,40
-3.571893e-15,11,1.002766e-11,182,3.478737e-11,85
-3.388137e-15,9,1.023078e-11,102,3.559892e-11,108
-3.204381e-15,26,1.043391e-11,108,3.641048e-11,160
-3.020624e-15,55,1.063703e-11,104,3.722204e-11,179
-2.836868e-15,97,1.084016e-11,96,3.80336e-11,180
-2.653112e-15,160,1.104328e-11,60,3.884515e-11,107
-2.469356e-15,184,1.124641e-11,45,3.965671e-11,75
-2.2856e-15,220,1.144953e-11,24,4.046827e-11,34
-2.101844e-15,131,1.165266e-11,19,4.127983e-11,12
-1.918088e-15,85,1.185578e-11,11,4.209138e-11,5
-1.734332e-15,14,1.205891e-11,6,4.290294e-11,2

