 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Histogram plots from data
#Number of histogram bins
16
#Number of Measures
3
#Column names, bin centers and bin counts
iint,iint_count,tphl,tphl_count,tplh,tplh_count
-2.564411e-15,1,1.02333e-11,2,4.054428e-12,2
-2.490842e-15,0,1.041475e-11,8,4.158474e-12,6
-2.417273e-15,1,1.05962e-11,24,4.26252e-12,13
-2.343704e-15,2,1.077765e-11,43,4.366566e-12,37
-2.270135e-15,1,1.09591e-11,0,4.470613e-12,45
-2.196567e-15,6,1.114054e-11,60,4.574659e-12,62
-2.122998e-15,13,1.132199e-11,125,4.678705e-12,69
-2.049429e-15,35,1.150344e-11,147,4.782751e-12,97
-1.97586e-15,61,1.168489e-11,135,4.886797e-12,105
-1.902291e-15,99,1.186634e-11,150,4.990843e-12,146
-1.828722e-15,170,1.204779e-11,135,5.094889e-12,165
-1.755154e-15,211,1.222923e-11,75,5.198935e-12,123
-1.681585e-15,226,1.241068e-11,48,5.302982e-12,74
-1.608016e-15,130,1.259213e-11,24,5.407028e-12,36
-1.534447e-15,35,1.277358e-11,18,5.511074e-12,18
-1.460878e-15,9,1.295503e-11,6,5.61512e-12,2

