 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Tail samples and indices
#Number of Measures
3
#Number of samples in each tail
9
#Measure names
iint,tphl,tplh
#Measure values in left tail
-4.2947740e-15,1.1703070e-11,6.4054560e-12
-4.2789200e-15,1.1932160e-11,6.4251560e-12
-4.1780730e-15,1.2014150e-11,6.4696150e-12
-4.1194590e-15,1.2036840e-11,6.5025260e-12
-4.0442320e-15,1.2052670e-11,6.5040820e-12
-4.0076980e-15,1.2067110e-11,6.5108550e-12
-3.9674550e-15,1.2200720e-11,6.5564250e-12
-3.9302150e-15,1.2217190e-11,6.5640510e-12
-3.8892660e-15,1.2262880e-11,6.5869060e-12
#Measure values in right tail
-2.0229570e-15,1.4697000e-11,8.3289820e-12
-2.0201810e-15,1.4724730e-11,8.3313740e-12
-2.0195150e-15,1.4726650e-11,8.3346660e-12
-2.0161690e-15,1.4840550e-11,8.3457990e-12
-2.0140330e-15,1.4922580e-11,8.3581580e-12
-2.0077330e-15,1.4927030e-11,8.4171780e-12
-2.0021770e-15,1.4946170e-11,8.4284290e-12
-1.9774180e-15,1.4957500e-11,8.6107810e-12
-1.9714690e-15,1.4963360e-11,8.6447850e-12
#Index values in left tail
127,806,512
806,837,127
543,782,158
440,118,552
782,314,137
526,232,78
20,20,638
226,136,543
238,485,238
#Index values in right tail
892,977,57
932,810,937
630,630,394
839,887,747
439,703,535
959,439,420
484,800,6
524,715,675
187,128,706
