 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Histogram plots from data
#Number of histogram bins
16
#Number of Measures
3
#Column names, bin centers and bin counts
iint,iint_count,tphl,tphl_count,tplh,tplh_count
-2.241653e-15,1,8.453752e-12,2,9.056179e-12,2
-2.179476e-15,0,8.586417e-12,4,9.232308e-12,6
-2.1173e-15,2,8.719082e-12,13,9.408436e-12,20
-2.055123e-15,4,8.851747e-12,32,9.584565e-12,60
-1.992947e-15,4,8.984412e-12,70,9.760693e-12,112
-1.93077e-15,12,9.117077e-12,130,9.936821e-12,143
-1.868594e-15,17,9.249742e-12,162,1.011295e-11,178
-1.806417e-15,39,9.382407e-12,149,1.028908e-11,197
-1.744241e-15,58,9.515072e-12,154,1.046521e-11,112
-1.682064e-15,124,9.647737e-12,123,1.064134e-11,84
-1.619888e-15,176,9.780402e-12,72,1.081746e-11,39
-1.557711e-15,214,9.913067e-12,43,1.099359e-11,28
-1.495535e-15,212,1.004573e-11,21,1.116972e-11,5
-1.433358e-15,104,1.01784e-11,17,1.134585e-11,9
-1.371182e-15,30,1.031106e-11,3,1.152198e-11,4
-1.309005e-15,3,1.044373e-11,5,1.169811e-11,1

