 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Histogram plots from data
#Number of histogram bins
16
#Number of Measures
3
#Column names, bin centers and bin counts
iint,iint_count,tphl,tphl_count,tplh,tplh_count
-1.879638e-15,1,8.2501e-12,2,7.632111e-12,3
-1.839288e-15,0,8.369579e-12,4,7.771022e-12,2
-1.798939e-15,1,8.489058e-12,13,7.909933e-12,12
-1.758589e-15,2,8.608538e-12,25,8.048845e-12,18
-1.718239e-15,5,8.728017e-12,58,8.187756e-12,38
-1.67789e-15,4,8.847497e-12,110,8.326667e-12,83
-1.63754e-15,7,8.966976e-12,143,8.465579e-12,111
-1.59719e-15,12,9.086455e-12,161,8.60449e-12,123
-1.556841e-15,18,9.205935e-12,136,8.743401e-12,159
-1.516491e-15,57,9.325414e-12,139,8.882312e-12,163
-1.476141e-15,125,9.444893e-12,83,9.021224e-12,128
-1.435792e-15,214,9.564373e-12,61,9.160135e-12,85
-1.395442e-15,284,9.683852e-12,28,9.299046e-12,44
-1.355092e-15,199,9.803332e-12,19,9.437958e-12,19
-1.314743e-15,43,9.922811e-12,12,9.576869e-12,10
-1.274393e-15,28,1.004229e-11,6,9.71578e-12,2

