 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Histogram plots from data
#Number of histogram bins
16
#Number of Measures
3
#Column names, bin centers and bin counts
iint,iint_count,tphl,tphl_count,tplh,tplh_count
-2.744266e-15,1,8.733432e-12,2,1.007594e-11,1
-2.655894e-15,0,8.888763e-12,6,1.034536e-11,4
-2.567522e-15,2,9.044094e-12,18,1.061477e-11,26
-2.47915e-15,3,9.199425e-12,52,1.088418e-11,55
-2.390779e-15,4,9.354756e-12,98,1.115359e-11,73
-2.302407e-15,10,9.510086e-12,168,1.142301e-11,121
-2.214035e-15,18,9.665417e-12,179,1.169242e-11,115
-2.125663e-15,35,9.820748e-12,155,1.196183e-11,120
-2.037291e-15,55,9.976079e-12,150,1.223124e-11,116
-1.948919e-15,120,1.013141e-11,80,1.250066e-11,132
-1.860547e-15,151,1.028674e-11,35,1.277007e-11,104
-1.772175e-15,209,1.044207e-11,21,1.303948e-11,82
-1.683804e-15,174,1.05974e-11,15,1.33089e-11,34
-1.595432e-15,145,1.075273e-11,12,1.357831e-11,10
-1.50706e-15,57,1.090806e-11,3,1.384772e-11,5
-1.418688e-15,16,1.106339e-11,6,1.411713e-11,2

