 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Tail samples and indices
#Number of Measures
3
#Number of samples in each tail
9
#Measure names
iint,tphl,tplh
#Measure values in left tail
-5.3335050e-15,6.2654330e-12,5.1018960e-12
-4.8572900e-15,6.3603780e-12,5.2586120e-12
-4.7302170e-15,6.3966730e-12,5.2837740e-12
-4.6499200e-15,6.4047480e-12,5.3330820e-12
-4.6418330e-15,6.4125230e-12,5.3448560e-12
-4.6339290e-15,6.4182810e-12,5.3536770e-12
-4.5025270e-15,6.4778770e-12,5.3750970e-12
-4.4956130e-15,6.4829050e-12,5.3814970e-12
-4.4792490e-15,6.5027670e-12,5.3931040e-12
#Measure values in right tail
-2.3203070e-15,7.8377790e-12,6.7705760e-12
-2.3191060e-15,7.8493640e-12,6.7717490e-12
-2.3083710e-15,7.8557070e-12,6.7841080e-12
-2.3015570e-15,7.9178780e-12,6.8431430e-12
-2.2735270e-15,7.9625430e-12,6.8484540e-12
-2.2725230e-15,7.9627630e-12,6.8890500e-12
-2.2607210e-15,7.9754490e-12,6.8899730e-12
-2.1918140e-15,7.9850570e-12,7.0214890e-12
-2.1732820e-15,7.9884730e-12,7.0474230e-12
#Index values in left tail
806,806,127
782,837,543
20,782,238
837,118,526
314,314,440
226,232,777
232,20,788
623,136,183
440,485,52
#Index values in right tail
959,977,57
932,630,937
839,810,747
892,887,420
187,703,959
484,439,187
524,800,6
630,715,675
439,128,706
