 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
3
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
iint,tphl,tplh,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
-5.333505e-15,6.265433e-12,5.101896e-12,-3.290527,-4.895247,-2.599759
-4.85729e-15,6.360378e-12,5.258612e-12,-2.967738,-3.69972,-2.489258
-4.730217e-15,6.396673e-12,5.283774e-12,-2.807034,-3.342036,-2.409629
-4.64992e-15,6.404748e-12,5.333082e-12,-2.696844,-3.13969,-2.346205
-4.641833e-15,6.412523e-12,5.344856e-12,-2.612054,-2.999605,-2.292977
-4.633929e-15,6.418281e-12,5.353677e-12,-2.542699,-2.892598,-2.246832
-4.502527e-15,6.477877e-12,5.375097e-12,-2.483769,-2.805987,-2.20593
-4.495613e-15,6.482905e-12,5.381497e-12,-2.432379,-2.733174,-2.169082
-4.479249e-15,6.502767e-12,5.393104e-12,-2.386708,-2.670302,-2.135475
-4.473614e-15,6.505852e-12,5.436399e-12,-2.345531,-2.614929,-2.104524
-4.462051e-15,6.516573e-12,5.455903e-12,-2.307984,-2.56541,-2.075792
-4.441649e-15,6.518598e-12,5.478158e-12,-2.273435,-2.520588,-2.048948
-4.376987e-15,6.52471e-12,5.487337e-12,-2.241403,-2.479619,-2.023729
-4.349497e-15,6.524762e-12,5.504597e-12,-2.211518,-2.441866,-1.999926
-4.314511e-15,6.534321e-12,5.622813e-12,-2.183487,-2.406839,-1.977369
-4.305757e-15,6.536005e-12,5.626958e-12,-2.157073,-2.374152,-1.955918
-4.28112e-15,6.539433e-12,5.649826e-12,-2.132083,-2.343497,-1.935455
-4.276576e-15,6.543927e-12,5.669251e-12,-2.108358,-2.31462,-1.915882
-4.272004e-15,6.545508e-12,5.684835e-12,-2.085764,-2.287316,-1.897114
-4.255473e-15,6.57753e-12,5.686429e-12,-2.064187,-2.261411,-1.879078
-4.239902e-15,6.58035e-12,5.69975e-12,-2.04353,-2.236759,-1.861712
-4.22194e-15,6.59284e-12,5.703739e-12,-2.02371,-2.213237,-1.844961
-4.19142e-15,6.593822e-12,5.716185e-12,-2.004654,-2.190737,-1.828776
-4.189191e-15,6.596713e-12,5.727295e-12,-1.9863,-2.169169,-1.813115
-4.187295e-15,6.597394e-12,5.729096e-12,-1.968592,-2.148452,-1.79794
-4.184641e-15,6.601969e-12,5.729201e-12,-1.95148,-2.128516,-1.783218
