$DATA1 SOURCE='PrimeSim HSPICE' VERSION='S-2021.09-2 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
$index=1 is a nominal sample in Monte Carlo.
.TITLE '*inversor'
index,tphl,tplh,iint,temper,alter#
88, 1.033013e-11, 5.982779e-12,-2.076032e-15,   0.,3
89, 1.032661e-11, 6.495349e-12,-1.883590e-15,   0.,3
90, 1.101282e-11, 6.353563e-12,-1.974152e-15,   0.,3
91, 1.166220e-11, 5.888546e-12,-1.803136e-15,   0.,3
92, 1.123710e-11, 6.562141e-12,-1.821040e-15,   0.,3
93, 1.147011e-11, 6.310321e-12,-1.940911e-15,   0.,3
94, 1.084189e-11, 6.165933e-12,-2.162492e-15,   0.,3
95, 1.086810e-11, 6.398959e-12,-1.977189e-15,   0.,3
96, 1.108854e-11, 6.320765e-12,-1.980615e-15,   0.,3
97, 1.115512e-11, 6.536897e-12,-1.841061e-15,   0.,3
98, 1.131940e-11, 6.373915e-12,-1.913988e-15,   0.,3
99, 1.066563e-11, 6.666437e-12,-1.908645e-15,   0.,3
100, 1.037587e-11, 5.997173e-12,-2.043316e-15,   0.,3
101, 1.010130e-11, 6.450260e-12,-2.046954e-15,   0.,3
102, 1.185744e-11, 6.156753e-12,-1.651204e-15,   0.,3
103, 1.108106e-11, 6.551676e-12,-1.848321e-15,   0.,3
104, 1.130417e-11, 6.440060e-12,-1.870901e-15,   0.,3
105, 1.141962e-11, 6.672512e-12,-1.751871e-15,   0.,3
106, 1.130841e-11, 6.155808e-12,-2.081712e-15,   0.,3
107, 1.113172e-11, 6.280558e-12,-2.001673e-15,   0.,3
108, 1.143000e-11, 6.614716e-12,-1.774140e-15,   0.,3
109, 1.154391e-11, 6.256163e-12,-1.963504e-15,   0.,3
110, 1.126910e-11, 6.513412e-12,-1.838446e-15,   0.,3
111, 1.067424e-11, 6.163512e-12,-2.216499e-15,   0.,3
112, 1.164986e-11, 5.909548e-12,-1.792266e-15,   0.,3
113, 1.201520e-11, 6.419736e-12,-1.790736e-15,   0.,3
114, 1.079601e-11, 6.166979e-12,-2.174773e-15,   0.,3
115, 1.036635e-11, 6.202588e-12,-1.954831e-15,   0.,3
116, 1.077834e-11, 6.262562e-12,-2.097013e-15,   0.,3
117, 1.136487e-11, 6.327619e-12,-1.939823e-15,   0.,3
118, 9.958392e-12, 6.296635e-12,-2.222921e-15,   0.,3
119, 1.176561e-11, 6.379924e-12,-1.593599e-15,   0.,3
120, 1.077668e-11, 6.192035e-12,-2.157353e-15,   0.,3
121, 1.158713e-11, 5.758932e-12,-1.905994e-15,   0.,3
122, 1.090963e-11, 6.674373e-12,-1.833629e-15,   0.,3
123, 1.172552e-11, 6.322128e-12,-1.614950e-15,   0.,3
124, 1.184342e-11, 6.173427e-12,-1.646975e-15,   0.,3
