$DATA1 SOURCE='PrimeSim HSPICE' VERSION='S-2021.09-2 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
$index=1 is a nominal sample in Monte Carlo.
.TITLE '*inversor'
index,tphl,tplh,iint,temper,alter#
1, 1.218970e-11, 5.400316e-12,-1.938475e-15,   0.,4
2, 1.181074e-11, 5.616632e-12,-2.286260e-15,   0.,4
3, 1.206132e-11, 5.792263e-12,-2.035779e-15,   0.,4
4, 1.298160e-11, 5.582866e-12,-1.699418e-15,   0.,4
5, 1.228169e-11, 5.637893e-12,-1.792942e-15,   0.,4
6, 1.130829e-11, 6.315118e-12,-2.028029e-15,   0.,4
7, 1.250516e-11, 5.116310e-12,-2.121266e-15,   0.,4
8, 1.195228e-11, 5.867286e-12,-2.030728e-15,   0.,4
9, 1.233730e-11, 5.729070e-12,-1.746232e-15,   0.,4
10, 1.194385e-11, 5.702221e-12,-2.161873e-15,   0.,4
11, 1.245038e-11, 5.470134e-12,-1.844075e-15,   0.,4
12, 1.232810e-11, 5.356934e-12,-1.942457e-15,   0.,4
13, 1.259429e-11, 5.226767e-12,-1.989270e-15,   0.,4
14, 1.158969e-11, 5.870961e-12,-2.104701e-15,   0.,4
15, 1.248462e-11, 5.134185e-12,-2.104963e-15,   0.,4
16, 1.236800e-11, 5.617719e-12,-1.784712e-15,   0.,4
17, 1.127669e-11, 5.839133e-12,-2.228103e-15,   0.,4
18, 1.256887e-11, 5.445115e-12,-1.838178e-15,   0.,4
19, 1.155143e-11, 5.900291e-12,-2.097589e-15,   0.,4
20, 1.077545e-11, 5.566017e-12,-2.692350e-15,   0.,4
21, 1.240213e-11, 5.559403e-12,-1.805289e-15,   0.,4
22, 1.184566e-11, 5.735928e-12,-2.158937e-15,   0.,4
23, 1.194901e-11, 5.460735e-12,-2.429411e-15,   0.,4
24, 1.289195e-11, 6.173339e-12,-1.724132e-15,   0.,4
25, 1.206362e-11, 6.120354e-12,-1.867893e-15,   0.,4
26, 1.187885e-11, 5.863972e-12,-2.052637e-15,   0.,4
27, 1.153067e-11, 5.571629e-12,-2.342105e-15,   0.,4
28, 1.172621e-11, 5.855304e-12,-2.101042e-15,   0.,4
29, 1.250119e-11, 5.766029e-12,-1.704344e-15,   0.,4
30, 1.198988e-11, 5.925835e-12,-1.984144e-15,   0.,4
31, 1.269377e-11, 5.885583e-12,-1.881852e-15,   0.,4
32, 1.185988e-11, 5.818190e-12,-2.089084e-15,   0.,4
33, 1.173293e-11, 5.521796e-12,-2.429063e-15,   0.,4
34, 1.197659e-11, 5.601624e-12,-2.256320e-15,   0.,4
35, 1.152383e-11, 5.585007e-12,-2.330917e-15,   0.,4
36, 1.196947e-11, 6.081610e-12,-1.916015e-15,   0.,4
37, 1.206007e-11, 6.132903e-12,-1.864610e-15,   0.,4
38, 1.216466e-11, 5.576877e-12,-2.153771e-15,   0.,4
39, 1.263132e-11, 5.506580e-12,-2.249860e-15,   0.,4
40, 1.191402e-11, 5.766991e-12,-2.113711e-15,   0.,4
41, 1.265656e-11, 5.873907e-12,-1.894868e-15,   0.,4
42, 1.256149e-11, 5.506691e-12,-1.803845e-15,   0.,4
43, 1.186511e-11, 5.848566e-12,-2.065908e-15,   0.,4
44, 1.206255e-11, 5.826582e-12,-2.013926e-15,   0.,4
45, 1.227864e-11, 5.540695e-12,-1.838937e-15,   0.,4
46, 1.192810e-11, 6.105656e-12,-1.916961e-15,   0.,4
47, 1.187545e-11, 6.085148e-12,-1.938914e-15,   0.,4
48, 1.228437e-11, 5.309964e-12,-1.975789e-15,   0.,4
49, 1.262758e-11, 5.736230e-12,-2.005958e-15,   0.,4
50, 1.267330e-11, 5.660507e-12,-2.070212e-15,   0.,4
51, 1.186292e-11, 5.904618e-12,-2.030496e-15,   0.,4
52, 1.234353e-11, 4.892307e-12,-2.437546e-15,   0.,4
53, 1.173090e-11, 5.772271e-12,-2.162241e-15,   0.,4
54, 1.227052e-11, 5.280552e-12,-2.004125e-15,   0.,4
55, 1.114114e-11, 5.600226e-12,-2.466790e-15,   0.,4
56, 1.248478e-11, 5.508732e-12,-1.816150e-15,   0.,4
57, 1.210879e-11, 6.257236e-12,-1.808459e-15,   0.,4
58, 1.230134e-11, 5.666511e-12,-1.777112e-15,   0.,4
59, 1.184133e-11, 5.922566e-12,-2.025278e-15,   0.,4
60, 1.242389e-11, 5.313490e-12,-1.944458e-15,   0.,4
61, 1.231025e-11, 5.399689e-12,-1.915811e-15,   0.,4
62, 1.179495e-11, 5.798098e-12,-2.122297e-15,   0.,4
63, 1.255567e-11, 5.577737e-12,-1.769533e-15,   0.,4
64, 1.210711e-11, 6.031837e-12,-1.886345e-15,   0.,4
65, 1.198891e-11, 5.918558e-12,-1.988752e-15,   0.,4
66, 1.261870e-11, 6.035223e-12,-1.810388e-15,   0.,4
67, 1.284343e-11, 6.275461e-12,-1.697677e-15,   0.,4
68, 1.240332e-11, 5.482826e-12,-1.845154e-15,   0.,4
69, 1.211216e-11, 5.486377e-12,-2.283715e-15,   0.,4
70, 1.173444e-11, 5.700577e-12,-2.224795e-15,   0.,4
71, 1.116026e-11, 5.855837e-12,-2.270603e-15,   0.,4
72, 1.211408e-11, 5.755951e-12,-2.033144e-15,   0.,4
73, 1.309971e-11, 5.639277e-12,-1.662964e-15,   0.,4
74, 1.233605e-11, 5.167068e-12,-2.100052e-15,   0.,4
75, 1.241867e-11, 5.065934e-12,-2.200249e-15,   0.,4
76, 1.189805e-11, 5.605047e-12,-2.274270e-15,   0.,4
77, 1.172581e-11, 5.634410e-12,-2.290089e-15,   0.,4
78, 1.300060e-11, 5.028884e-12,-2.137330e-15,   0.,4
79, 1.301528e-11, 5.414264e-12,-1.785785e-15,   0.,4
80, 1.139301e-11, 5.992492e-12,-2.103169e-15,   0.,4
