 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Histogram plots from data
#Number of histogram bins
16
#Number of Measures
3
#Column names, bin centers and bin counts
iint,iint_count,tphl,tphl_count,tplh,tplh_count
-8.183276,1,3.229484e-10,786,-9.672313e-09,786
-7.642591,0,9.673524e-10,0,-9.026013e-09,0
-7.101906,0,1.611756e-09,0,-8.379713e-09,0
-6.561222,0,2.25616e-09,0,-7.733413e-09,0
-6.020537,0,2.900564e-09,0,-7.087113e-09,0
-5.479853,0,3.544968e-09,0,-6.440813e-09,0
-4.939168,0,4.189372e-09,0,-5.794512e-09,0
-4.398484,1,4.833776e-09,0,-5.148212e-09,0
-3.857799,1,5.47818e-09,0,-4.501912e-09,0
-3.317115,0,6.122584e-09,0,-3.855612e-09,0
-2.77643,0,6.766988e-09,0,-3.209312e-09,0
-2.235745,0,7.411392e-09,0,-2.563012e-09,0
-1.695061,0,8.055796e-09,0,-1.916712e-09,0
-1.154376,0,8.7002e-09,0,-1.270412e-09,0
-0.6136917,0,9.344604e-09,0,-6.241117e-10,0
-0.07300718,997,9.989008e-09,49,2.218836e-11,49

