 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Tail samples and indices
#Number of Measures
3
#Number of samples in each tail
9
#Measure names
iint,tphl,tplh
#Measure values in left tail
-4.8523540e-15,1.1298090e-11,7.7928030e-12
-4.4531890e-15,1.1549080e-11,8.1996030e-12
-4.3248680e-15,1.1640590e-11,8.2822890e-12
-4.3101120e-15,1.1663620e-11,8.3208760e-12
-4.2589390e-15,1.1682350e-11,8.3277060e-12
-4.2578680e-15,1.1697730e-11,8.3463460e-12
-4.2410570e-15,1.1845800e-11,8.4313160e-12
-4.2402190e-15,1.1861660e-11,8.4768990e-12
-4.2187390e-15,1.1911310e-11,8.5023710e-12
#Measure values in right tail
-2.2101200e-15,1.4559070e-11,1.0897920e-11
-2.2023050e-15,1.4584180e-11,1.0924250e-11
-2.1981230e-15,1.4590790e-11,1.0937860e-11
-2.1881100e-15,1.4711810e-11,1.0958750e-11
-2.1578560e-15,1.4797630e-11,1.1001770e-11
-2.1575670e-15,1.4798810e-11,1.1020290e-11
-2.1500880e-15,1.4822300e-11,1.1078480e-11
-2.0836960e-15,1.4837940e-11,1.1367860e-11
-2.0617380e-15,1.4844310e-11,1.1398690e-11
#Index values in left tail
806,806,127
782,837,440
543,782,777
20,118,788
314,314,183
440,232,52
226,20,979
127,136,532
837,485,814
#Index values in right tail
932,977,446
959,630,524
839,810,937
892,887,57
484,703,420
187,439,959
524,800,187
630,715,675
439,128,706
