$DATA1 SOURCE='PrimeSim HSPICE' VERSION='S-2021.09-2 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
$index=1 is a nominal sample in Monte Carlo.
.TITLE '*inversor'
index,tphl,tplh,iint,temper,alter#
1,   failed,   failed,-1.477405e-09,   0.,6
2,   failed,   failed,-1.464510e-09,   0.,6
3,   failed,   failed,-1.472579e-09,   0.,6
4, 2.733172e-11,-9.927437e-09, 4.989978e-05,   0.,6
5,   failed,   failed,-1.480964e-09,   0.,6
6, 1.109991e-11,-9.848451e-09, 9.906139e-05,   0.,6
7,   failed,   failed,-1.489213e-09,   0.,6
8,   failed,   failed,-1.468627e-09,   0.,6
9,   failed,   failed,-1.483169e-09,   0.,6
10,   failed,   failed,-1.468183e-09,   0.,6
11, 1.000606e-08, 1.143382e-11, 2.987719e-05,   0.,6
12,   failed,   failed,-1.482615e-09,   0.,6
13,   failed,   failed,-1.492676e-09,   0.,6
14,   failed,   failed,-1.455567e-09,   0.,6
15,   failed,   failed,-1.488716e-09,   0.,6
16, 7.120001e-12,-9.978844e-09, 4.677946e-05,   0.,6
17, 9.830312e-12,-9.908676e-09,-8.058130e-06,   0.,6
18,   failed,   failed,-1.491881e-09,   0.,6
19,   failed,   failed,-1.454241e-09,   0.,6
20,   failed,   failed,-1.435201e-09,   0.,6
21, 6.261687e-12,-9.988965e-09, 1.739834e-05,   0.,6
22, 1.000492e-08, 1.244787e-11, 1.212883e-05,   0.,6
23,   failed,   failed,-1.468161e-09,   0.,6
24, 6.184480e-12,-9.973966e-09, 2.035904e-04,   0.,6
25,   failed,   failed,-1.472926e-09,   0.,6
26,   failed,   failed,-1.465916e-09,   0.,6
27,   failed,   failed,-1.453153e-09,   0.,6
28,   failed,   failed,-1.460398e-09,   0.,6
29,   failed,   failed,-1.489428e-09,   0.,6
30,   failed,   failed,-1.470059e-09,   0.,6
31, 9.218983e-12,-9.959061e-09, 1.587589e-04,   0.,6
32, 1.000606e-08, 1.143180e-11,-1.658698e-06,   0.,6
33,   failed,   failed,-1.460256e-09,   0.,6
34,   failed,   failed,-1.469307e-09,   0.,6
35,   failed,   failed,-1.452991e-09,   0.,6
36,   failed,   failed,-1.469404e-09,   0.,6
37,   failed,   failed,-1.472800e-09,   0.,6
38,   failed,   failed,-1.476318e-09,   0.,6
39,   failed,   failed,-1.494026e-09,   0.,6
40,   failed,   failed,-1.467140e-09,   0.,6
41,   failed,   failed,-1.495304e-09,   0.,6
42,   failed,   failed,-1.491625e-09,   0.,6
43,   failed,   failed,-1.465331e-09,   0.,6
44,   failed,   failed,-1.472698e-09,   0.,6
45,   failed,   failed,-1.480795e-09,   0.,6
46,   failed,   failed,-1.467897e-09,   0.,6
47,   failed,   failed,-1.465957e-09,   0.,6
48,   failed,   failed,-1.480923e-09,   0.,6
49,   failed,   failed,-1.494024e-09,   0.,6
50,   failed,   failed,-1.495838e-09,   0.,6
51,   failed,   failed,-1.465362e-09,   0.,6
52,   failed,   failed,-1.482892e-09,   0.,6
53,   failed,   failed,-1.460493e-09,   0.,6
54,   failed,   failed,-1.480378e-09,   0.,6
55,   failed,   failed,-1.439761e-09,   0.,6
56, 1.000606e-08, 1.158256e-11, 3.825465e-05,   0.,6
57,   failed,   failed,-1.474693e-09,   0.,6
58,   failed,   failed,-1.481773e-09,   0.,6
59,   failed,   failed,-1.464521e-09,   0.,6
60,   failed,   failed,-1.486246e-09,   0.,6
61,   failed,   failed,-1.481964e-09,   0.,6
62,   failed,   failed,-1.462835e-09,   0.,6
63,   failed,   failed,-1.491435e-09,   0.,6
64,   failed,   failed,-1.474504e-09,   0.,6
65,   failed,   failed,-1.470018e-09,   0.,6
66,   failed,   failed,-1.493841e-09,   0.,6
67, 7.257772e-12,-9.990130e-09, 3.527344e-05,   0.,6
68, 7.120001e-12,-9.978851e-09,-1.512591e-09,   0.,6
69,   failed,   failed,-1.474309e-09,   0.,6
70,   failed,   failed,-1.460554e-09,   0.,6
71,   failed,   failed,-1.441612e-09,   0.,6
72,   failed,   failed,-1.474588e-09,   0.,6
73, 4.474239e-11,-9.917423e-09, 1.211741e-04,   0.,6
74,   failed,   failed,-1.482792e-09,   0.,6
75, 4.761350e-12,-9.992592e-09, 6.954449e-05,   0.,6
76,   failed,   failed,-1.466408e-09,   0.,6
77,   failed,   failed,-1.460186e-09,   0.,6
78, 3.383291e-11,-9.912329e-09, 2.908546e-04,   0.,6
79, 1.410740e-11,-9.972747e-09,-1.512537e-06,   0.,6
80, 4.846334e-12,-9.988148e-09,-1.582289e-04,   0.,6
81,   failed,   failed,-1.486251e-09,   0.,6
82,   failed,   failed,-1.467660e-09,   0.,6
83,   failed,   failed,-1.488643e-09,   0.,6
84, 4.246619e-11,-9.909778e-09,-2.716267e-04,   0.,6
85,   failed,   failed,-1.460942e-09,   0.,6
86,   failed,   failed,-1.474496e-09,   0.,6
87,   failed,   failed,-1.453635e-09,   0.,6
88,   failed,   failed,-1.449364e-09,   0.,6
89,   failed,   failed,-1.449705e-09,   0.,6
90,   failed,   failed,-1.470668e-09,   0.,6
91,   failed,   failed,-1.493169e-09,   0.,6
92,   failed,   failed,-1.478480e-09,   0.,6
93,   failed,   failed,-1.486384e-09,   0.,6
94, 1.000267e-08, 9.480001e-12,-1.420382e-09,   0.,6
95,   failed,   failed,-1.465872e-09,   0.,6
96,   failed,   failed,-1.473199e-09,   0.,6
97,   failed,   failed,-1.475662e-09,   0.,6
98,   failed,   failed,-1.481175e-09,   0.,6
99,   failed,   failed,-1.459482e-09,   0.,6
100,   failed,   failed,-1.451601e-09,   0.,6
101,   failed,   failed,-1.438164e-09,   0.,6
102, 7.470482e-12,-9.980580e-09, 2.547117e-04,   0.,6
103,   failed,   failed,-1.473155e-09,   0.,6
104,   failed,   failed,-1.480701e-09,   0.,6
105, 5.484233e-12,-9.990662e-09,-7.225219e-06,   0.,6
106,   failed,   failed,-1.480588e-09,   0.,6
107,   failed,   failed,-1.474578e-09,   0.,6
108, 6.357939e-12,-9.977575e-09,-3.798110e-05,   0.,6
109,   failed,   failed,-1.488867e-09,   0.,6
110,   failed,   failed,-1.479495e-09,   0.,6
111,   failed,   failed,-1.459192e-09,   0.,6
112,   failed,   failed,-1.492742e-09,   0.,6
113, 1.043200e-11,-9.981754e-09,-2.883676e-03,   0.,6
114,   failed,   failed,-1.463189e-09,   0.,6
115,   failed,   failed,-1.451235e-09,   0.,6
116,   failed,   failed,-1.462783e-09,   0.,6
117,   failed,   failed,-1.482715e-09,   0.,6
118,   failed,   failed,-1.430412e-09,   0.,6
119, 2.210093e-11,-9.927768e-09,-7.230389e-07,   0.,6
120,   failed,   failed,-1.462647e-09,   0.,6
121,   failed,   failed,-1.490444e-09,   0.,6
122,   failed,   failed,-1.467500e-09,   0.,6
123,   failed,   failed,-1.495893e-09,   0.,6
124, 2.870000e-11,-9.917495e-09,-9.910598e-05,   0.,6
125,   failed,   failed,-1.488380e-09,   0.,6
126,   failed,   failed,-1.487553e-09,   0.,6
127,   failed,   failed,-1.490439e-09,   0.,6
128, 8.007220e-12,-9.986362e-09,-1.879991e-04,   0.,6
129,   failed,   failed,-1.467580e-09,   0.,6
130,   failed,   failed,-1.469605e-09,   0.,6
131,   failed,   failed,-1.465612e-09,   0.,6
132, 2.927955e-11,-9.912671e-09,-2.961920e-04,   0.,6
133, 3.038986e-11,-9.915656e-09, 6.540425e-05,   0.,6
134,   failed,   failed,-1.462113e-09,   0.,6
135,   failed,   failed,-1.471143e-09,   0.,6
136,   failed,   failed,-1.436098e-09,   0.,6
137, 1.053947e-11,-9.975306e-09, 4.332494e-04,   0.,6
138, 5.463620e-12,-9.992160e-09, 1.138021e-03,   0.,6
139, 7.259099e-12,-9.989537e-09,-4.169103e-06,   0.,6
140, 1.000566e-08, 1.312607e-11,-1.209296e-07,   0.,6
141,   failed,   failed,-1.471661e-09,   0.,6
142,   failed,   failed,-1.461802e-09,   0.,6
143,   failed,   failed,-1.469540e-09,   0.,6
144, 1.240793e-11,-9.903550e-09, 1.184677e-07,   0.,6
145,   failed,   failed,-1.477021e-09,   0.,6
146,   failed,   failed,-1.481920e-09,   0.,6
147,   failed,   failed,-1.493508e-09,   0.,6
148,   failed,   failed,-1.490980e-09,   0.,6
149,   failed,   failed,-1.481532e-09,   0.,6
150,   failed,   failed,-1.456958e-09,   0.,6
151,   failed,   failed,-1.490920e-09,   0.,6
152,   failed,   failed,-1.480498e-09,   0.,6
153,   failed,   failed,-1.482925e-09,   0.,6
154, 2.893227e-11,-9.913262e-09,-3.937535e-07,   0.,6
155,   failed,   failed,-1.476626e-09,   0.,6
156,   failed,   failed,-1.497024e-09,   0.,6
157,   failed,   failed,-1.469848e-09,   0.,6
158, 8.100303e-12,-9.987299e-09, 7.911667e-06,   0.,6
159,   failed,   failed,-1.483136e-09,   0.,6
160,   failed,   failed,-1.474244e-09,   0.,6
161,   failed,   failed,-1.470565e-09,   0.,6
162,   failed,   failed,-1.442719e-09,   0.,6
163, 1.203560e-11,-9.947698e-09,-1.119873e-05,   0.,6
164,   failed,   failed,-1.474383e-09,   0.,6
165, 1.000606e-08, 1.160300e-11, 3.514557e-08,   0.,6
166,   failed,   failed,-1.462884e-09,   0.,6
167,   failed,   failed,-1.468041e-09,   0.,6
168,   failed,   failed,-1.478700e-09,   0.,6
169,   failed,   failed,-1.472456e-09,   0.,6
170,   failed,   failed,-1.473923e-09,   0.,6
171, 9.275487e-11,-9.853360e-09,-2.061009e-06,   0.,6
172, 7.463186e-12,-9.987560e-09, 1.424350e-04,   0.,6
173,   failed,   failed,-1.478711e-09,   0.,6
174,   failed,   failed,-1.491601e-09,   0.,6
175, 9.399839e-12,-9.984685e-09,-9.704077e-05,   0.,6
176, 1.122951e-11,-9.962247e-09, 2.598553e-05,   0.,6
177,   failed,   failed,-1.475536e-09,   0.,6
178, 6.254048e-12,-9.984832e-09,-2.759823e-07,   0.,6
179,   failed,   failed,-1.474083e-09,   0.,6
180,   failed,   failed,-1.474787e-09,   0.,6
181,   failed,   failed,-1.480771e-09,   0.,6
182,   failed,   failed,-1.468374e-09,   0.,6
183,   failed,   failed,-1.511748e-09,   0.,6
184,   failed,   failed,-1.482195e-09,   0.,6
185,   failed,   failed,-1.465443e-09,   0.,6
186,   failed,   failed,-1.451873e-09,   0.,6
187, 6.181997e-12,-9.989564e-09, 4.390596e-05,   0.,6
188,   failed,   failed,-1.460443e-09,   0.,6
189,   failed,   failed,-1.466963e-09,   0.,6
190,   failed,   failed,-1.469747e-09,   0.,6
191, 6.187657e-12,-9.991011e-09, 2.761529e-05,   0.,6
192,   failed,   failed,-1.453777e-09,   0.,6
193,   failed,   failed,-1.483122e-09,   0.,6
194,   failed,   failed,-1.497512e-09,   0.,6
195,   failed,   failed,-1.489445e-09,   0.,6
196,   failed,   failed,-1.463097e-09,   0.,6
197, 6.357150e-12,-9.977576e-09, 5.902898e-05,   0.,6
198, 8.477775e-12,-9.971257e-09,-4.515496e-05,   0.,6
199,   failed,   failed,-1.455845e-09,   0.,6
200,   failed,   failed,-1.460879e-09,   0.,6
201, 6.129181e-12,-9.988536e-09, 1.945870e-05,   0.,6
202,   failed,   failed,-1.464608e-09,   0.,6
203,   failed,   failed,-1.440034e-09,   0.,6
204,   failed,   failed,-1.466943e-09,   0.,6
205,   failed,   failed,-1.474617e-09,   0.,6
206, 1.000307e-08, 7.455803e-12,-5.924086e-06,   0.,6
207,   failed,   failed,-1.478975e-09,   0.,6
208, 7.488034e-12,-9.988421e-09,-4.019685e-06,   0.,6
209, 7.203636e-12,-9.947436e-09, 3.562573e-05,   0.,6
210, 4.775822e-11,-9.801763e-09, 6.366681e-05,   0.,6
211, 1.000606e-08, 1.140244e-11,-1.628659e-09,   0.,6
212, 1.247479e-11,-9.931904e-09, 1.162939e-05,   0.,6
213,   failed,   failed,-1.480183e-09,   0.,6
214, 1.000606e-08, 1.142568e-11,-1.492186e-07,   0.,6
215,   failed,   failed,-1.499522e-09,   0.,6
216, 1.000606e-08, 1.160286e-11, 9.564175e-05,   0.,6
217, 2.335595e-11,-9.935830e-09, 8.020290e-05,   0.,6
218,   failed,   failed,-1.450402e-09,   0.,6
219,   failed,   failed,-1.487315e-09,   0.,6
220,   failed,   failed,-1.467454e-09,   0.,6
221,   failed,   failed,-1.449524e-09,   0.,6
222,   failed,   failed,-1.459542e-09,   0.,6
223,   failed,   failed,-1.480042e-09,   0.,6
224,   failed,   failed,-1.477640e-09,   0.,6
225,   failed,   failed,-1.477030e-09,   0.,6
226, 1.000532e-08, 1.247248e-11,-1.763237e-07,   0.,6
227,   failed,   failed,-1.498306e-09,   0.,6
228,   failed,   failed,-1.475191e-09,   0.,6
229, 6.352511e-12,-9.990350e-09, 2.661691e-05,   0.,6
230, 2.867363e-11,-9.918122e-09,-2.962880e-03,   0.,6
231,   failed,   failed,-1.475241e-09,   0.,6
232,   failed,   failed,-1.431219e-09,   0.,6
233,   failed,   failed,-1.475672e-09,   0.,6
234,   failed,   failed,-1.471263e-09,   0.,6
235, 8.410900e-12,-9.987531e-09, 7.507804e-05,   0.,6
236, 1.029683e-11,-9.982141e-09, 6.988615e-05,   0.,6
237,   failed,   failed,-1.479875e-09,   0.,6
238,   failed,   failed,-1.478260e-09,   0.,6
239, 6.183836e-12,-9.991016e-09, 8.379446e-03,   0.,6
240, 6.163323e-12,-9.988407e-09,-6.239874e-06,   0.,6
241,   failed,   failed,-1.469029e-09,   0.,6
242, 1.000528e-08, 1.128602e-11,-3.455945e-09,   0.,6
243,   failed,   failed,-1.456278e-09,   0.,6
244, 2.651872e-11,-9.892065e-09,-2.716307e-06,   0.,6
245,   failed,   failed,-1.467328e-09,   0.,6
246,   failed,   failed,-1.467914e-09,   0.,6
247,   failed,   failed,-1.468243e-09,   0.,6
248, 5.406963e-12,-9.988982e-09,-6.894979e-06,   0.,6
249,   failed,   failed,-1.495966e-09,   0.,6
250,   failed,   failed,-1.458725e-09,   0.,6
251,   failed,   failed,-1.468677e-09,   0.,6
252,   failed,   failed,-1.473925e-09,   0.,6
253,   failed,   failed,-1.451067e-09,   0.,6
254,   failed,   failed,-1.480478e-09,   0.,6
255,   failed,   failed,-1.489826e-09,   0.,6
