 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
3
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
iint,tphl,tplh,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
-1.375709e-15,7.992654e-12,1.530291e-11,-1.502376,-1.627146,-1.380228
-1.375668e-15,7.994718e-12,1.532044e-11,-1.494672,-1.618821,-1.373093
-1.375483e-15,7.99813e-12,1.53231e-11,-1.487056,-1.610599,-1.366034
-1.37503e-15,7.999966e-12,1.532354e-11,-1.479525,-1.602475,-1.359047
-1.370978e-15,8.001539e-12,1.533347e-11,-1.472077,-1.594447,-1.352133
-1.370314e-15,8.00331e-12,1.534587e-11,-1.46471,-1.586512,-1.345287
-1.368494e-15,8.008925e-12,1.534819e-11,-1.457422,-1.578669,-1.33851
-1.367255e-15,8.009111e-12,1.535045e-11,-1.45021,-1.570913,-1.331799
-1.36723e-15,8.012217e-12,1.53528e-11,-1.443073,-1.563243,-1.325153
-1.366477e-15,8.012825e-12,1.535559e-11,-1.436008,-1.555657,-1.31857
-1.362191e-15,8.015464e-12,1.53567e-11,-1.429015,-1.548153,-1.312048
-1.36214e-15,8.01564e-12,1.536506e-11,-1.42209,-1.540728,-1.305586
-1.358111e-15,8.017996e-12,1.53694e-11,-1.415234,-1.53338,-1.299184
-1.358075e-15,8.018753e-12,1.537052e-11,-1.408443,-1.526108,-1.292838
-1.358041e-15,8.019343e-12,1.53716e-11,-1.401716,-1.518909,-1.286549
-1.356894e-15,8.019463e-12,1.537387e-11,-1.395053,-1.511782,-1.280314
-1.355194e-15,8.021149e-12,1.538054e-11,-1.38845,-1.504726,-1.274133
-1.355142e-15,8.023673e-12,1.539535e-11,-1.381908,-1.497737,-1.268004
-1.353883e-15,8.025851e-12,1.539756e-11,-1.375424,-1.490816,-1.261927
-1.353593e-15,8.025963e-12,1.539865e-11,-1.368998,-1.48396,-1.255899
-1.353272e-15,8.028132e-12,1.539917e-11,-1.362627,-1.477167,-1.249921
-1.352932e-15,8.029478e-12,1.53994e-11,-1.356312,-1.470437,-1.243991
-1.35147e-15,8.030799e-12,1.54e-11,-1.35005,-1.463768,-1.238108
-1.350786e-15,8.031608e-12,1.540268e-11,-1.34384,-1.457158,-1.232271
-1.350722e-15,8.033175e-12,1.540729e-11,-1.337682,-1.450607,-1.22648
-1.34983e-15,8.039118e-12,1.540931e-11,-1.331575,-1.444112,-1.220732
-1.349189e-15,8.040009e-12,1.540939e-11,-1.325516,-1.437674,-1.215028
-1.348693e-15,8.042328e-12,1.541486e-11,-1.319506,-1.43129,-1.209367
-1.348222e-15,8.04488e-12,1.541528e-11,-1.313543,-1.424959,-1.203747
-1.347668e-15,8.046925e-12,1.541742e-11,-1.307627,-1.418681,-1.198168
-1.346661e-15,8.048295e-12,1.541751e-11,-1.301755,-1.412454,-1.192629
-1.345868e-15,8.054605e-12,1.541973e-11,-1.295929,-1.406277,-1.18713
-1.345472e-15,8.054997e-12,1.542195e-11,-1.290146,-1.40015,-1.181669
-1.344973e-15,8.056452e-12,1.542438e-11,-1.284406,-1.39407,-1.176246
-1.343533e-15,8.056962e-12,1.542488e-11,-1.278708,-1.388039,-1.17086
-1.343131e-15,8.058025e-12,1.54286e-11,-1.273051,-1.382053,-1.165511
-1.343026e-15,8.060405e-12,1.542895e-11,-1.267434,-1.376113,-1.160198
-1.342286e-15,8.065935e-12,1.543642e-11,-1.261858,-1.370217,-1.15492
-1.342047e-15,8.068506e-12,1.543952e-11,-1.25632,-1.364366,-1.149676
-1.340249e-15,8.068564e-12,1.544917e-11,-1.25082,-1.358557,-1.144467
-1.339784e-15,8.068958e-12,1.545365e-11,-1.245359,-1.35279,-1.139291
-1.339764e-15,8.070241e-12,1.545431e-11,-1.239933,-1.347065,-1.134148
-1.339589e-15,8.07251e-12,1.545482e-11,-1.234545,-1.34138,-1.129037
-1.337971e-15,8.075646e-12,1.545628e-11,-1.229192,-1.335735,-1.123958
-1.337968e-15,8.076653e-12,1.545935e-11,-1.223873,-1.33013,-1.11891
-1.337696e-15,8.07891e-12,1.546203e-11,-1.21859,-1.324562,-1.113892
-1.337436e-15,8.079016e-12,1.546366e-11,-1.21334,-1.319033,-1.108905
-1.337043e-15,8.079447e-12,1.546629e-11,-1.208123,-1.313541,-1.103948
-1.336933e-15,8.080058e-12,1.546737e-11,-1.202939,-1.308085,-1.099019
-1.336513e-15,8.081344e-12,1.547228e-11,-1.197787,-1.302665,-1.09412
-1.335723e-15,8.081372e-12,1.547347e-11,-1.192667,-1.29728,-1.089248
-1.335239e-15,8.081779e-12,1.547964e-11,-1.187577,-1.29193,-1.084405
-1.334983e-15,8.082057e-12,1.548399e-11,-1.182519,-1.286614,-1.079589
-1.333408e-15,8.087104e-12,1.548578e-11,-1.17749,-1.281331,-1.0748
-1.331873e-15,8.08871e-12,1.548969e-11,-1.172491,-1.276082,-1.070037
-1.331187e-15,8.090315e-12,1.549214e-11,-1.167521,-1.270865,-1.0653
-1.330961e-15,8.09301e-12,1.549479e-11,-1.16258,-1.265679,-1.060589
-1.33084e-15,8.095295e-12,1.549893e-11,-1.157667,-1.260525,-1.055904
-1.330813e-15,8.09557e-12,1.54991e-11,-1.152782,-1.255402,-1.051243
-1.330624e-15,8.095865e-12,1.550276e-11,-1.147924,-1.25031,-1.046607
-1.329251e-15,8.09673e-12,1.550887e-11,-1.143093,-1.245247,-1.041995
-1.32915e-15,8.100309e-12,1.550971e-11,-1.138289,-1.240213,-1.037407
-1.32913e-15,8.101292e-12,1.551084e-11,-1.13351,-1.235209,-1.032843
-1.328619e-15,8.101354e-12,1.551095e-11,-1.128758,-1.230233,-1.028302
-1.328467e-15,8.102295e-12,1.551139e-11,-1.124031,-1.225285,-1.023783
-1.327399e-15,8.102525e-12,1.551266e-11,-1.119329,-1.220365,-1.019287
-1.326805e-15,8.10346e-12,1.551854e-11,-1.114651,-1.215473,-1.014813
-1.326584e-15,8.103576e-12,1.551895e-11,-1.109998,-1.210607,-1.010361
-1.326279e-15,8.104029e-12,1.55191e-11,-1.105368,-1.205767,-1.005931
-1.326244e-15,8.10717e-12,1.551975e-11,-1.100763,-1.200954,-1.001522
-1.326053e-15,8.10824e-12,1.552774e-11,-1.09618,-1.196166,-0.9971336
-1.325031e-15,8.10914e-12,1.55299e-11,-1.09162,-1.191404,-0.9927661
-1.325015e-15,8.111954e-12,1.55365e-11,-1.087083,-1.186666,-0.9884189
-1.324714e-15,8.112305e-12,1.553851e-11,-1.082568,-1.181953,-0.9840919
-1.324656e-15,8.112417e-12,1.554047e-11,-1.078076,-1.177265,-0.9797848
-1.324387e-15,8.114346e-12,1.554661e-11,-1.073604,-1.1726,-0.9754972
-1.324344e-15,8.115983e-12,1.554686e-11,-1.069155,-1.167959,-0.971229
-1.324104e-15,8.117836e-12,1.554914e-11,-1.064726,-1.163341,-0.9669798
-1.323843e-15,8.119207e-12,1.555255e-11,-1.060318,-1.158746,-0.9627494
-1.323712e-15,8.119519e-12,1.555274e-11,-1.05593,-1.154173,-0.9585375
-1.3237e-15,8.120591e-12,1.555317e-11,-1.051563,-1.149623,-0.954344
-1.323273e-15,8.122028e-12,1.55536e-11,-1.047216,-1.145095,-0.9501686
-1.323264e-15,8.122311e-12,1.555449e-11,-1.042888,-1.140588,-0.946011
-1.322808e-15,8.122392e-12,1.555455e-11,-1.03858,-1.136103,-0.9418711
-1.322112e-15,8.123471e-12,1.555809e-11,-1.034291,-1.131639,-0.9377485
-1.321346e-15,8.124397e-12,1.556077e-11,-1.030021,-1.127196,-0.9336431
-1.321118e-15,8.125069e-12,1.556081e-11,-1.02577,-1.122774,-0.9295547
-1.320803e-15,8.125781e-12,1.556443e-11,-1.021537,-1.118371,-0.925483
-1.320797e-15,8.125887e-12,1.556615e-11,-1.017323,-1.113989,-0.9214279
-1.320103e-15,8.127487e-12,1.556882e-11,-1.013126,-1.109627,-0.9173891
-1.318656e-15,8.127518e-12,1.556953e-11,-1.008947,-1.105284,-0.9133665
-1.31796e-15,8.127947e-12,1.557318e-11,-1.004786,-1.10096,-0.9093598
-1.317678e-15,8.128244e-12,1.557796e-11,-1.000642,-1.096655,-0.9053689
-1.31751e-15,8.130654e-12,1.559264e-11,-0.996515,-1.092369,-0.9013935
-1.317137e-15,8.130722e-12,1.559443e-11,-0.992405,-1.088102,-0.8974334
-1.316248e-15,8.130787e-12,1.559719e-11,-0.9883117,-1.083853,-0.8934886
-1.31562e-15,8.133365e-12,1.560828e-11,-0.984235,-1.079622,-0.8895587
-1.315421e-15,8.13532e-12,1.560875e-11,-0.9801745,-1.075409,-0.8856437
-1.31529e-15,8.13574e-12,1.561036e-11,-0.9761301,-1.071213,-0.8817434
-1.315085e-15,8.135835e-12,1.561235e-11,-0.9721016,-1.067035,-0.8778575
-1.314847e-15,8.136251e-12,1.561567e-11,-0.9680888,-1.062874,-0.8739859
-1.314739e-15,8.139119e-12,1.561624e-11,-0.9640916,-1.058731,-0.8701285
-1.314718e-15,8.142307e-12,1.561756e-11,-0.9601097,-1.054604,-0.866285
-1.314235e-15,8.144011e-12,1.561815e-11,-0.956143,-1.050493,-0.8624554
-1.314158e-15,8.144423e-12,1.562706e-11,-0.9521912,-1.046399,-0.8586395
-1.313969e-15,8.144639e-12,1.562819e-11,-0.9482543,-1.042321,-0.854837
-1.313806e-15,8.145163e-12,1.563572e-11,-0.944332,-1.038259,-0.8510479
-1.313792e-15,8.145624e-12,1.563647e-11,-0.9404242,-1.034214,-0.847272
-1.31359e-15,8.14628e-12,1.563737e-11,-0.9365307,-1.030183,-0.8435091
-1.313588e-15,8.148034e-12,1.564395e-11,-0.9326514,-1.026168,-0.8397592
-1.313456e-15,8.148455e-12,1.564787e-11,-0.928786,-1.022169,-0.8360221
-1.313317e-15,8.148495e-12,1.565023e-11,-0.9249345,-1.018184,-0.8322975
-1.313047e-15,8.148554e-12,1.565089e-11,-0.9210966,-1.014215,-0.8285854
-1.312842e-15,8.149262e-12,1.565624e-11,-0.9172722,-1.01026,-0.8248857
-1.312829e-15,8.151643e-12,1.565636e-11,-0.9134613,-1.00632,-0.8211982
-1.31251e-15,8.151817e-12,1.565669e-11,-0.9096635,-1.002394,-0.8175228
