 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Tail samples and indices
#Number of Measures
3
#Number of samples in each tail
9
#Measure names
iint,tphl,tplh
#Measure values in left tail
-5.7496120e-15,1.2034160e-11,9.1773770e-12
-5.3888720e-15,1.2287840e-11,9.3275180e-12
-5.1491340e-15,1.2380400e-11,9.3332570e-12
-5.1011710e-15,1.2403920e-11,9.4127410e-12
-5.0664840e-15,1.2422830e-11,9.4313800e-12
-5.0643120e-15,1.2438490e-11,9.4709780e-12
-5.0214480e-15,1.2588790e-11,9.4735850e-12
-4.9948530e-15,1.2605130e-11,9.5168700e-12
-4.9930430e-15,1.2655680e-11,9.5562090e-12
#Measure values in right tail
-2.4764550e-15,1.5430730e-11,1.2409190e-11
-2.4758380e-15,1.5457390e-11,1.2417650e-11
-2.4629400e-15,1.5465120e-11,1.2417830e-11
-2.4349810e-15,1.5596160e-11,1.2653070e-11
-2.4154820e-15,1.5689280e-11,1.2699130e-11
-2.4003660e-15,1.5690230e-11,1.2709660e-11
-2.3953860e-15,1.5716080e-11,1.2711090e-11
-2.3067680e-15,1.5733320e-11,1.2755000e-11
-2.2774110e-15,1.5740260e-11,1.3202880e-11
#Index values in left tail
806,806,543
782,837,526
20,782,440
314,118,127
837,314,777
226,232,450
440,20,788
127,136,129
543,485,411
#Index values in right tail
932,977,832
959,630,928
839,810,733
892,887,446
187,703,937
524,439,747
484,800,57
630,715,706
439,128,675
