 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Histogram plots from data
#Number of histogram bins
16
#Number of Measures
3
#Column names, bin centers and bin counts
iint,iint_count,tphl,tphl_count,tplh,tplh_count
-8.329326e-15,1,6.848361e-12,1,6.564904e-12,1
-7.978795e-15,0,6.975603e-12,5,6.730979e-12,4
-7.628263e-15,1,7.102845e-12,10,6.897054e-12,13
-7.277732e-15,5,7.230088e-12,18,7.063128e-12,50
-6.927201e-15,4,7.35733e-12,54,7.229203e-12,88
-6.576669e-15,13,7.484572e-12,80,7.395278e-12,95
-6.226138e-15,18,7.611814e-12,152,7.561352e-12,135
-5.875606e-15,40,7.739056e-12,165,7.727427e-12,150
-5.525075e-15,65,7.866299e-12,134,7.893502e-12,170
-5.174543e-15,118,7.993541e-12,151,8.059577e-12,106
-4.824012e-15,161,8.120783e-12,98,8.225651e-12,97
-4.47348e-15,201,8.248025e-12,57,8.391726e-12,46
-4.122949e-15,195,8.375267e-12,36,8.557801e-12,24
-3.772418e-15,131,8.50251e-12,19,8.723875e-12,13
-3.421886e-15,32,8.629752e-12,14,8.88995e-12,6
-3.071355e-15,15,8.756994e-12,6,9.056025e-12,2

