 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#Histogram plots from data
#Number of histogram bins
16
#Number of Measures
3
#Column names, bin centers and bin counts
iint,iint_count,tphl,tphl_count,tplh,tplh_count
-5.020172e-15,2,1.24912e-11,1,7.32417e-12,9
-4.836949e-15,3,1.270604e-11,5,7.486947e-12,11
-4.653726e-15,5,1.292089e-11,9,7.649723e-12,14
-4.470502e-15,11,1.313573e-11,18,7.8125e-12,30
-4.287279e-15,10,1.335057e-11,49,7.975277e-12,66
-4.104056e-15,35,1.356541e-11,80,8.138053e-12,93
-3.920832e-15,51,1.378026e-11,138,8.30083e-12,127
-3.737609e-15,93,1.39951e-11,165,8.463606e-12,143
-3.554386e-15,110,1.420994e-11,137,8.626383e-12,152
-3.371163e-15,138,1.442478e-11,147,8.789159e-12,149
-3.187939e-15,180,1.463963e-11,110,8.951936e-12,99
-3.004716e-15,167,1.485447e-11,60,9.114712e-12,66
-2.821493e-15,112,1.506931e-11,41,9.277489e-12,29
-2.638269e-15,59,1.528415e-11,20,9.440266e-12,8
-2.455046e-15,13,1.5499e-11,14,9.603042e-12,2
-2.271823e-15,11,1.571384e-11,6,9.765819e-12,2

