 ****** PrimeSim HSPICE -- S-2021.09-2 linux64 (Oct 28 2021 7326465) ******
  Copyright (c) 1986 - 2022 by Synopsys, Inc. All Rights Reserved.
  This software and the associated documentation are proprietary
  to Synopsys, Inc. This software may only be used in accordance
  with the terms and conditions of a written license agreement with
  Synopsys, Inc. All other use, reproduction, or distribution of
  this software is strictly prohibited.

================================================================
*** This file format is subject to change **
#QQnorm plots from data
#
#Number of tail samples
9
#Number of plot points
1000
#Number of Measures
3
#Measure names (Last three columns give the Standard Normal Quantiles and Lower/Upper Confidence Interval Limits)
iint,tphl,tplh,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
-0.3016034,3.597641e-12,-9.992592e-09,-3.290527,-4.895247,-2.599759
-0.008041891,3.597641e-12,-9.992592e-09,-2.967738,-3.69972,-2.489258
-0.005941187,3.597641e-12,-9.992592e-09,-2.807034,-3.342036,-2.409629
-0.00296288,3.597641e-12,-9.992592e-09,-2.696844,-3.13969,-2.346205
-0.002883676,4.76135e-12,-9.99216e-09,-2.612054,-2.999605,-2.292977
-0.002493345,4.76135e-12,-9.99216e-09,-2.542699,-2.892598,-2.246832
-0.0007893856,4.76135e-12,-9.99216e-09,-2.483769,-2.805987,-2.20593
-0.0005287675,4.76135e-12,-9.99216e-09,-2.432379,-2.733174,-2.169082
-0.0004253243,4.846334e-12,-9.991496e-09,-2.386708,-2.670302,-2.135475
-0.0003882017,4.846334e-12,-9.991496e-09,-2.345531,-2.614929,-2.104524
-0.000296192,4.846334e-12,-9.991496e-09,-2.307984,-2.56541,-2.075792
-0.0002716267,4.846334e-12,-9.991496e-09,-2.273435,-2.520588,-2.048948
-0.0001879991,5.390876e-12,-9.991437e-09,-2.241403,-2.479619,-2.023729
-0.0001677423,5.390876e-12,-9.991437e-09,-2.211518,-2.441866,-1.999926
-0.0001582289,5.390876e-12,-9.991437e-09,-2.183487,-2.406839,-1.977369
-0.0001483945,5.390876e-12,-9.991437e-09,-2.157073,-2.374152,-1.955918
-0.0001414999,5.406963e-12,-9.991422e-09,-2.132083,-2.343497,-1.935455
-9.910598e-05,5.406963e-12,-9.991422e-09,-2.108358,-2.31462,-1.915882
-9.704077e-05,5.406963e-12,-9.991422e-09,-2.085764,-2.287316,-1.897114
-7.378991e-05,5.406963e-12,-9.991422e-09,-2.064187,-2.261411,-1.879078
-5.166069e-05,5.407276e-12,-9.991341e-09,-2.04353,-2.236759,-1.861712
-4.971906e-05,5.407276e-12,-9.991341e-09,-2.02371,-2.213237,-1.844961
-4.515496e-05,5.407276e-12,-9.991341e-09,-2.004654,-2.190737,-1.828776
-4.290482e-05,5.407276e-12,-9.991341e-09,-1.9863,-2.169169,-1.813115
-3.805936e-05,5.40773e-12,-9.991017e-09,-1.968592,-2.148452,-1.79794
-3.79811e-05,5.40773e-12,-9.991017e-09,-1.95148,-2.128516,-1.783218
-3.390357e-05,5.40773e-12,-9.991017e-09,-1.934921,-2.109299,-1.768917
-3.206084e-05,5.40773e-12,-9.991017e-09,-1.918876,-2.090748,-1.755011
-2.808826e-05,5.40773e-12,-9.991017e-09,-1.903311,-2.072812,-1.741475
-2.795218e-05,5.40807e-12,-9.991016e-09,-1.888193,-2.055449,-1.728286
-2.697135e-05,5.40807e-12,-9.991016e-09,-1.873495,-2.038621,-1.715426
-2.543803e-05,5.40807e-12,-9.991016e-09,-1.859191,-2.022291,-1.702874
-2.530653e-05,5.40807e-12,-9.991016e-09,-1.845258,-2.006429,-1.690614
-2.291169e-05,5.408133e-12,-9.991016e-09,-1.831674,-1.991005,-1.678631
-1.8977e-05,5.408133e-12,-9.991016e-09,-1.81842,-1.975993,-1.666909
-1.817946e-05,5.408133e-12,-9.991016e-09,-1.805477,-1.96137,-1.655437
-1.754345e-05,5.408133e-12,-9.991016e-09,-1.792831,-1.947114,-1.644201
-1.70293e-05,5.408762e-12,-9.991014e-09,-1.780464,-1.933205,-1.633191
-1.678954e-05,5.408762e-12,-9.991014e-09,-1.768364,-1.919624,-1.622396
-1.584652e-05,5.408762e-12,-9.991014e-09,-1.756518,-1.906354,-1.611806
-1.35414e-05,5.408762e-12,-9.991014e-09,-1.744913,-1.893381,-1.601412
-1.352807e-05,5.408813e-12,-9.991011e-09,-1.733539,-1.880688,-1.591206
-1.231247e-05,5.408813e-12,-9.991011e-09,-1.722384,-1.868263,-1.58118
-1.203799e-05,5.408813e-12,-9.991011e-09,-1.71144,-1.856094,-1.571325
-1.119873e-05,5.408813e-12,-9.991011e-09,-1.700696,-1.844168,-1.561636
-1.048402e-05,5.408841e-12,-9.990662e-09,-1.690146,-1.832475,-1.552106
-9.458011e-06,5.408841e-12,-9.990662e-09,-1.679781,-1.821005,-1.542729
-9.380559e-06,5.408841e-12,-9.990662e-09,-1.669593,-1.809748,-1.533498
-9.350254e-06,5.408841e-12,-9.990662e-09,-1.659575,-1.798695,-1.524409
-8.847368e-06,5.409664e-12,-9.990463e-09,-1.649721,-1.787838,-1.515456
-8.251329e-06,5.409664e-12,-9.990463e-09,-1.640025,-1.77717,-1.506635
-8.05813e-06,5.409664e-12,-9.990463e-09,-1.63048,-1.766683,-1.49794
-7.225219e-06,5.409664e-12,-9.990463e-09,-1.621082,-1.756369,-1.489368
-6.894979e-06,5.45381e-12,-9.990458e-09,-1.611825,-1.746223,-1.480914
-6.669365e-06,5.45381e-12,-9.990458e-09,-1.602704,-1.736238,-1.472574
-6.486293e-06,5.45381e-12,-9.990458e-09,-1.593714,-1.726408,-1.464346
-6.29741e-06,5.45381e-12,-9.990458e-09,-1.584852,-1.716728,-1.456224
-6.239874e-06,5.458337e-12,-9.990451e-09,-1.576112,-1.707193,-1.448206
-5.924086e-06,5.458337e-12,-9.990451e-09,-1.567491,-1.697798,-1.440288
-5.751e-06,5.458337e-12,-9.990451e-09,-1.558985,-1.688537,-1.432468
-5.734152e-06,5.458337e-12,-9.990451e-09,-1.55059,-1.679408,-1.424743
-5.706745e-06,5.459384e-12,-9.99035e-09,-1.542303,-1.670404,-1.417109
-5.640044e-06,5.459384e-12,-9.99035e-09,-1.534121,-1.661523,-1.409565
-5.025444e-06,5.459384e-12,-9.99035e-09,-1.52604,-1.65276,-1.402107
-4.946375e-06,5.459384e-12,-9.99035e-09,-1.518057,-1.644112,-1.394733
-4.333426e-06,5.460875e-12,-9.99035e-09,-1.51017,-1.635575,-1.387441
-4.299631e-06,5.460875e-12,-9.99035e-09,-1.502376,-1.627146,-1.380228
-4.235957e-06,5.460875e-12,-9.99035e-09,-1.494672,-1.618821,-1.373093
-4.169103e-06,5.460875e-12,-9.99035e-09,-1.487056,-1.610599,-1.366034
-4.03345e-06,5.463556e-12,-9.99013e-09,-1.479525,-1.602475,-1.359047
-4.019685e-06,5.463556e-12,-9.99013e-09,-1.472077,-1.594447,-1.352133
-3.155567e-06,5.463556e-12,-9.99013e-09,-1.46471,-1.586512,-1.345287
-2.716307e-06,5.463556e-12,-9.99013e-09,-1.457422,-1.578669,-1.33851
-2.593641e-06,5.46362e-12,-9.989564e-09,-1.45021,-1.570913,-1.331799
-2.256328e-06,5.46362e-12,-9.989564e-09,-1.443073,-1.563243,-1.325153
-2.069602e-06,5.46362e-12,-9.989564e-09,-1.436008,-1.555657,-1.31857
-2.061009e-06,5.46362e-12,-9.989564e-09,-1.429015,-1.548153,-1.312048
-1.773171e-06,5.46362e-12,-9.989564e-09,-1.42209,-1.540728,-1.305586
-1.658698e-06,5.466073e-12,-9.989562e-09,-1.415234,-1.53338,-1.299184
-1.641125e-06,5.466073e-12,-9.989562e-09,-1.408443,-1.526108,-1.292838
-1.532218e-06,5.466073e-12,-9.989562e-09,-1.401716,-1.518909,-1.286549
-1.512537e-06,5.466073e-12,-9.989562e-09,-1.395053,-1.511782,-1.280314
-1.491639e-06,5.471105e-12,-9.989559e-09,-1.38845,-1.504726,-1.274133
-1.463816e-06,5.471105e-12,-9.989559e-09,-1.381908,-1.497737,-1.268004
-1.461291e-06,5.471105e-12,-9.989559e-09,-1.375424,-1.490816,-1.261927
-1.217308e-06,5.471105e-12,-9.989559e-09,-1.368998,-1.48396,-1.255899
-1.189928e-06,5.484233e-12,-9.989537e-09,-1.362627,-1.477167,-1.249921
-1.094587e-06,5.484233e-12,-9.989537e-09,-1.356312,-1.470437,-1.243991
-1.093668e-06,5.484233e-12,-9.989537e-09,-1.35005,-1.463768,-1.238108
-1.068409e-06,5.484233e-12,-9.989537e-09,-1.34384,-1.457158,-1.232271
-9.615686e-07,5.995001e-12,-9.989443e-09,-1.337682,-1.450607,-1.22648
