,nmos_rvt:@:nfet_phig:@:IGNC,pmos_rvt:@:pfet_phig:@:IGNC,LoadCap,vdd,number_fin,t_fall_delay,t_rise_delay,t_fall_time,t_rise_time,temper
46,-0.6454,1.4374,1f,0.6,1,1.233674e-11,2.458142e-11,2.287697e-11,3.831657e-11,50.0
47,0.196,-0.4051,1f,0.6,1,1.413811e-11,3.355557e-11,2.518318e-11,4.705019e-11,50.0
48,0.9222,-0.2628,1f,0.6,1,1.599939e-11,3.263321e-11,2.696954e-11,4.559648e-11,50.0
49,1.0165,-0.6328,1f,0.6,1,1.667176e-11,3.525621e-11,2.857271e-11,4.906921e-11,50.0
50,0.0,0.0,1f,0.6,1,1.498658e-11,3.269244e-11,2.539803e-11,4.620953e-11,100.0
51,-0.8014,-0.8294,1f,0.6,1,1.333285e-11,3.820775e-11,2.382508e-11,5.710807e-11,100.0
52,-0.2677,0.215,1f,0.6,1,1.443642e-11,3.155106e-11,2.482097e-11,4.910048e-11,100.0
53,1.6757,0.8946,1f,0.6,1,1.961991e-11,2.774126e-11,3.261207e-11,4.125556e-11,100.0
54,0.2014,1.0447,1f,0.6,1,1.532886e-11,2.723532e-11,2.60498e-11,4.047232e-11,100.0
55,-1.7987,2.7742,1f,0.6,1,1.155592e-11,2.199386e-11,2.1326e-11,3.435918e-11,100.0
56,0.656,-1.2719,1f,0.6,1,1.641698e-11,4.678646e-11,2.79498e-11,6.710926e-11,100.0
57,-0.4937,0.4482,1f,0.6,1,1.431017e-11,2.980707e-11,2.196551e-11,4.388852e-11,100.0
58,0.3209,1.4379,1f,0.6,1,1.594186e-11,2.571711e-11,2.61632e-11,4.009363e-11,100.0
59,-0.5189,-0.378,1f,0.6,1,1.359677e-11,3.494539e-11,2.485011e-11,4.984669e-11,100.0
60,0.5518,0.3415,1f,0.6,1,1.634805e-11,3.076341e-11,2.659375e-11,4.798982e-11,100.0
61,0.29,-0.1841,1f,0.6,1,1.556602e-11,3.373235e-11,2.636637e-11,4.792013e-11,100.0
62,0.8485,-0.7446,1f,0.6,1,1.767897e-11,3.745421e-11,2.78058e-11,5.37474e-11,100.0
63,-1.2438,0.6697,1f,0.6,1,1.250394e-11,2.892684e-11,2.103065e-11,4.228543e-11,100.0
64,0.6131,-1.1911,1f,0.6,1,1.64094e-11,4.108717e-11,2.693662e-11,6.054599e-11,100.0
65,0.3824,0.9694,1f,0.6,1,1.5716e-11,2.752825e-11,2.677041e-11,4.084444e-11,100.0
66,-1.8849,0.6073,1f,0.6,1,1.144423e-11,3.108953e-11,2.111022e-11,4.821123e-11,100.0
67,0.8013,0.2451,1f,0.6,1,1.781572e-11,3.062804e-11,2.661523e-11,4.545796e-11,100.0
68,-1.3209,0.8362,1f,0.6,1,1.233768e-11,2.797451e-11,2.281381e-11,4.155464e-11,100.0
