,nfetPhig,pfetPhig,capacitance,voltage,finsNumber,tplHa,tphLa,tplHb,tphLb,energy,temperature,finLength,finHeight
38,-1.3209,0.8362,1e-15,0.6,1,2.3071e-11,3.064988e-11,2.32615e-11,2.955094e-11,-1.24334e-15,100.0,2.1e-08,3.2e-08
39,-2.4502,-1.2897,1e-15,0.6,1,3.540239e-11,2.428562e-11,3.540011e-11,2.539418e-11,-1.288724e-15,100.0,2.1e-08,3.2e-08
40,0.0,0.0,1e-15,0.6,1,2.57872e-11,3.588561e-11,2.54253e-11,3.606061e-11,-1.220053e-15,50.0,2.1e-08,3.2e-08
41,-0.8014,-0.8294,1e-15,0.6,1,3.024727e-11,2.973132e-11,3.055134e-11,2.983747e-11,-1.22506e-15,50.0,2.1e-08,3.2e-08
42,-0.2677,0.215,1e-15,0.6,1,2.43835e-11,3.369524e-11,2.442152e-11,3.380527e-11,-1.23186e-15,50.0,2.1e-08,3.2e-08
43,1.6757,0.8946,1e-15,0.6,1,2.222229e-11,6.0635e-11,2.24953e-11,6.032556e-11,-1.225249e-15,50.0,2.1e-08,3.2e-08
44,0.2014,1.0447,1e-15,0.6,1,2.103655e-11,3.781442e-11,2.115362e-11,3.798259e-11,-1.22787e-15,50.0,2.1e-08,3.2e-08
45,-1.7987,2.7742,1e-15,0.6,1,1.643859e-11,2.511293e-11,1.732397e-11,2.451428e-11,-1.315601e-15,50.0,2.1e-08,3.2e-08
46,0.656,-1.2719,1e-15,0.6,1,3.354513e-11,4.287473e-11,3.355375e-11,4.30698e-11,-1.221658e-15,50.0,2.1e-08,3.2e-08
47,-0.4937,0.4482,1e-15,0.6,1,2.331124e-11,3.235936e-11,2.341802e-11,3.204369e-11,-1.224716e-15,50.0,2.1e-08,3.2e-08
48,0.3209,1.4379,1e-15,0.6,1,2.018447e-11,3.913419e-11,1.98569e-11,3.921688e-11,-1.247741e-15,50.0,2.1e-08,3.2e-08
49,-0.5189,-0.378,1e-15,0.6,1,2.718964e-11,3.22182e-11,2.74571e-11,3.184831e-11,-1.226522e-15,50.0,2.1e-08,3.2e-08
50,0.5518,0.3415,1e-15,0.6,1,2.360256e-11,4.166526e-11,2.38181e-11,4.183642e-11,-1.208674e-15,50.0,2.1e-08,3.2e-08
51,0.29,-0.1841,1e-15,0.6,1,2.609423e-11,3.874492e-11,2.635881e-11,3.8853e-11,-1.21324e-15,50.0,2.1e-08,3.2e-08
52,0.8485,-0.7446,1e-15,0.6,1,2.935229e-11,4.541682e-11,2.964578e-11,4.555599e-11,-1.214207e-15,50.0,2.1e-08,3.2e-08
53,-1.2438,0.6697,1e-15,0.6,1,2.242671e-11,2.711972e-11,2.253567e-11,2.723413e-11,-1.227322e-15,50.0,2.1e-08,3.2e-08
54,0.6131,-1.1911,1e-15,0.6,1,3.291809e-11,4.235071e-11,3.314886e-11,4.253621e-11,-1.230835e-15,50.0,2.1e-08,3.2e-08
55,0.3824,0.9694,1e-15,0.6,1,2.12706e-11,3.979364e-11,2.139848e-11,4.174438e-11,-1.228313e-15,50.0,2.1e-08,3.2e-08
56,-1.8849,0.6073,1e-15,0.6,1,2.323112e-11,2.483593e-11,2.280032e-11,2.410501e-11,-1.231654e-15,50.0,2.1e-08,3.2e-08
57,0.8013,0.2451,1e-15,0.6,1,2.428303e-11,4.480206e-11,2.460608e-11,4.494992e-11,-1.220642e-15,50.0,2.1e-08,3.2e-08
58,-1.3209,0.8362,1e-15,0.6,1,2.190872e-11,2.674311e-11,2.189552e-11,2.681007e-11,-1.230282e-15,50.0,2.1e-08,3.2e-08
59,-2.4502,-1.2897,1e-15,0.6,1,3.395462e-11,2.360209e-11,3.385063e-11,2.377534e-11,-1.243988e-15,50.0,2.1e-08,3.2e-08
60,0.0,0.0,1e-15,0.6,1,2.721317e-11,4.137932e-11,2.745431e-11,4.150896e-11,-1.235738e-15,125.0,2.1e-08,3.2e-08
61,-0.8014,-0.8294,1e-15,0.6,1,3.237415e-11,3.40908e-11,3.260673e-11,3.411995e-11,-1.238893e-15,125.0,2.1e-08,3.2e-08
62,-0.2677,0.215,1e-15,0.6,1,2.617583e-11,3.867234e-11,2.641684e-11,4.188776e-11,-1.230333e-15,125.0,2.1e-08,3.2e-08
63,1.6757,0.8946,1e-15,0.6,1,2.337432e-11,7.069188e-11,2.385079e-11,6.999217e-11,-1.253907e-15,125.0,2.1e-08,3.2e-08
64,0.2014,1.0447,1e-15,0.6,1,2.28398e-11,4.363677e-11,2.329354e-11,4.381471e-11,-1.265514e-15,125.0,2.1e-08,3.2e-08
65,-1.7987,2.7742,1e-15,0.6,1,1.763926e-11,2.983163e-11,1.901671e-11,2.888167e-11,-1.615845e-15,125.0,2.1e-08,3.2e-08
66,0.656,-1.2719,1e-15,0.6,1,3.621582e-11,5.041493e-11,3.605569e-11,4.974944e-11,-1.218803e-15,125.0,2.1e-08,3.2e-08
67,-0.4937,0.4482,1e-15,0.6,1,2.577806e-11,3.652335e-11,2.579638e-11,3.673499e-11,-1.253735e-15,125.0,2.1e-08,3.2e-08
68,0.3209,1.4379,1e-15,0.6,1,2.130615e-11,4.510168e-11,2.142278e-11,4.536122e-11,-1.299692e-15,125.0,2.1e-08,3.2e-08
69,-0.5189,-0.378,1e-15,0.6,1,2.986206e-11,3.628887e-11,2.966371e-11,3.652246e-11,-1.237955e-15,125.0,2.1e-08,3.2e-08
70,0.5518,0.3415,1e-15,0.6,1,2.620863e-11,4.811101e-11,2.574551e-11,4.831541e-11,-1.239089e-15,125.0,2.1e-08,3.2e-08
71,0.29,-0.1841,1e-15,0.6,1,2.817593e-11,4.469193e-11,2.848869e-11,4.490688e-11,-1.231296e-15,125.0,2.1e-08,3.2e-08
72,0.8485,-0.7446,1e-15,0.6,1,3.175103e-11,5.551484e-11,3.215389e-11,5.27826e-11,-1.228611e-15,125.0,2.1e-08,3.2e-08
73,-1.2438,0.6697,1e-15,0.6,1,2.460304e-11,3.179463e-11,2.545946e-11,3.278085e-11,-1.276344e-15,125.0,2.1e-08,3.2e-08
74,0.6131,-1.1911,1e-15,0.6,1,3.576364e-11,4.941516e-11,3.537995e-11,4.912658e-11,-1.226917e-15,125.0,2.1e-08,3.2e-08
75,0.3824,0.9694,1e-15,0.6,1,2.361173e-11,4.586369e-11,2.362211e-11,4.609714e-11,-1.255835e-15,125.0,2.1e-08,3.2e-08
76,-1.8849,0.6073,1e-15,0.6,1,2.509242e-11,2.725947e-11,2.495882e-11,2.82555e-11,-1.298968e-15,125.0,2.1e-08,3.2e-08
77,0.8013,0.2451,1e-15,0.6,1,2.752957e-11,5.514705e-11,2.68703e-11,5.204973e-11,-1.23287e-15,125.0,2.1e-08,3.2e-08
78,-1.3209,0.8362,1e-15,0.6,1,2.430736e-11,3.147528e-11,2.526112e-11,3.096143e-11,-1.280306e-15,125.0,2.1e-08,3.2e-08
79,-2.4502,-1.2897,1e-15,0.6,1,3.617283e-11,2.489031e-11,3.786398e-11,2.661315e-11,-1.305362e-15,125.0,2.1e-08,3.2e-08
80,0.0,0.0,1e-15,0.6,1,2.446662e-11,3.337886e-11,2.455631e-11,3.555959e-11,-1.218832e-15,0.0,2.1e-08,3.2e-08
81,-0.8014,-0.8294,1e-15,0.6,1,2.954457e-11,2.761849e-11,2.937131e-11,2.774195e-11,-1.218903e-15,0.0,2.1e-08,3.2e-08
82,-0.2677,0.215,1e-15,0.6,1,2.376828e-11,3.119102e-11,2.355963e-11,3.360954e-11,-1.218683e-15,0.0,2.1e-08,3.2e-08
83,1.6757,0.8946,1e-15,0.6,1,2.110833e-11,5.860496e-11,2.084589e-11,5.591453e-11,-1.228962e-15,0.0,2.1e-08,3.2e-08
84,0.2014,1.0447,1e-15,0.6,1,2.026253e-11,3.51195e-11,2.031674e-11,3.539459e-11,-1.215127e-15,0.0,2.1e-08,3.2e-08
85,-1.7987,2.7742,1e-15,0.6,1,1.657959e-11,2.392246e-11,1.592458e-11,2.290031e-11,-1.241267e-15,0.0,2.1e-08,3.2e-08
86,0.656,-1.2719,1e-15,0.6,1,3.295714e-11,3.979401e-11,3.263104e-11,4.092563e-11,-1.21464e-15,0.0,2.1e-08,3.2e-08
87,-0.4937,0.4482,1e-15,0.6,1,2.328355e-11,2.961548e-11,2.298306e-11,2.971889e-11,-1.217268e-15,0.0,2.1e-08,3.2e-08
88,0.3209,1.4379,1e-15,0.6,1,1.917308e-11,3.62539e-11,1.906774e-11,3.88366e-11,-1.231266e-15,0.0,2.1e-08,3.2e-08
89,-0.5189,-0.378,1e-15,0.6,1,2.632394e-11,2.943437e-11,2.655087e-11,2.953286e-11,-1.219496e-15,0.0,2.1e-08,3.2e-08
90,0.5518,0.3415,1e-15,0.6,1,2.297147e-11,3.865842e-11,2.297419e-11,3.883049e-11,-1.226956e-15,0.0,2.1e-08,3.2e-08
91,0.29,-0.1841,1e-15,0.6,1,2.52057e-11,3.591586e-11,2.546531e-11,3.8336e-11,-1.216973e-15,0.0,2.1e-08,3.2e-08
92,0.8485,-0.7446,1e-15,0.6,1,2.84323e-11,4.212195e-11,2.888766e-11,4.223226e-11,-1.223016e-15,0.0,2.1e-08,3.2e-08
93,-1.2438,0.6697,1e-15,0.6,1,2.183233e-11,2.547541e-11,2.220147e-11,2.537926e-11,-1.220648e-15,0.0,2.1e-08,3.2e-08
94,0.6131,-1.1911,1e-15,0.6,1,3.176549e-11,3.93103e-11,3.198716e-11,3.938835e-11,-1.218694e-15,0.0,2.1e-08,3.2e-08
95,0.3824,0.9694,1e-15,0.6,1,2.087205e-11,3.684733e-11,2.05748e-11,3.715495e-11,-1.222733e-15,0.0,2.1e-08,3.2e-08
96,-1.8849,0.6073,1e-15,0.6,1,2.175153e-11,2.366208e-11,2.246754e-11,2.261671e-11,-1.224695e-15,0.0,2.1e-08,3.2e-08
97,0.8013,0.2451,1e-15,0.6,1,2.314626e-11,4.155565e-11,2.337549e-11,4.167078e-11,-1.233334e-15,0.0,2.1e-08,3.2e-08
98,-1.3209,0.8362,1e-15,0.6,1,2.103471e-11,2.521405e-11,2.155333e-11,2.501884e-11,-1.215461e-15,0.0,2.1e-08,3.2e-08
99,-2.4502,-1.2897,1e-15,0.6,1,3.256431e-11,2.219903e-11,3.300858e-11,2.05729e-11,-1.224205e-15,0.0,2.1e-08,3.2e-08
100,0.0,0.0,1e-15,0.6,1,2.487535e-11,3.443359e-11,2.489291e-11,3.577184e-11,-1.217915e-15,25.0,2.1e-08,3.2e-08
101,-0.8014,-0.8294,1e-15,0.6,1,2.938454e-11,2.853508e-11,3.072357e-11,2.869255e-11,-1.224059e-15,25.0,2.1e-08,3.2e-08
102,-0.2677,0.215,1e-15,0.6,1,2.366814e-11,3.249994e-11,2.390533e-11,3.384136e-11,-1.20399e-15,25.0,2.1e-08,3.2e-08
