,nmos_rvt:@:nfet_phig:@:IGNC,pmos_rvt:@:pfet_phig:@:IGNC,LoadCap,vdd,number_fin,t_fall_delay,t_rise_delay,temper
65,-1.7987,2.7742,1f,0.6,1,2.707919e-11,1.300619e-11,75.0
66,0.656,-1.2719,1f,0.6,1,3.443122e-11,1.486566e-11,75.0
67,-0.4937,0.4482,1f,0.6,1,3.112828e-11,1.399095e-11,75.0
68,0.3209,1.4379,1f,0.6,1,2.91069e-11,1.461192e-11,75.0
69,-0.5189,-0.378,1f,0.6,1,3.261433e-11,1.397068e-11,75.0
70,0.5518,0.3415,1f,0.6,1,3.131562e-11,1.478755e-11,75.0
71,0.29,-0.1841,1f,0.6,1,3.225257e-11,1.458602e-11,75.0
72,0.8485,-0.7446,1f,0.6,1,3.333055e-11,1.501535e-11,75.0
73,-1.2438,0.6697,1f,0.6,1,3.075826e-11,1.342369e-11,75.0
74,0.6131,-1.1911,1f,0.6,1,3.425686e-11,1.483268e-11,75.0
75,0.3824,0.9694,1f,0.6,1,2.992886e-11,1.465835e-11,75.0
76,-1.8849,0.6073,1f,0.6,1,3.08633e-11,1.293714e-11,75.0
77,0.8013,0.2451,1f,0.6,1,3.148283e-11,1.498007e-11,75.0
78,-1.3209,0.8362,1f,0.6,1,3.048104e-11,1.33656e-11,75.0
79,-2.4502,-1.2897,1f,0.6,1,3.43324e-11,1.250485e-11,75.0
80,0.0,0.0,1f,0.6,1,3.060745e-11,1.333745e-11,25.0
81,-0.8014,-0.8294,1f,0.6,1,3.216155e-11,1.271152e-11,25.0
82,-0.2677,0.215,1f,0.6,1,3.023336e-11,1.312936e-11,25.0
83,1.6757,0.8946,1f,0.6,1,2.866629e-11,1.464936e-11,25.0
84,0.2014,1.0447,1f,0.6,1,2.844969e-11,1.349527e-11,25.0
85,-1.7987,2.7742,1f,0.6,1,2.583852e-11,1.209491e-11,25.0
86,0.656,-1.2719,1f,0.6,1,3.303398e-11,1.38466e-11,25.0
87,-0.4937,0.4482,1f,0.6,1,2.983417e-11,1.295347e-11,25.0
88,0.3209,1.4379,1f,0.6,1,2.782935e-11,1.358875e-11,25.0
89,-0.5189,-0.378,1f,0.6,1,3.128733e-11,1.293281e-11,25.0
90,0.5518,0.3415,1f,0.6,1,3.001086e-11,1.376724e-11,25.0
91,0.29,-0.1841,1f,0.6,1,3.09332e-11,1.356285e-11,25.0
92,0.8485,-0.7446,1f,0.6,1,3.19699e-11,1.399746e-11,25.0
93,-1.2438,0.6697,1f,0.6,1,2.887972e-11,1.240351e-11,25.0
94,0.6131,-1.1911,1f,0.6,1,3.286614e-11,1.381326e-11,25.0
95,0.3824,0.9694,1f,0.6,1,2.857254e-11,1.363606e-11,25.0
96,-1.8849,0.6073,1f,0.6,1,2.910017e-11,1.20461e-11,25.0
97,0.8013,0.2451,1f,0.6,1,3.017277e-11,1.39617e-11,25.0
98,-1.3209,0.8362,1f,0.6,1,2.862899e-11,1.235957e-11,25.0
99,-2.4502,-1.2897,1f,0.6,1,3.711797e-11,1.266091e-11,25.0
100,0.0,0.0,1f,0.6,1,3.020392e-11,1.290254e-11,0.0
101,-0.8014,-0.8294,1f,0.6,1,3.158854e-11,1.232842e-11,0.0
102,-0.2677,0.215,1f,0.6,1,2.985037e-11,1.269034e-11,0.0
103,1.6757,0.8946,1f,0.6,1,2.828456e-11,1.423217e-11,0.0
104,0.2014,1.0447,1f,0.6,1,2.805952e-11,1.30631e-11,0.0
105,-1.7987,2.7742,1f,0.6,1,2.609636e-11,1.276473e-11,0.0
106,0.656,-1.2719,1f,0.6,1,3.264159e-11,1.34205e-11,0.0
107,-0.4937,0.4482,1f,0.6,1,2.884048e-11,1.250972e-11,0.0
108,0.3209,1.4379,1f,0.6,1,2.744212e-11,1.315815e-11,0.0
109,-0.5189,-0.378,1f,0.6,1,3.069664e-11,1.249411e-11,0.0
110,0.5518,0.3415,1f,0.6,1,2.929929e-11,1.333974e-11,0.0
111,0.29,-0.1841,1f,0.6,1,3.053314e-11,1.313205e-11,0.0
112,0.8485,-0.7446,1f,0.6,1,3.15763e-11,1.357349e-11,0.0
113,-1.2438,0.6697,1f,0.6,1,2.856601e-11,1.207965e-11,0.0
114,0.6131,-1.1911,1f,0.6,1,3.247306e-11,1.338665e-11,0.0
115,0.3824,0.9694,1f,0.6,1,2.818099e-11,1.320634e-11,0.0
116,-1.8849,0.6073,1f,0.6,1,2.973553e-11,1.270174e-11,0.0
117,0.8013,0.2451,1f,0.6,1,2.977178e-11,1.353711e-11,0.0
118,-1.3209,0.8362,1f,0.6,1,2.829331e-11,1.203734e-11,0.0
119,-2.4502,-1.2897,1f,0.6,1,3.686111e-11,1.231185e-11,0.0
120,0.0,0.0,1f,0.6,1,2.929381e-11,1.248855e-11,-25.0
121,-0.8014,-0.8294,1f,0.6,1,3.131251e-11,1.20225e-11,-25.0
