,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
21,0.004023289680480957,7.801910218954955e-05,0.0005994796752929688,3.103513976578533e-05,4,2,"{'max_depth': 4, 'n_estimators': 2}",-56.913611131296946,0.5650166149946454,-13.419968586473734,-14.931881868889215,-16.25935417629874,-31.34311582944462,-0.003408447924345248,-11.245289715108967,-0.06308251946178522,-6.663335346656416,-15.027803100656012,16.73859147699133,34,0.11570649157453727,0.11457874959923087,0.1458608592091778,0.14617741763102066,0.14589635170826032,0.10144143236008585,0.6216063047316147,0.07602031080382632,0.08553124871644302,0.07039835504407543,0.16232175213782724,0.15546611072305705
22,0.005555152893066406,6.290971378661311e-05,0.0006685495376586914,0.00010861124025139187,4,3,"{'max_depth': 4, 'n_estimators': 3}",-24.912006363524043,0.5731512210055061,-5.634915592408986,-6.39845740490647,-6.934826365467315,-13.423860520436522,-0.00331982585877566,-4.706861125983851,0.3140187756288413,-2.545828255899718,-6.367290545785134,7.383978976823898,27,0.12825421620843258,0.12714386415933265,0.1277016716781011,0.13399108563971895,0.13384632992996426,0.11436578407174414,0.6220613018212838,0.0699657590892423,0.06998379789663245,0.06596439955464917,0.15932782100491014,0.156563522550562
23,0.007183384895324707,9.664984881865306e-05,0.0006762027740478515,2.904654635316692e-05,4,4,"{'max_depth': 4, 'n_estimators': 4}",-13.610039590066522,0.5711824291942278,-4.574890316229306,-5.1188351760869395,-5.501455447776564,-8.034977046559561,-0.003427221710943895,-2.4024886925402633,0.4501280623863294,-1.1065560967324228,-3.933135909612197,4.242898238884214,22,0.19334693317213458,0.12131201806554415,0.1195513791481182,0.1250144887147575,0.12509316364209933,0.12816312936267993,0.6256167028266352,0.06047216209488926,0.057966002775747816,0.0572505323157394,0.16137865121183453,0.15979831531023198
24,0.008764338493347169,8.821191331688303e-05,0.0007082462310791015,5.1684418951111584e-05,4,5,"{'max_depth': 4, 'n_estimators': 5}",-8.43950518709806,0.5714084400945162,-20.222281911368835,-15.31606594363544,-21.55385390186422,-12.948061814011119,-0.003519776917976003,-1.3304866692493587,0.5176351756128363,-0.45160398331446894,-7.917633557175213,8.500871295961833,28,0.19333939036698544,0.09402296041554004,0.14078143734262383,0.14498597348589415,0.13901616687964846,0.18436851704470503,0.6262557680341085,0.052743127113526134,0.04956066420474459,0.05018543784678531,0.16752594427345616,0.16114638354822725
25,0.0800854206085205,0.0016814903679988912,0.0019826650619506835,0.00014440836203907255,4,50,"{'max_depth': 4, 'n_estimators': 50}",-3.03382098009246,0.017306155251809785,-6.2151639486075885,-4.414643278336777,-3.5322165098263376,-4.560810708771841,-0.00329396301833218,-7.6562411172600555,0.4592491013321296,-8.13103449801896,-3.707066974734841,2.968475539868897,21,0.15978751191746499,0.14281898556806194,0.14340950796621543,0.13809621315305742,0.14276821106708648,0.15333299334772288,0.6294516805648538,0.14512541959930725,0.11624868317973669,0.13216148116990534,0.19032006875334123,0.1467970929307302
26,0.11827499866485595,0.0003526561068726527,0.0024665355682373046,7.919246003995284e-05,4,75,"{'max_depth': 4, 'n_estimators': 75}",-5.329001903842908,-0.3466690742639438,-7.2126554050800955,-4.9360069647467,-3.8684111999669835,-5.006834717685974,-0.003330840720773276,-10.48567596933599,0.3264313077410066,-11.566859769768373,-4.842901453767073,3.9274581046843053,23,0.1729503489232348,0.15265651456485196,0.1493934711526793,0.14112306742531577,0.14827713610868543,0.16161189538953624,0.6296322359062301,0.16024928735882693,0.1344213815156089,0.15477929727993744,0.20050946356249072,0.14340723598322191
27,0.13446593284606934,0.0015641326838753686,0.0027362346649169923,0.0001616716789225303,4,85,"{'max_depth': 4, 'n_estimators': 85}",-4.398368630499039,-0.30069176323894453,-8.11235754839393,-6.328374405057388,-4.5718643495343665,-5.210998267921494,-0.003334274416020966,-13.476185667858754,0.2835022861105432,-11.824386857515643,-5.394305947832504,4.515195445546363,24,0.1651215592040628,0.14552292671605227,0.15180374477726688,0.1450555953880437,0.14959433933315058,0.16370211183744732,0.6295365838851132,0.1657103828035994,0.13525401913918544,0.15275926964248254,0.20040605327264044,0.1433470703107766
28,0.1503267765045166,0.0020579327605142438,0.0028487682342529298,0.00011973148413570356,4,95,"{'max_depth': 4, 'n_estimators': 95}",-4.849620736647594,-0.4488116515888245,-8.631664892351246,-6.83502873607755,-5.619307872495148,-6.022975321209484,-0.0033354931368898555,-13.499953908161087,-0.1403817779029155,-12.837279624825982,-5.888836001439673,4.616023070236667,25,0.1680786372695614,0.1491114645414474,0.15414798529741858,0.14839252109214596,0.1564430751025958,0.17582797704182473,0.6294821117877702,0.17461540799051833,0.14472356014184518,0.1610073261729701,0.20618300664380979,0.1414739295887315
29,0.1576690673828125,0.0005856389369890675,0.00298924446105957,0.00013939813801856917,4,100,"{'max_depth': 4, 'n_estimators': 100}",-4.629805620031159,-0.6082106691656057,-8.592638876093089,-6.950039308102752,-5.47141602012578,-6.338887663522851,-0.0033351139376418537,-14.23383488666948,-0.06677713741529567,-12.842747570056378,-5.9737692865120025,4.740705599022292,26,0.16619814261684007,0.14994485891528542,0.15509256485606815,0.1472684583621745,0.15694107546202618,0.17586456724087385,0.6294941703346523,0.1749990579695624,0.14421450450655526,0.1600307467545149,0.2060048147018553,0.14153488622717114
30,0.0034003496170043946,7.211832559169783e-05,0.000604248046875,3.159477096532595e-05,8,1,"{'max_depth': 8, 'n_estimators': 1}",0.5048680957141733,0.44244839768098954,-753.8962631288456,0.41167221867431425,0.4454217318414083,0.43259022491687504,-0.002504526776173188,0.5270169742992192,0.5537073620488361,0.4656251408395795,-75.01154175096063,226.2949554042403,76,0.0050813861701486385,0.006415962401606579,0.9951661969544084,0.005156607527023627,0.005183074053931369,0.005318671776593176,0.6121514955758005,0.005102751780968973,0.005179147744347801,0.0051097148686538585,0.16498650088534828,0.33062175629741414
