,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.42895822525024413,0.04786995958577014,0.012786054611206054,0.000757807767536769,1,5,"{'max_depth': 1, 'n_estimators': 5}",0.201247351968471,0.20357499061362938,0.20233761724441335,0.1999587167275655,0.1999581037903867,0.20141535606889321,0.0013991565169318512,21,0.2014764075416764,0.20090635445323213,0.2012016439668154,0.20181128814200922,0.20181079718577377,0.20144129825790139,0.0003516400680349478
1,1.797261905670166,0.07987661823346785,0.041894149780273435,0.010575436784132917,1,25,"{'max_depth': 1, 'n_estimators': 25}",0.20123855784767597,0.20356836523124422,0.20233343511751933,0.19995916440465222,0.19994817794811115,0.20140954010984058,0.001398750290647135,25,0.20147725635834624,0.2009062620691816,0.20120178063351457,0.20181138503490392,0.20181249315466288,0.20144183545012187,0.0003520436994566958
2,4.275066661834717,0.16463461253976783,0.09048027992248535,0.01876952856727716,1,50,"{'max_depth': 1, 'n_estimators': 50}",0.20123839760302642,0.20357124458447207,0.20233099280610822,0.19996126564443117,0.19994610299962612,0.20140960072753283,0.0013993197025037965,24,0.20147728172596668,0.20090630853794889,0.20120170793048253,0.2018115180476503,0.201812481748056,0.20144185959802088,0.0003520655154919235
3,6.731455945968628,0.08136195595231535,0.19086976051330568,0.014628963985189872,1,100,"{'max_depth': 1, 'n_estimators': 100}",0.2012384895183318,0.20357035675452984,0.20233456533857086,0.19995967463354336,0.19995000603356983,0.20141061845570912,0.0013990284025432913,22,0.20147728602412318,0.2009062775776841,0.20120168908213987,0.2018114753309067,0.20181243406424942,0.20144183241582064,0.0003520585832488425
4,10.112629556655884,0.24778775948467263,0.2718663692474365,0.017811759233199494,1,150,"{'max_depth': 1, 'n_estimators': 150}",0.20123910635612474,0.203571909595741,0.20233183229208862,0.19996043361267712,0.19994885854570665,0.2014104280804676,0.0013992146838035758,23,0.20147730810569542,0.20090635492513742,0.20120172521199942,0.20181148821521366,0.20181248538344543,0.2014418723682983,0.0003520440771779269
5,1.317048978805542,0.07040063098474446,0.02720775604248047,0.000744928044991486,5,5,"{'max_depth': 5, 'n_estimators': 5}",0.3722346112992113,0.37477273771722075,0.3688185156373551,0.3747676721311538,0.37147587419447337,0.3724138821958829,0.0022335256517537587,7,0.3735556048652977,0.37205636784779883,0.3750730730711652,0.37314606755128854,0.3733044182724983,0.3734271063216097,0.0009693995592918382
6,6.514044570922851,0.1941666144299211,0.11646566390991211,0.004076699953129881,5,25,"{'max_depth': 5, 'n_estimators': 25}",0.37349908655581465,0.3760063694441572,0.369255420198789,0.37549322216612335,0.3722733134393674,0.3733054823608503,0.0024325647072871055,1,0.37468940521874583,0.3732748358501421,0.3755345954207917,0.373734227701113,0.37415117729503433,0.3742768482971654,0.0007831207182242996
7,13.017200803756714,0.10793829626981058,0.22449822425842286,0.00370347251436765,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.37327149249446046,0.37614622709371426,0.3689596801275743,0.3753527068349677,0.3723740566409496,0.3732208326383333,0.002529024991595178,3,0.374481538208418,0.37332703591357697,0.3751445819620164,0.3735763616408614,0.37422236800548425,0.37415037714607136,0.0006497196525346454
8,26.778546380996705,0.836059612704203,0.4662043571472168,0.030749602259068882,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.37320555634679786,0.3761264542305053,0.36882010676610344,0.3754069007173043,0.372541459126115,0.3732200954373652,0.0025709802683865877,4,0.37446015489458995,0.3733220377224803,0.3750591559834413,0.37365327743467136,0.3743885481398185,0.3741766348350003,0.0006177982912894645
9,39.315705156326295,0.47989090621650027,0.6856124877929688,0.02497174987653728,5,150,"{'max_depth': 5, 'n_estimators': 150}",0.3732295332318458,0.37609939398933934,0.36882902427235953,0.3754179917832936,0.3725469434433857,0.3732245773440448,0.00256342492445228,2,0.3744836250962442,0.373309193994226,0.3750804215199188,0.3736536816363971,0.37436423711669664,0.3741782318726966,0.0006280428195525815
