,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.3588994026184082,0.022440624861104885,0.01151132583618164,0.0007418053004027702,1,5,"{'max_depth': 1, 'n_estimators': 5}",0.11335009312188415,0.11589421059562166,0.11483777237706383,0.1094673683221592,0.1144363657734323,0.11359716203803223,0.0022197318839777113,25,0.11368058877027254,0.11304108330991902,0.11331933942580086,0.11465928934137326,0.1134213603072659,0.11362433223092631,0.000556542637272793
1,1.7801421642303468,0.17687224849033342,0.04073338508605957,0.0046050596543281384,1,25,"{'max_depth': 1, 'n_estimators': 25}",0.11334504544286816,0.1159013225797787,0.1148385344958276,0.1094720248643225,0.11443670856440757,0.1135987271894409,0.002219698492230308,24,0.11368189198193956,0.1130411016289441,0.11331964415052898,0.11465945529494648,0.11342185834808982,0.11362479028088979,0.0005565573228715968
2,3.3587037563323974,0.13334410696260623,0.07062582969665528,0.006442649767925054,1,50,"{'max_depth': 1, 'n_estimators': 50}",0.11334662236059645,0.11590598738636726,0.11484004762731814,0.10946796286880844,0.11443680686273294,0.11359948542116464,0.0022223173233072626,21,0.11368219142594982,0.1130412797846938,0.11331985670463385,0.11465967338924565,0.11342196951078576,0.11362499416306178,0.0005565757776726385
3,6.896946811676026,0.41103023101297104,0.13711891174316407,0.021881939230148105,1,100,"{'max_depth': 1, 'n_estimators': 100}",0.11334584240307322,0.11590403145665296,0.11483952424605337,0.10946836582200581,0.11443689891159259,0.1135989325678756,0.00222172781707454,23,0.11368231510031546,0.11304140270546736,0.11331998058691839,0.11465984015181963,0.11342204073810003,0.11362511585652417,0.0005565957599482786
4,10.386917018890381,0.5527883221230275,0.22108931541442872,0.027955104677090035,1,150,"{'max_depth': 1, 'n_estimators': 150}",0.1133460887588531,0.11590361999885501,0.11483882852502791,0.10947042574848498,0.11443689652120892,0.11359917191048599,0.002220793011032527,22,0.11368231417725116,0.11304144337142175,0.11332010870508558,0.11465998957547963,0.11342216273324845,0.11362520371249732,0.0005566198210676686
5,1.326146173477173,0.06570903605814021,0.027674293518066405,0.002796299379074484,5,5,"{'max_depth': 5, 'n_estimators': 5}",0.3200582873252247,0.32107882324424386,0.32118712546038,0.3180136862806048,0.3193778800824111,0.31994316047857285,0.0011741248307589154,6,0.3206643951552952,0.32055704847483846,0.320341673998091,0.32135883622157146,0.3206322859084406,0.32071084795164734,0.00034297590059131493
6,6.586986494064331,0.20149290251843233,0.10417485237121582,0.0066597858722139604,5,25,"{'max_depth': 5, 'n_estimators': 25}",0.31986423295483124,0.32097962697290916,0.3211069808013066,0.3177998240015687,0.3193867799475584,0.31982748893563484,0.0012059453645347378,8,0.3207205330013777,0.32030793833851534,0.3202266016366786,0.3211383973499299,0.3208437600315711,0.32064744607161455,0.00033979098490284133
7,12.946321249008179,0.16042557471031416,0.20824670791625977,0.009736945967473203,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.3198393811518695,0.321019658848673,0.3212264670010093,0.3178612094702786,0.31925804256502044,0.3198409518073702,0.001230298176384078,7,0.3206947386343463,0.3203512315112871,0.3202616126576968,0.321192113135108,0.3207459199806023,0.3206491231838081,0.0003302097311753495
8,27.056909561157227,1.5910186805523288,0.4170346736907959,0.05124415185057923,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.3198399728252581,0.32098998028012704,0.3210941969115162,0.31780920601074936,0.3193124825937165,0.3198091677242735,0.0012077342615701967,9,0.32065839773979576,0.3203503808046674,0.320136162162307,0.3211502357281233,0.3207449758063857,0.3206080304482558,0.0003476551391284427
9,39.67767572402954,0.8718491854803055,0.5976851463317872,0.016091299782099312,5,150,"{'max_depth': 5, 'n_estimators': 150}",0.31983642496307785,0.32095287983228915,0.3210480293400363,0.3178242594483518,0.3193683113258152,0.31980598098191404,0.0011813350834838495,10,0.32065934989365885,0.3203198885586218,0.32010014988413527,0.32115852924249233,0.3207630997193235,0.32060020345964635,0.0003661669548120334
